,Pair ID,"Clean Q, Logit Diff","Clean Q, Logit clean","Clean Q, Logprob clean","Clean Q, Logit corrupted","Clean Q, Logprob corrupted","Corrupted Q, Logit Diff","Corrupted Q, Logit clean","Corrupted Q, Logprob clean","Corrupted Q, Logit corrupted","Corrupted Q, Logprob corrupted"
0,0,5.680086135864258,23.601673126220703,-0.11639872193336487,17.921586990356445,-5.79648494720459,-1.4779434204101562,18.613197326660156,-2.5282058715820312,20.091140747070312,-1.050262451171875
1,1,3.1422042846679688,23.11574935913086,-0.11663733422756195,19.97354507446289,-3.2588415145874023,-4.014575958251953,18.675189971923828,-4.231541156768799,22.68976593017578,-0.21696539223194122
2,2,6.781776428222656,23.253787994384766,-0.10104158520698547,16.47201156616211,-6.882818222045898,-2.646434783935547,18.005374908447266,-3.391556739807129,20.651809692382812,-0.7451220154762268
3,3,4.45372200012207,23.178956985473633,-0.1164017990231514,18.725234985351562,-4.570123672485352,-1.4471912384033203,19.89151954650879,-1.964624047279358,21.33871078491211,-0.5174328088760376
4,6,7.951327323913574,23.503129959106445,-0.09343816339969635,15.551802635192871,-8.04476547241211,-2.6942825317382812,19.168289184570312,-3.0180416107177734,21.862571716308594,-0.3237590491771698
5,7,4.243030548095703,22.381561279296875,-0.251730352640152,18.138530731201172,-4.494760990142822,-3.280567169189453,16.07378387451172,-4.561030387878418,19.354351043701172,-1.280463457107544
6,8,3.623292922973633,22.661285400390625,-0.14868149161338806,19.037992477416992,-3.7719743251800537,-2.7281570434570312,17.483444213867188,-3.39811372756958,20.21160125732422,-0.669956624507904
7,10,4.105762481689453,23.085206985473633,-0.14168214797973633,18.97944450378418,-4.2474446296691895,-2.602731704711914,18.00819969177246,-3.369978904724121,20.610931396484375,-0.7672472596168518
8,11,6.331581115722656,23.167081832885742,-0.07279188930988312,16.835500717163086,-6.4043731689453125,-2.848001480102539,18.158355712890625,-3.489187240600586,21.006357192993164,-0.6411858201026917
9,12,3.0721969604492188,22.092784881591797,-0.17854568362236023,19.020587921142578,-3.2507426738739014,-2.7111644744873047,18.199077606201172,-3.3874258995056152,20.910242080688477,-0.6762615442276001
10,13,6.075592041015625,22.678621292114258,-0.13814164698123932,16.603029251098633,-6.213733673095703,-4.004552841186523,17.141414642333984,-4.764620780944824,21.145967483520508,-0.7600677609443665
11,15,2.6980113983154297,21.281169891357422,-0.2668718099594116,18.583158493041992,-2.964883327484131,-2.166534423828125,17.378681182861328,-3.0632901191711426,19.545215606689453,-0.8967556953430176
12,16,8.181560516357422,23.81946563720703,-0.07728300243616104,15.63790512084961,-8.258843421936035,-5.537178993225098,15.515509605407715,-6.0137128829956055,21.052688598632812,-0.4765336513519287
13,17,3.8509082794189453,22.439838409423828,-0.12497126311063766,18.588930130004883,-3.975879430770874,-4.063098907470703,17.424598693847656,-4.49461555480957,21.48769760131836,-0.4315166175365448
14,18,8.051424026489258,24.404869079589844,-0.05360376462340355,16.353445053100586,-8.10502815246582,-4.782554626464844,15.9327392578125,-5.419669151306152,20.715293884277344,-0.6371145844459534
