arm,depth,probe,ctx_tokens,fill,gold,pred,correct,parsed,response_chars,mean_entropy,has_answer,has_supporting,n_symptoms,grounded_fraction,fully_compliant,response
install,0,0,333,0.0813,B,E,False,True,717,1.0954020611288606,False,True,1,0.0,False,"E) Viral pharyngitis
Supporting: The patient has a cough and has lost their sense of smell, which are common symptoms of viral infections affecting the upper respiratory tract, such for as a common cold or pharyngitis. Additionally, the description of the pain being sharp and localized to a specific location, along with the rapid onset of the pain, is more consistent with the acute presentation of a viral pharyngitis rather than the chronic or recurrent nature of conditions like chronic rhinosinusitis or the recurrent nature of conditions like cluster headaches or the more localized nature of conditions like acute laryngitis or the absence of respiratory symptoms in the context of conditions like bronchitis."
install,0,1,332,0.0811,C,E,False,True,1000,1.1787141030354795,False,True,1,0.0,False,"E) Possible NSTEMI / STEMI
Supporting: The patient's description of chest pain rated as a 7 on a scale of 10, along with the absence of radiation and the rapid onset of the pain, suggests a possible acute coronary syndrome (ACS). Additionally, the presence of chest pain that is exacerbated by physical exertion and relieved by rest is a classic symptom of angina pectoris, which is a symptom of both NSTEMI (non-ST elevation myocardial infarction) and STEMI (ST elevation myocardial infarction). The patient's history of recent viral infection could potentially lead to myocarditis, but the presentation of worsening symptoms with exertion and relief with rest is more consistent with the presentation of angina or a subacute myocardial infarction. The patient's difficulty breathing and the exacerbation of symptoms when lying down and improvement when sitting up are also supportive of a cardiovascular etiology, particularly in the context of the described pain and the history of recent illness."
install,0,2,414,0.1011,A,E,False,True,735,1.487036153627625,False,True,1,0.0,False,"E) Guillain-Barré syndrome

Supporting: The rapid onset of the pain (9 out of 10) and the presence of significant and significant shortness of the breath (significant difficulty breathing) support the diagnosis of Guillain-Barré syndrome. This condition typically presents with the rapid onset of symptoms, including severe pain and potentially leading to respiratory compromise due the potential involvement of the respiratory muscles or the autonomic nervous system, which can affect breathing. Additionally, the patient's history of being a former smoker and the presence of symptoms consistent with peripheral nerve involvement (such as the pattern of pain and potential for respiratory involvement) further support this diagnosis."
install,0,3,282,0.0688,D,E,False,True,897,1.1432056543932059,False,True,1,0.0,False,"E) Pulmonary neoplom
Supporting: The patient's history of cystic fibrosis and chronic obstructive pulmonary disease (COPD) significantly supports the diagnosis of pulmonary neoplasm. Cystic fibrosis is a genetic condition that can lead to the development of various pulmonary complications, including the risk of developing lung cancers. Additionally, COPD, especially when exacerbated or complicated by chronic exposure to carcinogens, increases the risk of developing lung cancers. The presence of a chronic cough with increased sputum production, along with the mention of difficulty breathing, further supports the suspicion of a neoplastic process, as these symptoms can be associated with the presence of a mass or the advanced stages of lung disease. The patient's history of immunosuppression further increases the risk of developing and potentially affecting the management of a neoplasm."
install,0,4,540,0.1318,A,E,False,True,1393,1.524990437918575,False,True,1,0.0,False,"E) Acute pulmonary edema

Supporting: The patient's chief complaint of difficulty breathing and shortness of the breath, along with the presence of a known severe food allergy, strongly supports the diagnosis of acute pulmonary edema. The symptoms of increased stool frequency and the presence of a rash with associated pain and swelling further support this diagnosis. The presence of a known severe food allergy suggests a potential for severe allergic reaction (anaphylaxis), but the absence of the rapid onset of severe, life-threatening symptoms and the detailed description of symptoms like the progression of shortness of breath, the presence of a rash, and the specific localization of pain and swelling are more consistent with acute pulmonary edema, especially considering the high intensity of the described pain and the presence of associated symptoms like lightheadedness and the sensation of impending fainting. The absence of the rapid onset of severe symptoms and the absence of the typical acute presentation of anaphylaxis (such as severe hypotension, severe respiratory distress, and potentially the absence of a detailed description of the progression of symptoms) further supports the diagnosis of acute pulmonary edema over anaphylaxis. The absence of recent travel and the absence of the typical symptoms and findings associated with conditions like pulmonary embolism ("
install,0,5,333,0.0813,D,D,True,True,453,1.0413967671245337,False,True,1,0.0,False,"D) Pericarditis
Supporting: The patient's description of the pain as a ""knife stroke"" and the location of the pain in the lower chest and left breast, along with the exacerbation of pain upon deep breathing, are consistent with the symptoms of pericarditis. These findings support the diagnosis of pericarditis as they are typical for this condition, especially in a young female who has recently had a viral infection and has a history of pericarditis."
install,0,6,499,0.1218,C,E,False,True,1393,1.7327640580667776,False,True,1,0.0,False,"E) Influenza
Supporting: The presence of a fever and feeling tired and unable a to perform usual activities, which are common symptoms of influenza. The patient's description of widespread muscle pain and the presence of a rash on the lips and labia majora, although not directly related to influenza, do not align with the typical presentation of conditions like HIV or Chagas, and the absence of recent travel and use of intravenous drugs makes the context of a sexually transmitted infection or severe substance abuse less likely. The absence of severe itching and the non-specific nature of the rash, along with the absence of symptoms like diarrhea, support the diagnosis of influenza over conditions like scombroid food poisoning, which typically involves severe nausea, vomiting, and severe, acute onset of symptoms typically within 1-2 hours of consuming contaminated fish, along with possible rash and severe, typically localized to the lips and face, without the described widespread muscle pain and the absence of severe itching. The absence of severe localized pain and the absence of symptoms like severe localized rash and the absence of severe, localized pain upon the presentation of the rash also do not align with the presentation of conditions like severe localized infections or severe allergic reactions. The context of recent sexual activity and substance use, along with"
install,0,7,318,0.0776,E,E,True,True,508,1.2092388279056,False,True,1,0.0,False,"E) PSVT
Supporting: The patient's description of the pain as ""like a knife stroke"" and its intensity being rated as 7, along with the presence of palpitations, supports the diagnosis of PSVT (Paroxysmal Supraventricular Tachyc given the sudden onset of severe, sharp pain and the presence of palpitations, which are common in this context. The patient's history of taking stimulant drugs and feeling anxiety further supports the consideration of a potentially stress-induced or substance-related tachycardia."
install,0,8,289,0.0706,C,E,False,True,522,1.1572648024588066,False,True,2,1.0,False,"E) Bronchitis
Supporting: Cough; Shortness of breath
The patient's presentation of a cough and significant shortness of the breath supports the diagnosis of bronchospasm or acute asthma exacerbation, especially considering her history of asthma and the presence of symptoms consistent with an asthma attack. Additionally, the presence of chronic sinusitis and exposure to secondhand cigarette smoke daily further supports the likelihood of an exacerbation of asthma, as these factors can exacerbate respiratory conditions."
install,0,9,373,0.0911,A,B,False,True,459,1.142651657930638,False,False,0,0.0,False,"B: The most likely diagnosis is a B) Cluster headache, supported by the following findings: the patient's description of the pain as ""burning"" and ""sharp,"" and the specific localization of the pain to the temple and the rapid onset of the pain (4 on a 10 scale) are consistent with the typical presentation of a cluster headache. Additionally, the absence of the typical symptoms and symptoms associated with the other options further supports this diagnosis."
