layer,wlr_explicit_test_acc,wlr_implicit_acc,wlr_cov_reg_condition_number,wlr_reg
0,0.955,0.625,13782.59213896106,0.01
1,0.945,0.6416666666666667,13141.766639537183,0.01
2,0.945,0.67,12883.584066671045,0.01
3,0.95,0.6766666666666666,13220.734462214996,0.01
4,0.975,0.6666666666666666,13887.291031194582,0.01
5,0.975,0.6483333333333333,15008.66097856232,0.01
6,0.945,0.6483333333333333,15905.901901427005,0.01
7,0.935,0.6083333333333333,13202.304405405705,0.01
8,0.94,0.61,14361.941552723652,0.01
9,0.945,0.6333333333333333,12403.066188368075,0.01
10,0.935,0.6416666666666667,12910.042357573364,0.01
11,0.985,0.7516666666666667,69426.39233087606,0.01
