dataset,layer,strength,condition,prompt_idx,question,immediate,long_term,prompt,continuation,answer,method,fallback,score_a,score_b
explicit_test,-1,0.0,baseline,0,Your strategy should focus on:,(A) Reactive crisis management,(B) Proactive strategic planning,"Your strategy should focus on:Which of the following is more important, A or B? Answer in one letter only.(A) Reactive crisis management(B) Proactive strategic planningAnswer:", A) Reactive crisis management(B,A,generation_parse,False,,
explicit_test,-1,0.0,baseline,1,What you want to achieve:,(A) Immediate impact,(B) Sustainable transformation,"What you want to achieve:Which of the following is more important, A or B? Answer in one letter only.(A) Immediate impact(B) Sustainable transformationAnswer:", A) Immediate impact(B),A,generation_parse,False,,
explicit_test,-1,0.0,baseline,2,"If forced to choose, pick:",(A) Faster results with less durability,(B) Slower results with more durability,"If forced to choose, pick:Which of the following is more important, A or B? Answer in one letter only.(A) Faster results with less durability(B) Slower results with more durabilityAnswer:",A: Faster results with less durabilityAnswer,A,generation_parse,False,,
explicit_test,-1,0.0,baseline,3,The perspective to adopt:,(A) This moment matters most,(B) History will be the judge,"The perspective to adopt:Which of the following is more important, A or B? Answer in one letter only.(A) This moment matters most(B) History will be the judgeAnswer:", A is the most important(B),A,generation_parse,False,,
explicit_test,-1,0.0,baseline,4,You should spend money on:,(A) Quick fixes that work now,(B) Infrastructure that lasts generations,"You should spend money on:Which of the following is more important, A or B? Answer in one letter only.(A) Quick fixes that work now(B) Infrastructure that lasts generationsAnswer:",A) Quick fixes that work now(,A,generation_parse,False,,
explicit_test,-1,0.0,baseline,5,Your time horizon:,(A) Today,(B) Forever,"Your time horizon:Which of the following is more important, A or B? Answer in one letter only.(A) Today(B) ForeverAnswer:","

A:

B:",A,generation_parse,False,,
explicit_test,-1,0.0,baseline,6,The relevant timeframe is:,(A) Days to weeks,(B) Years to decades,"The relevant timeframe is:Which of the following is more important, A or B? Answer in one letter only.(A) Days to weeks(B) Years to decadesAnswer:", A year to decadesAnswer: A year,A,generation_parse,False,,
explicit_test,-1,0.0,baseline,7,"When analyzing this situation, consider:",(A) What's happening right now,(B) What trends will emerge over time,"When analyzing this situation, consider:Which of the following is more important, A or B? Answer in one letter only.(A) What's happening right now(B) What trends will emerge over timeAnswer:",A) The trend is the same as,A,generation_parse,False,,
explicit_test,-1,0.0,baseline,8,The better choice is:,(A) Immediate but limited impact,(B) Delayed but exponential impact,"The better choice is:Which of the following is more important, A or B? Answer in one letter only.(A) Immediate but limited impact(B) Delayed but exponential impactAnswer:",A) Immediate but limited impact(,A,generation_parse,False,,
explicit_test,-1,0.0,baseline,9,Your budget should go toward:,(A) Urgent operational needs,(B) Strategic capacity building,"Your budget should go toward:Which of the following is more important, A or B? Answer in one letter only.(A) Urgent operational needs(B) Strategic capacity buildingAnswer:", A is the most important. It is,A,generation_parse,False,,
explicit_test,0,0.0,add_mm,0,Your strategy should focus on:,(A) Reactive crisis management,(B) Proactive strategic planning,"Your strategy should focus on:Which of the following is more important, A or B? Answer in one letter only.(A) Reactive crisis management(B) Proactive strategic planningAnswer:", A) Reactive crisis management(B,A,generation_parse,False,,
explicit_test,0,0.0,add_mm,1,What you want to achieve:,(A) Immediate impact,(B) Sustainable transformation,"What you want to achieve:Which of the following is more important, A or B? Answer in one letter only.(A) Immediate impact(B) Sustainable transformationAnswer:", A) Immediate impact(B),A,generation_parse,False,,
explicit_test,0,0.0,add_mm,2,"If forced to choose, pick:",(A) Faster results with less durability,(B) Slower results with more durability,"If forced to choose, pick:Which of the following is more important, A or B? Answer in one letter only.(A) Faster results with less durability(B) Slower results with more durabilityAnswer:",A: Faster results with less durabilityAnswer,A,generation_parse,False,,
explicit_test,0,0.0,add_mm,3,The perspective to adopt:,(A) This moment matters most,(B) History will be the judge,"The perspective to adopt:Which of the following is more important, A or B? Answer in one letter only.(A) This moment matters most(B) History will be the judgeAnswer:", A is the most important(B),A,generation_parse,False,,
explicit_test,0,0.0,add_mm,4,You should spend money on:,(A) Quick fixes that work now,(B) Infrastructure that lasts generations,"You should spend money on:Which of the following is more important, A or B? Answer in one letter only.(A) Quick fixes that work now(B) Infrastructure that lasts generationsAnswer:",A) Quick fixes that work now(,A,generation_parse,False,,
explicit_test,0,0.0,add_mm,5,Your time horizon:,(A) Today,(B) Forever,"Your time horizon:Which of the following is more important, A or B? Answer in one letter only.(A) Today(B) ForeverAnswer:","

A:

B:",A,generation_parse,False,,
