dataset,layer,strength,condition,prop_A,prop_B,fallback_rate,n_prompts
explicit_test,0,0.0,baseline,1.0,0.0,0.0,10
explicit_test,0,0.0,add_mm,1.0,0.0,0.0,10
explicit_test,0,0.0,sub_mm,1.0,0.0,0.0,10
explicit_test,0,2.0,baseline,1.0,0.0,0.0,10
explicit_test,0,2.0,add_mm,1.0,0.0,0.1,10
explicit_test,0,2.0,sub_mm,1.0,0.0,0.0,10
explicit_test,0,5.0,baseline,1.0,0.0,0.0,10
explicit_test,0,5.0,add_mm,1.0,0.0,0.8,10
explicit_test,0,5.0,sub_mm,1.0,0.0,0.7,10
explicit_test,0,10.0,baseline,1.0,0.0,0.0,10
explicit_test,0,10.0,add_mm,1.0,0.0,1.0,10
explicit_test,0,10.0,sub_mm,1.0,0.0,1.0,10
explicit_test,0,20.0,baseline,1.0,0.0,0.0,10
explicit_test,0,20.0,add_mm,1.0,0.0,1.0,10
explicit_test,0,20.0,sub_mm,1.0,0.0,0.9,10
explicit_test,0,40.0,baseline,1.0,0.0,0.0,10
explicit_test,0,40.0,add_mm,1.0,0.0,1.0,10
explicit_test,0,40.0,sub_mm,1.0,0.0,0.8,10
explicit_test,0,80.0,baseline,1.0,0.0,0.0,10
explicit_test,0,80.0,add_mm,1.0,0.0,1.0,10
explicit_test,0,80.0,sub_mm,1.0,0.0,0.0,10
explicit_test,0,160.0,baseline,1.0,0.0,0.0,10
explicit_test,0,160.0,add_mm,1.0,0.0,1.0,10
explicit_test,0,160.0,sub_mm,1.0,0.0,0.9,10
explicit_test,4,0.0,baseline,1.0,0.0,0.0,10
explicit_test,4,0.0,add_mm,1.0,0.0,0.0,10
explicit_test,4,0.0,sub_mm,1.0,0.0,0.0,10
explicit_test,4,2.0,baseline,1.0,0.0,0.0,10
explicit_test,4,2.0,add_mm,1.0,0.0,0.7,10
explicit_test,4,2.0,sub_mm,1.0,0.0,0.7,10
explicit_test,4,5.0,baseline,1.0,0.0,0.0,10
explicit_test,4,5.0,add_mm,1.0,0.0,0.4,10
explicit_test,4,5.0,sub_mm,1.0,0.0,1.0,10
explicit_test,4,10.0,baseline,1.0,0.0,0.0,10
explicit_test,4,10.0,add_mm,1.0,0.0,0.2,10
explicit_test,4,10.0,sub_mm,1.0,0.0,1.0,10
explicit_test,4,20.0,baseline,1.0,0.0,0.0,10
explicit_test,4,20.0,add_mm,1.0,0.0,1.0,10
explicit_test,4,20.0,sub_mm,1.0,0.0,1.0,10
explicit_test,4,40.0,baseline,1.0,0.0,0.0,10
