dataset,probe_variant,condition,layer,strength,signed_strength,raw_vector_norm,steering_vector_norm,baseline_prop_choose_long_term,baseline_prop_choose_immediate,delta_long_term_vs_baseline,delta_immediate_vs_baseline,steering_success,n_prompts,prop_choose_long_term,prop_choose_immediate,fallback_rate,direct_parse_rate
explicit_train,baseline,baseline,-1,0.0,0.0,,,0.875,0.125,0.0,0.0,,8,0.875,0.125,0.0,1.0
explicit_test,baseline,baseline,-1,0.0,0.0,,,0.75,0.25,0.0,0.0,,8,0.75,0.25,0.0,1.0
implicit_full,baseline,baseline,-1,0.0,0.0,,,0.5,0.5,0.0,0.0,,20,0.5,0.5,0.0,1.0
explicit_train,mm,steer_long_term,0,0.0,0.0,5.891683578491211,1.0,0.875,0.125,0.0,0.0,0.875,8,0.875,0.125,0.0,1.0
explicit_train,mm,steer_immediate,0,0.0,-0.0,5.891683578491211,1.0,0.875,0.125,0.0,0.0,0.125,8,0.875,0.125,0.0,1.0
explicit_train,mm,steer_long_term,0,1.0,1.0,5.891683578491211,1.0,0.875,0.125,0.0,0.0,0.875,8,0.875,0.125,0.0,1.0
explicit_train,mm,steer_immediate,0,1.0,-1.0,5.891683578491211,1.0,0.875,0.125,0.0,0.0,0.125,8,0.875,0.125,0.0,1.0
explicit_train,mm,steer_long_term,0,2.0,2.0,5.891683578491211,1.0,0.875,0.125,0.0,0.0,0.875,8,0.875,0.125,0.0,1.0
explicit_train,mm,steer_immediate,0,2.0,-2.0,5.891683578491211,1.0,0.875,0.125,0.0,0.0,0.125,8,0.875,0.125,0.0,1.0
explicit_train,mm,steer_long_term,0,4.0,4.0,5.891683578491211,1.0,0.875,0.125,0.0,0.0,0.875,8,0.875,0.125,0.0,1.0
explicit_train,mm,steer_immediate,0,4.0,-4.0,5.891683578491211,1.0,0.875,0.125,0.0,0.0,0.125,8,0.875,0.125,0.0,1.0
explicit_train,mm,steer_long_term,0,8.0,8.0,5.891683578491211,1.0,0.875,0.125,0.0,0.0,0.875,8,0.875,0.125,0.0,1.0
