probe,condition,filler,depth,closed,ctx_tokens,fill,patch_tokens,gold,s_a,s_b,s_p,pred,compliant_a,compliant_b,response
0,pure_a,code,15,True,3712.0,0.9062,0.0,C,-16.829010009765625,-22.557506561279297,-5.912613868713379,,,,
0,pure_b,code,15,True,3712.0,0.9062,0.0,C,-16.868494033813477,-22.65254020690918,-5.880686283111572,,,,
0,patch_ab,code,15,True,3712.0,0.9062,3509.0,C,-17.12641143798828,-23.05015754699707,-5.982675075531006,,,,
0,patch_bb,code,15,True,3712.0,0.9062,3509.0,C,-17.2163143157959,-22.891096115112305,-5.735864639282227,,,,
0,patch_ba,code,15,True,3712.0,0.9062,3509.0,C,-17.17406463623047,-22.90414810180664,-5.84294319152832,,,,
0,patch_aa,code,15,True,3712.0,0.9062,3509.0,C,-17.18964195251465,-23.112953186035156,-5.982553005218506,,,,
0,unrel_pure_y,code,15,True,3719.0,0.908,0.0,C,-16.814802169799805,-22.516923904418945,-5.855608940124512,,,,
0,unrel_patch_xy,code,15,True,3719.0,0.908,3509.0,C,-17.133296966552734,-23.093372344970703,-5.987114429473877,,,,
0,unrel_patch_yy,code,15,True,3719.0,0.908,3509.0,C,-17.124290466308594,-23.105398178100586,-5.958738327026367,,,,
0,pure_a_gen,code,15,True,,,,C,,,,B,False,False,"Based on the provided information, the most likely diagnosis for the patient is:

**B) URTI (Upper Respiratory Tract Infection)**

**Reasoning:**

- **Chief Complaint:** The patient has nasal congestion and a clear runny nose, which are common symptoms of an URTI.
- **Symptoms:** The patient also reports severe itching in one or both eyes, which can be associated with allergic reactions. However, "
0,pure_b_gen,code,15,True,,,,C,,,,B,False,False,"Based on the provided information, the most likely diagnosis for the patient is:

**B) URTI (Upper Respiratory Tract Infection)**

**Reasoning:**

- **Chief Complaint:** The patient has nasal congestion and a clear runny nose, which are common symptoms of an URTI.
- **Symptoms:** The patient also reports severe itching in one or both eyes, which can be associated with allergic reactions. However, "
0,patch_ab_gen,code,15,True,,,,C,,,,B,False,False,"Based on the provided information, the most likely diagnosis for the patient is:

**B) URTI (Upper Respiratory Tract Infection)**

**Reasoning:**

- **Chief Complaint:** The patient has nasal congestion and a clear runny nose, which are common symptoms of an URTI.
- **Symptoms:** The patient also reports severe itching in one or both eyes, which can be associated with allergic reactions. However, "
0,patch_bb_gen,code,15,True,,,,C,,,,B,False,False,"Based on the provided information, the most likely diagnosis for the patient is:

**B) URTI (Upper Respiratory Tract Infection)**

**Reasoning:**

- **Chief Complaint:** The patient has nasal congestion and a clear runny nose, which are common symptoms of an URTI.
- **Symptoms:** The patient also reports severe itching in one or both eyes, which can be associated with allergic reactions. However, "
0,patch_ba_gen,code,15,True,,,,C,,,,B,False,False,"Based on the provided information, the most likely diagnosis for the patient is:

**B) URTI (Upper Respiratory Tract Infection)**

**Reasoning:**

- **Chief Complaint:** The patient has nasal congestion and a clear runny nose, which are common symptoms of an URTI.
- **Symptoms:** The patient also reports severe itching in one or both eyes, which can be associated with allergic reactions. However, "
0,patch_aa_gen,code,15,True,,,,C,,,,B,False,False,"Based on the provided information, the most likely diagnosis for the patient is:

**B) URTI (Upper Respiratory Tract Infection)**

**Reasoning:**

- **Chief Complaint:** The patient has nasal congestion and a clear runny nose, which are common symptoms of an URTI.
- **Symptoms:** The patient also reports severe itching in one or both eyes, which can be associated with allergic reactions. However, "
