target,layer,metric,baseline_raw_pos,delta
task_index,0,0.9638289021952823,0.991161814741478,-0.027332912546195742
task_index,2,0.9930223721186093,0.991161814741478,0.001860557377131311
task_index,4,0.991763055421106,0.991161814741478,0.0006012406796279679
task_index,6,0.9878446798023592,0.991161814741478,-0.003317134939118782
task_index,8,0.9813308234873329,0.991161814741478,-0.009830991254145105
task_index,10,0.9783086609425391,0.991161814741478,-0.012853153798938921
task_index,12,0.9750570341038213,0.991161814741478,-0.016104780637656746
task_index,14,0.9782546471420391,0.991161814741478,-0.012907167599438885
task_index,18,0.9690604537610792,0.991161814741478,-0.022101360980398832
task_index,22,0.9509211154414456,0.991161814741478,-0.04024069930003238
task_index,27,0.9166208367206617,0.991161814741478,-0.07454097802081627
within_task_fraction,0,0.9263491414310815,0.002453912757155341,0.9238952286739261
within_task_fraction,2,0.9597704358176928,0.002453912757155341,0.9573165230605375
within_task_fraction,4,0.9590705407400435,0.002453912757155341,0.9566166279828882
within_task_fraction,6,0.9557974579117242,0.002453912757155341,0.9533435451545689
within_task_fraction,8,0.952675820399113,0.002453912757155341,0.9502219076419577
within_task_fraction,10,0.9502727418845354,0.002453912757155341,0.94781882912738
within_task_fraction,12,0.9468461439022581,0.002453912757155341,0.9443922311451027
within_task_fraction,14,0.9445158335596375,0.002453912757155341,0.9420619208024822
within_task_fraction,18,0.9439352454859328,0.002453912757155341,0.9414813327287774
within_task_fraction,22,0.9434833471976014,0.002453912757155341,0.9410294344404461
within_task_fraction,27,0.9158462259179406,0.002453912757155341,0.9133923131607853
tokens_until_boundary,0,0.8898981516262131,-0.0009125134240570709,0.8908106650502702
tokens_until_boundary,2,0.9159826484309411,-0.0009125134240570709,0.9168951618549982
tokens_until_boundary,4,0.9165459838436153,-0.0009125134240570709,0.9174584972676724
tokens_until_boundary,6,0.9098593723626237,-0.0009125134240570709,0.9107718857866808
tokens_until_boundary,8,0.9086334602172204,-0.0009125134240570709,0.9095459736412774
tokens_until_boundary,10,0.9037299128910278,-0.0009125134240570709,0.9046424263150848
tokens_until_boundary,12,0.9005284113865177,-0.0009125134240570709,0.9014409248105748
tokens_until_boundary,14,0.8979672997241543,-0.0009125134240570709,0.8988798131482114
tokens_until_boundary,18,0.8992649381320116,-0.0009125134240570709,0.9001774515560687
tokens_until_boundary,22,0.9028516966505726,-0.0009125134240570709,0.9037642100746297
tokens_until_boundary,27,0.8917778304246412,-0.0009125134240570709,0.8926903438486983
