session,filler_turns,pathology,gold,condition,evidence_share,target_share,scale,pred,correct,pattern_err,bias_sd
0,21,Acute pulmonary edema,D,back_20,0.044440736208280984,,1.0,D,True,,
0,21,Acute pulmonary edema,D,local,0.08827592141551577,,1.0,D,True,,
0,21,Acute pulmonary edema,D,back_20_clamped,0.08836894252709898,0.08827592141551577,2.648838107232932,D,True,,
0,21,Acute pulmonary edema,D,back_20_headpattern,0.09608136117458344,0.08827592432498932,,D,True,0.008630030788481236,1.1760390996932983
0,21,Acute pulmonary edema,C,back_20,0.049217213581583014,,1.0,E,False,,
0,21,Acute pulmonary edema,C,local,0.09163864193897098,,1.0,C,True,,
0,21,Acute pulmonary edema,C,back_20_clamped,0.091700353033697,0.09163864193897098,2.149812995189387,E,False,,
0,21,Acute pulmonary edema,C,back_20_headpattern,0.09143685549497604,0.09163863956928253,,C,True,0.0014766526874154806,1.1225944757461548
0,21,Chronic rhinosinusitis,B,back_20,0.04075671380205846,,1.0,C,False,,
0,21,Chronic rhinosinusitis,B,local,0.07981138136261734,,1.0,C,False,,
0,21,Chronic rhinosinusitis,B,back_20_clamped,0.07959849115616557,0.07981138136261734,2.50725731651423,C,False,,
0,21,Chronic rhinosinusitis,B,back_20_headpattern,0.08056868612766266,0.07981137931346893,,D,False,0.0018895496614277363,1.2052738666534424
0,21,URTI,E,back_20,0.03556142220983956,,1.0,E,True,,
0,21,URTI,E,local,0.06965039378752635,,1.0,E,True,,
0,21,URTI,E,back_20_clamped,0.06959513423726807,0.06965039378752635,2.461765821974672,E,True,,
0,21,URTI,E,back_20_headpattern,0.06955352425575256,0.06965039670467377,,B,False,0.00100166373886168,1.2765514850616455
0,21,Influenza,D,back_20,0.05135128293419097,,1.0,B,False,,
0,21,Influenza,D,local,0.09674779471276906,,1.0,B,False,,
0,21,Influenza,D,back_20_clamped,0.0966143049261401,0.09674779471276906,2.4259676330773883,E,False,,
0,21,Influenza,D,back_20_headpattern,0.09743327647447586,0.09674779325723648,,B,False,0.0021053850650787354,1.152431845664978
0,21,Acute dystonic reactions,C,back_20,0.032260057619780846,,1.0,C,True,,
0,21,Acute dystonic reactions,C,local,0.07219084431642386,,1.0,C,True,,
0,21,Acute dystonic reactions,C,back_20_clamped,0.07205697535152317,0.07219084431642386,2.9348611864995338,C,True,,
0,21,Acute dystonic reactions,C,back_20_headpattern,0.07119851559400558,0.07219084352254868,,C,True,0.0017350451089441776,1.1865570545196533
0,21,Unstable angina,B,back_20,0.04150098246252713,,1.0,B,True,,
0,21,Unstable angina,B,local,0.08038924407458126,,1.0,B,True,,
0,21,Unstable angina,B,back_20_clamped,0.08036786488079581,0.08038924407458126,2.4798625245718333,B,True,,
0,21,Unstable angina,B,back_20_headpattern,0.08110536634922028,0.08038924634456635,,B,True,0.0014475153293460608,1.1653211116790771
0,21,Pulmonary embolism,C,back_20,0.04322712680150123,,1.0,C,True,,
0,21,Pulmonary embolism,C,local,0.08135945145778578,,1.0,C,True,,
0,21,Pulmonary embolism,C,back_20_clamped,0.08147354992390596,0.08135945145778578,2.452767053572933,C,True,,
0,21,Pulmonary embolism,C,back_20_headpattern,0.0803791955113411,0.08135944604873657,,C,True,0.001539914170280099,1.192252278327942
0,28,Scombroid food poisoning,A,back_20,0.03285633917954609,,1.0,E,False,,
0,28,Scombroid food poisoning,A,local,0.08859328390548171,,1.0,D,False,,
0,28,Scombroid food poisoning,A,back_20_clamped,0.0884454277346288,0.08859328390548171,3.299753128900569,E,False,,
0,28,Scombroid food poisoning,A,back_20_headpattern,0.09587320685386658,0.08859328180551529,,D,False,0.015857752412557602,1.2061355113983154
0,28,Chronic rhinosinusitis,B,back_20,0.026226478890785235,,1.0,E,False,,
0,28,Chronic rhinosinusitis,B,local,0.07024150163636023,,1.0,E,False,,
0,28,Chronic rhinosinusitis,B,back_20_clamped,0.0701403544389552,0.07024150163636023,2.9348611864995338,E,False,,
0,28,Chronic rhinosinusitis,B,back_20_headpattern,0.07010551542043686,0.07024150341749191,,E,False,0.0015287044225260615,1.3656734228134155
0,28,Myocarditis,C,back_20,0.024572340723822285,,1.0,E,False,,
0,28,Myocarditis,C,local,0.07248625612658088,,1.0,E,False,,
0,28,Myocarditis,C,back_20_clamped,0.07251136561740577,0.07248625612658088,3.3978556152525026,E,False,,
0,28,Myocarditis,C,back_20_headpattern,0.08447374403476715,0.0724862664937973,,D,False,0.016034182161092758,1.275536298751831
0,28,Possible NSTEMI / STEMI,A,back_20,0.030190902346641398,,1.0,D,False,,
0,28,Possible NSTEMI / STEMI,A,local,0.08348499079647809,,1.0,D,False,,
0,28,Possible NSTEMI / STEMI,A,back_20_clamped,0.0835908033391083,0.08348499079647809,3.2280395419261225,D,False,,
0,28,Possible NSTEMI / STEMI,A,back_20_headpattern,0.08333362638950348,0.08348499238491058,,D,False,0.002292640507221222,1.183477520942688
0,28,Bronchiectasis,D,back_20,0.02200929924216758,,1.0,B,False,,
0,28,Bronchiectasis,D,local,0.0656425746090008,,1.0,D,True,,
0,28,Bronchiectasis,D,back_20_clamped,0.06579998560100414,0.0656425746090008,3.4228336135610484,D,True,,
0,28,Bronchiectasis,D,back_20_headpattern,0.06518630683422089,0.0656425729393959,,D,True,0.0016688148025423288,1.2661103010177612
0,28,Anaphylaxis,A,back_20,0.037256944883258286,,1.0,D,False,,
0,28,Anaphylaxis,A,local,0.08798642397198364,,1.0,A,True,,
0,28,Anaphylaxis,A,back_20_clamped,0.08788947903432126,0.08798642397198364,2.9348611864995338,D,False,,
0,28,Anaphylaxis,A,back_20_headpattern,0.09498909115791321,0.08798642456531525,,D,False,0.014318102039396763,1.1841216087341309
0,28,Pericarditis,D,back_20,0.025494498836720822,,1.0,D,True,,
0,28,Pericarditis,D,local,0.072731174496937,,1.0,D,True,,
0,28,Pericarditis,D,back_20_clamped,0.07281671085799005,0.072731174496937,3.25176920420377,D,True,,
0,28,Pericarditis,D,back_20_headpattern,0.08830183744430542,0.07273117452859879,,D,True,0.017479173839092255,1.2647517919540405
0,28,HIV (initial infection),C,back_20,0.03873173522748738,,1.0,C,True,,
0,28,HIV (initial infection),C,local,0.09264575413692455,,1.0,C,True,,
0,28,HIV (initial infection),C,back_20_clamped,0.09240869983173788,0.09264575413692455,3.2044830459577827,C,True,,
0,28,HIV (initial infection),C,back_20_headpattern,0.09264730662107468,0.09264574944972992,,C,True,0.0015652204165235162,1.1693061590194702
0,35,PSVT,E,back_20,0.02493836691531319,,1.0,D,False,,
0,35,PSVT,E,local,0.07664690220377679,,1.0,D,False,,
0,35,PSVT,E,back_20_clamped,0.0768565755892765,0.07664690220377679,3.8483952760727633,D,False,,
0,35,PSVT,E,back_20_headpattern,0.07453441619873047,0.07664690166711807,,D,False,0.0053879087790846825,1.2660367488861084
0,35,Bronchospasm / acute asthma exacerbation,C,back_20,0.022105608449428785,,1.0,C,True,,
0,35,Bronchospasm / acute asthma exacerbation,C,local,0.05676640996540527,,1.0,C,True,,
0,35,Bronchospasm / acute asthma exacerbation,C,back_20_clamped,0.05681260664075477,0.05676640996540527,3.2044830459577827,C,True,,
0,35,Bronchospasm / acute asthma exacerbation,C,back_20_headpattern,0.059141021221876144,0.056766409426927567,,C,True,0.004199022427201271,1.2553977966308594
0,35,Chronic rhinosinusitis,A,back_20,0.028402245978815938,,1.0,A,True,,
0,35,Chronic rhinosinusitis,A,local,0.07427727829349351,,1.0,B,False,,
0,35,Chronic rhinosinusitis,A,back_20_clamped,0.07428370002988793,0.07427727829349351,3.134839965203738,A,True,,
0,35,Chronic rhinosinusitis,A,back_20_headpattern,0.07423871755599976,0.07427728176116943,,D,False,0.0017479700036346912,1.1887096166610718
0,35,URTI,D,back_20,0.02568028960575161,,1.0,D,True,,
0,35,URTI,D,local,0.06441443050715634,,1.0,D,True,,
0,35,URTI,D,back_20_clamped,0.0642941630876554,0.06441443050715634,3.0000615721275166,D,True,,
0,35,URTI,D,back_20_headpattern,0.0636085495352745,0.06441443413496017,,D,True,0.0012448298512026668,1.2476482391357422
0,35,Pericarditis,C,back_20,0.025895931021034234,,1.0,D,False,,
0,35,Pericarditis,C,local,0.07329351357000746,,1.0,C,True,,
0,35,Pericarditis,C,back_20_clamped,0.07317989321331077,0.07329351357000746,3.55050498884652,E,False,,
0,35,Pericarditis,C,back_20_headpattern,0.07214679569005966,0.07329351454973221,,D,False,0.00174304551910609,1.226599097251892
0,35,Anemia,B,back_20,0.031481563946997596,,1.0,B,True,,
0,35,Anemia,B,local,0.08882593943189931,,1.0,E,False,,
0,35,Anemia,B,back_20_clamped,0.08899847343879339,0.08882593943189931,3.4228336135610484,B,True,,
0,35,Anemia,B,back_20_headpattern,0.08826363831758499,0.08882594108581543,,D,False,0.0017023686086758971,1.2547345161437988
0,35,Atrial fibrillation,C,back_20,0.020580321667433815,,1.0,C,True,,
0,35,Atrial fibrillation,C,local,0.05264532797446009,,1.0,C,True,,
0,35,Atrial fibrillation,C,back_20_clamped,0.05270339551684053,0.05264532797446009,3.134839965203738,C,True,,
0,35,Atrial fibrillation,C,back_20_headpattern,0.06470348685979843,0.052645325660705566,,C,True,0.015125099569559097,1.3110642433166504
0,35,Pulmonary embolism,E,back_20,0.03405967327666962,,1.0,C,False,,
0,35,Pulmonary embolism,E,local,0.087970045686518,,1.0,E,True,,
0,35,Pulmonary embolism,E,back_20_clamped,0.08778167703602335,0.087970045686518,2.355925381856975,C,False,,
