method,condition,signed_strength,t_delay,delay_idx,indifference_multiplier,plot_multiplier,log_indifference_multiplier,logistic_alpha,logistic_beta_log_multiplier,status,parsed_weight_fraction,n_factor_rows,n_valid_factor_rows
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,1 hour,0,335532.280530626,,12.723473446952058,2.832867514459929,-0.2226489115783513,negative_slope_incoherent_amount_effect,0.9687500000000001,64,63
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,8 hours,1,4.129231402131556e+293,,676.0755235357306,1.775404133795189,-0.002626044091213663,negative_slope_incoherent_amount_effect,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,tomorrow,2,0.02940277877239051,1.0,-3.526666093036159,1.1275652786432002,0.3197255563461815,left_censored_threshold_below_tested_range,0.9995948712078773,64,61
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,2 days,3,1.2115260348018634e+28,,64.66426335460184,2.268874697893229,-0.03508699519936252,negative_slope_incoherent_amount_effect,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,week,4,6.078389333958084,6.078389333958084,1.8047397487046997,-0.4354120580199378,0.24126030267380233,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,month,5,1.3097500888312845,1.3097500888312845,0.2698363471292739,-0.15086887922069092,0.5591125169968754,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,3 months,6,1.2672970111348676e-188,,-432.64911118822863,-0.38642907528016013,-0.0008931696963825265,negative_slope_incoherent_amount_effect,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,year,7,12.085796929420455,12.085796929420455,2.4920309556652005,-1.3794521174710084,0.5535453379240989,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,2 years,8,0.2522656458521064,,-1.3772725964901111,-0.32859530513381496,-0.23858407258753173,negative_slope_incoherent_amount_effect,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,3 years,9,0.1539368047378697,,-1.8712131196337418,-0.2032762895540396,-0.10863342471317616,negative_slope_incoherent_amount_effect,1.0,64,64
