train_dataset,train_dataset_label,feature_name,train_domain,cross_domain,layer,train_size,explicit_train_question_count,explicit_test_question_count,implicit_train_question_count,implicit_test_question_count,whitener_cov_reg_condition_number,wmm_reg,mm_raw_norm,mm_vector_norm,wmm_raw_norm,wmm_vector_norm,lr_train_acc,lr_explicit_holdout_acc,lr_implicit_holdout_acc,lr_explicit_full_acc,lr_implicit_full_acc,lr_in_domain_holdout_acc,lr_cross_domain_holdout_acc,lr_in_domain_full_acc,lr_cross_domain_full_acc,wlr_train_acc,wlr_explicit_holdout_acc,wlr_implicit_holdout_acc,wlr_explicit_full_acc,wlr_implicit_full_acc,wlr_in_domain_holdout_acc,wlr_cross_domain_holdout_acc,wlr_in_domain_full_acc,wlr_cross_domain_full_acc,mm_train_acc,mm_explicit_holdout_acc,mm_implicit_holdout_acc,mm_explicit_full_acc,mm_implicit_full_acc,mm_in_domain_holdout_acc,mm_cross_domain_holdout_acc,mm_in_domain_full_acc,mm_cross_domain_full_acc,wmm_train_acc,wmm_explicit_holdout_acc,wmm_implicit_holdout_acc,wmm_explicit_full_acc,wmm_implicit_full_acc,wmm_in_domain_holdout_acc,wmm_cross_domain_holdout_acc,wmm_in_domain_full_acc,wmm_cross_domain_full_acc
explicit_train_only,explicit train only,last_answer_token,explicit,implicit,24,800,400,100,210,90,35973.39121698811,0.01,65.24691009521484,1.0,0.17950816452503204,1.0,1.0,0.995,0.8111111111111111,0.999,0.8216666666666667,0.995,0.8111111111111111,0.999,0.8216666666666667,1.0,0.995,0.8166666666666667,0.999,0.8,0.995,0.8166666666666667,0.999,0.8,0.97125,0.96,0.6777777777777778,0.969,0.7433333333333333,0.96,0.6777777777777778,0.969,0.7433333333333333,1.0,0.995,0.8166666666666667,0.999,0.8,0.995,0.8166666666666667,0.999,0.8
explicit_train_only,explicit train only,last_answer_token,explicit,implicit,28,800,400,100,210,90,38329.59005225949,0.01,72.74037170410156,0.9999998807907104,0.16666392982006073,0.9999999403953552,1.0,0.995,0.8,0.999,0.81,0.995,0.8,0.999,0.81,1.0,0.985,0.7666666666666667,0.997,0.78,0.985,0.7666666666666667,0.997,0.78,0.96125,0.955,0.6611111111111111,0.96,0.7133333333333334,0.955,0.6611111111111111,0.96,0.7133333333333334,1.0,0.985,0.7666666666666667,0.997,0.78,0.985,0.7666666666666667,0.997,0.78
explicit_train_only,explicit train only,last_answer_token,explicit,implicit,32,800,400,100,210,90,39192.69055019309,0.01,72.53226470947266,0.9999999403953552,0.1699134260416031,1.0,1.0,0.985,0.8055555555555556,0.997,0.8033333333333333,0.985,0.8055555555555556,0.997,0.8033333333333333,1.0,0.98,0.7888888888888889,0.996,0.8083333333333333,0.98,0.7888888888888889,0.996,0.8083333333333333,0.9525,0.965,0.6611111111111111,0.955,0.7066666666666667,0.965,0.6611111111111111,0.955,0.7066666666666667,1.0,0.98,0.7833333333333333,0.996,0.8066666666666666,0.98,0.7833333333333333,0.996,0.8066666666666666
explicit_train_only,explicit train only,last_answer_token,explicit,implicit,36,800,400,100,210,90,41347.404552917396,0.01,81.39839935302734,0.9999999403953552,0.16310729086399078,0.9999999403953552,1.0,0.99,0.8166666666666667,0.998,0.835,0.99,0.8166666666666667,0.998,0.835,1.0,0.98,0.75,0.996,0.7766666666666666,0.98,0.75,0.996,0.7766666666666666,0.9325,0.935,0.65,0.933,0.66,0.935,0.65,0.933,0.66,1.0,0.98,0.75,0.996,0.7766666666666666,0.98,0.75,0.996,0.7766666666666666
explicit_train_only,explicit train only,last_answer_token,explicit,implicit,40,800,400,100,210,90,44404.480854532936,0.01,79.54540252685547,0.9999999403953552,0.18620216846466064,0.9999999403953552,1.0,0.985,0.8277777777777777,0.997,0.845,0.985,0.8277777777777777,0.997,0.845,1.0,0.975,0.8277777777777777,0.995,0.8116666666666666,0.975,0.8277777777777777,0.995,0.8116666666666666,0.96,0.965,0.6944444444444444,0.961,0.735,0.965,0.6944444444444444,0.961,0.735,1.0,0.975,0.8277777777777777,0.995,0.8116666666666666,0.975,0.8277777777777777,0.995,0.8116666666666666
explicit_train_only,explicit train only,last_answer_token,explicit,implicit,44,800,400,100,210,90,42559.88980988572,0.01,81.52161407470703,1.0,0.17284132540225983,0.9999999403953552,1.0,0.995,0.7833333333333333,0.999,0.825,0.995,0.7833333333333333,0.999,0.825,1.0,0.995,0.7666666666666667,0.999,0.7966666666666666,0.995,0.7666666666666667,0.999,0.7966666666666666,0.93375,0.925,0.6277777777777778,0.932,0.63,0.925,0.6277777777777778,0.932,0.63,1.0,0.995,0.7666666666666667,0.999,0.7983333333333333,0.995,0.7666666666666667,0.999,0.7983333333333333
explicit_train_only,explicit train only,last_answer_token,explicit,implicit,48,800,400,100,210,90,38290.04931381011,0.01,98.07209777832031,1.0,0.1412430852651596,0.9999998807907104,1.0,0.985,0.7888888888888889,0.997,0.8383333333333334,0.985,0.7888888888888889,0.997,0.8383333333333334,1.0,0.99,0.8055555555555556,0.998,0.825,0.99,0.8055555555555556,0.998,0.825,0.8225,0.825,0.5222222222222223,0.823,0.515,0.825,0.5222222222222223,0.823,0.515,1.0,0.99,0.8055555555555556,0.998,0.8266666666666667,0.99,0.8055555555555556,0.998,0.8266666666666667
explicit_train_only,explicit train only,mean_answer_tokens,explicit,implicit,24,800,400,100,210,90,35093.05059960036,0.01,46.8170051574707,1.0,0.33629244565963745,0.9999999403953552,1.0,0.985,0.8,0.997,0.835,0.985,0.8,0.997,0.835,1.0,0.985,0.75,0.997,0.77,0.985,0.75,0.997,0.77,0.96125,0.96,0.6777777777777778,0.961,0.6516666666666666,0.96,0.6777777777777778,0.961,0.6516666666666666,1.0,0.985,0.75,0.997,0.7766666666666666,0.985,0.75,0.997,0.7766666666666666
explicit_train_only,explicit train only,mean_answer_tokens,explicit,implicit,28,800,400,100,210,90,33003.82904222621,0.01,53.301841735839844,0.9999999403953552,0.2820912003517151,1.0,1.0,0.99,0.7888888888888889,0.998,0.8066666666666666,0.99,0.7888888888888889,0.998,0.8066666666666666,1.0,0.975,0.7888888888888889,0.995,0.8033333333333333,0.975,0.7888888888888889,0.995,0.8033333333333333,0.95875,0.955,0.6444444444444445,0.958,0.62,0.955,0.6444444444444445,0.958,0.62,1.0,0.975,0.7888888888888889,0.995,0.8033333333333333,0.975,0.7888888888888889,0.995,0.8033333333333333
explicit_train_only,explicit train only,mean_answer_tokens,explicit,implicit,32,800,400,100,210,90,32559.36719543156,0.01,54.074764251708984,1.0,0.2814997136592865,1.0,1.0,0.99,0.7833333333333333,0.998,0.81,0.99,0.7833333333333333,0.998,0.81,1.0,0.99,0.7611111111111111,0.998,0.7916666666666666,0.99,0.7611111111111111,0.998,0.7916666666666666,0.9575,0.96,0.7722222222222223,0.958,0.77,0.96,0.7722222222222223,0.958,0.77,1.0,0.99,0.7611111111111111,0.998,0.7916666666666666,0.99,0.7611111111111111,0.998,0.7916666666666666
explicit_train_only,explicit train only,mean_answer_tokens,explicit,implicit,36,800,400,100,210,90,39177.184325766364,0.01,60.23910140991211,1.0,0.274241179227829,0.9999999403953552,1.0,0.99,0.7555555555555555,0.998,0.8016666666666666,0.99,0.7555555555555555,0.998,0.8016666666666666,1.0,0.98,0.7222222222222222,0.996,0.7516666666666667,0.98,0.7222222222222222,0.996,0.7516666666666667,0.8825,0.865,0.5055555555555555,0.879,0.5033333333333333,0.865,0.5055555555555555,0.879,0.5033333333333333,1.0,0.98,0.7277777777777777,0.996,0.7583333333333333,0.98,0.7277777777777777,0.996,0.7583333333333333
explicit_train_only,explicit train only,mean_answer_tokens,explicit,implicit,40,800,400,100,210,90,42308.12873686424,0.01,58.87765884399414,1.0,0.32088610529899597,0.9999999403953552,1.0,0.99,0.7555555555555555,0.998,0.8,0.99,0.7555555555555555,0.998,0.8,1.0,0.985,0.6888888888888889,0.997,0.72,0.985,0.6888888888888889,0.997,0.72,0.9325,0.915,0.6444444444444445,0.929,0.6316666666666667,0.915,0.6444444444444445,0.929,0.6316666666666667,1.0,0.985,0.6888888888888889,0.997,0.7283333333333334,0.985,0.6888888888888889,0.997,0.7283333333333334
explicit_train_only,explicit train only,mean_answer_tokens,explicit,implicit,44,800,400,100,210,90,45360.03108539146,0.01,60.44503402709961,1.0,0.31180882453918457,0.9999998807907104,1.0,0.985,0.7722222222222223,0.997,0.8183333333333334,0.985,0.7722222222222223,0.997,0.8183333333333334,1.0,0.985,0.7166666666666667,0.997,0.7183333333333334,0.985,0.7166666666666667,0.997,0.7183333333333334,0.89,0.865,0.5055555555555555,0.885,0.5033333333333333,0.865,0.5055555555555555,0.885,0.5033333333333333,1.0,0.985,0.7166666666666667,0.997,0.7183333333333334,0.985,0.7166666666666667,0.997,0.7183333333333334
