item,arm,level,target_share,achieved_share,scale,bias_nats,ctx_tokens,fill,gold,pred,correct,parsed,n_obeyed,obey_prefix_marker,obey_suffix_ok,obey_forbid_diagnosis,response
0,demonstrated,natural,,0.16160678474387424,1.0,0.0,395,0.0964,B,B,True,True,3,True,True,True,◆B⟦OK⟧
0,demonstrated,0.0500,0.05,0.04928956747142754,0.0759162135601666,-2.578125,395,0.0964,B,B,True,True,1,False,False,True,B) GERD
1,demonstrated,natural,,0.17168612892237434,1.0,0.0,339,0.0828,E,B,False,True,3,True,True,True,◆B⟦OK⟧
1,demonstrated,0.0500,0.05,0.04958763118227694,0.07159580830181511,-2.63671875,339,0.0828,E,A,False,True,1,False,False,True,◦ A
2,demonstrated,natural,,0.1675369097155226,1.0,0.0,348,0.085,D,D,True,True,3,True,True,True,◆D⟦OK⟧
2,demonstrated,0.0500,0.05,0.05043488978469668,0.07159580830181511,-2.63671875,348,0.085,D,C,False,True,1,False,False,True,C) Bronchitis
3,demonstrated,natural,,0.1664993484236561,1.0,0.0,360,0.0879,C,B,False,True,3,True,True,True,◆B⟦OK⟧
3,demonstrated,0.0500,0.05,0.04937392547970276,0.07159580830181511,-2.63671875,360,0.0879,C,C,True,True,1,False,False,True,C) URTI
4,demonstrated,natural,,0.16112414753899174,1.0,0.0,439,0.1072,D,D,True,True,3,True,True,True,◆D⟦OK⟧
4,demonstrated,0.0500,0.05,0.05071152059488493,0.08535489323371559,-2.4609375,439,0.1072,D,D,True,True,1,False,False,True,D) Inguinal hernia
5,demonstrated,natural,,0.16785350281190858,1.0,0.0,363,0.0886,B,B,True,True,3,True,True,True,◆ B ⟦OK⟧
5,demonstrated,0.0500,0.05,0.049321699671406094,0.07159580830181511,-2.63671875,363,0.0886,B,C,False,True,1,False,False,True,C) Unstable angina
6,demonstrated,natural,,0.16459095942246904,1.0,0.0,370,0.0903,D,C,False,True,3,True,True,True,◆C⟦OK⟧
6,demonstrated,0.0500,0.05,0.05053219182939017,0.08049733103113403,-2.51953125,370,0.0903,D,C,False,True,1,False,False,True,C) URTI
7,demonstrated,natural,,0.16518449346733632,1.0,0.0,419,0.1023,B,D,False,True,3,True,True,True,◆D⟦OK⟧
7,demonstrated,0.0500,0.05,0.0493949510585876,0.0759162135601666,-2.578125,419,0.1023,B,B,True,True,1,False,False,True,B) GERD
8,demonstrated,natural,,0.1692370628595654,1.0,0.0,358,0.0874,E,B,False,True,3,True,True,True,◆B⟦OK⟧
8,demonstrated,0.0500,0.05,0.05036523987818242,0.0759162135601666,-2.578125,358,0.0874,E,C,False,True,1,False,False,True,C) Allergic sinusitis
9,demonstrated,natural,,0.17021433042987155,1.0,0.0,332,0.0811,C,C,True,True,3,True,True,True,◆C⟦OK⟧
9,demonstrated,0.0500,0.05,0.04935842766957421,0.07159580830181511,-2.63671875,332,0.0811,C,C,True,True,1,False,False,True,C) URTI
10,demonstrated,natural,,0.16228959892196393,1.0,0.0,455,0.1111,C,C,True,True,3,True,True,True,◆C⟦OK⟧
10,demonstrated,0.0500,0.05,0.04969179471731067,0.0759162135601666,-2.578125,455,0.1111,C,C,True,True,1,False,False,True,C) Anemia
11,demonstrated,natural,,0.16576397073046678,1.0,0.0,365,0.0891,D,D,True,True,3,True,True,True,◆D⟦OK⟧
11,demonstrated,0.0500,0.05,0.05070739161343951,0.08049733103113403,-2.51953125,365,0.0891,D,C,False,True,1,False,False,True,C) Bronchitis
12,demonstrated,natural,,0.16571533895688617,1.0,0.0,362,0.0884,A,B,False,True,3,True,True,True,◆ B ⟦OK⟧
