method,model_tag,best_layer,best_test_acc,mean_test_acc,n_layers
lr,Qwen__Qwen3-4B,13,1.0,0.9263888888888889,36
lr,gpt2,10,0.95,0.7083333333333334,12
lr,meta-llama__Llama-3.2-3B,8,0.95,0.8749999999999998,28
lr,microsoft__Phi-3-mini-4k-instruct,28,1.0,0.89375,32
dmm,Qwen__Qwen3-4B,27,1.0,0.9083333333333334,36
dmm,gpt2,8,0.85,0.7416666666666666,12
dmm,meta-llama__Llama-3.2-3B,4,1.0,0.8410714285714286,28
dmm,microsoft__Phi-3-mini-4k-instruct,8,1.0,0.88125,32
attn,Qwen__Qwen3-4B,26,0.75,0.5805555555555556,36
attn,gpt2,9,0.7,0.5541666666666666,12
attn,meta-llama__Llama-3.2-3B,20,0.75,0.5625000000000001,28
attn,microsoft__Phi-3-mini-4k-instruct,8,0.75,0.578125,32
