probe,condition,filler,depth,closed,ctx_tokens,fill,patch_tokens,gold,s_a,s_b,s_p
0,pure_a,code,15,True,3712,0.9062,0,C,-16.829010009765625,-22.557506561279297,-5.912613868713379
0,pure_b,code,15,True,3712,0.9062,0,C,-16.868494033813477,-22.65254020690918,-5.880686283111572
0,patch_ab,code,15,True,3712,0.9062,185,C,-17.05989646911621,-22.681095123291016,-5.908176898956299
0,patch_bb,code,15,True,3712,0.9062,185,C,-16.99488067626953,-22.677698135375977,-5.899817943572998
0,patch_ba,code,15,True,3712,0.9062,185,C,-17.118019104003906,-22.67329216003418,-5.8501362800598145
0,patch_aa,code,15,True,3712,0.9062,185,C,-16.87543487548828,-22.676172256469727,-5.884402275085449
0,unrel_pure_y,code,15,True,3719,0.908,0,C,-16.814802169799805,-22.516923904418945,-5.855608940124512
0,unrel_patch_xy,code,15,True,3719,0.908,185,C,-16.870655059814453,-22.6883487701416,-5.908412933349609
0,unrel_patch_yy,code,15,True,3719,0.908,185,C,-16.917137145996094,-22.662137985229492,-5.808690547943115
1,pure_a,code,15,True,3817,0.9319,0,E,-16.686222076416016,-20.72215461730957,-4.106841564178467
1,pure_b,code,15,True,3817,0.9319,0,E,-16.877763748168945,-20.92021942138672,-3.8481874465942383
1,patch_ab,code,15,True,3817,0.9319,185,E,-16.97099494934082,-21.032941818237305,-3.6451830863952637
1,patch_bb,code,15,True,3817,0.9319,185,E,-16.968847274780273,-20.963214874267578,-3.6232428550720215
1,patch_ba,code,15,True,3817,0.9319,185,E,-16.965612411499023,-20.976762771606445,-3.902254104614258
1,patch_aa,code,15,True,3817,0.9319,185,E,-16.896623611450195,-20.974138259887695,-3.7189877033233643
1,unrel_pure_y,code,15,True,3824,0.9336,0,E,-16.779869079589844,-20.948810577392578,-3.8672122955322266
1,unrel_patch_xy,code,15,True,3824,0.9336,185,E,-16.861461639404297,-20.864219665527344,-3.8447601795196533
1,unrel_patch_yy,code,15,True,3824,0.9336,185,E,-16.789873123168945,-20.90376853942871,-3.9251725673675537
2,pure_a,code,15,True,3942,0.9624,0,A,-15.781464576721191,-22.723722457885742,-7.956896781921387
2,pure_b,code,15,True,3942,0.9624,0,A,-15.765827178955078,-22.778730392456055,-7.9331207275390625
2,patch_ab,code,15,True,3942,0.9624,185,A,-15.79889965057373,-22.72687530517578,-7.901383876800537
2,patch_bb,code,15,True,3942,0.9624,185,A,-15.894731521606445,-22.66651725769043,-7.991122245788574
2,patch_ba,code,15,True,3942,0.9624,185,A,-15.896819114685059,-22.769197463989258,-7.924770832061768
2,patch_aa,code,15,True,3942,0.9624,185,A,-15.735089302062988,-22.75245475769043,-7.896470546722412
2,unrel_pure_y,code,15,True,3949,0.9641,0,A,-15.721365928649902,-22.710729598999023,-7.942049980163574
2,unrel_patch_xy,code,15,True,3949,0.9641,185,A,-15.802547454833984,-22.7081356048584,-7.850907325744629
2,unrel_patch_yy,code,15,True,3949,0.9641,185,A,-15.747559547424316,-22.71953582763672,-7.894876956939697
3,pure_a,code,15,True,3879,0.947,0,A,-16.273130416870117,-23.216753005981445,-7.920734405517578
3,pure_b,code,15,True,3879,0.947,0,A,-16.313405990600586,-23.17270851135254,-7.9326629638671875
3,patch_ab,code,15,True,3879,0.947,185,A,-16.4136905670166,-23.250850677490234,-7.95246696472168
3,patch_bb,code,15,True,3879,0.947,185,A,-16.46558952331543,-23.2567081451416,-7.8695549964904785
3,patch_ba,code,15,True,3879,0.947,185,A,-16.367843627929688,-23.10531234741211,-7.817338943481445
3,patch_aa,code,15,True,3879,0.947,185,A,-16.270273208618164,-23.10759925842285,-7.861403942108154
3,unrel_pure_y,code,15,True,3886,0.9487,0,A,-16.366167068481445,-23.25255584716797,-8.025245666503906
3,unrel_patch_xy,code,15,True,3886,0.9487,185,A,-16.310138702392578,-23.126222610473633,-7.871257305145264
3,unrel_patch_yy,code,15,True,3886,0.9487,185,A,-16.30681610107422,-23.11992835998535,-7.902610778808594
4,pure_a,code,15,True,3866,0.9438,0,A,-16.07278060913086,-23.266191482543945,-8.6129150390625
4,pure_b,code,15,True,3866,0.9438,0,A,-16.05779266357422,-23.016721725463867,-8.552228927612305
4,patch_ab,code,15,True,3866,0.9438,185,A,-16.287200927734375,-23.23377799987793,-8.659406661987305
4,patch_bb,code,15,True,3866,0.9438,185,A,-16.268491744995117,-23.16075897216797,-8.567891120910645
4,patch_ba,code,15,True,3866,0.9438,185,A,-16.285442352294922,-23.19597625732422,-8.571423530578613
4,patch_aa,code,15,True,3866,0.9438,185,A,-16.31230926513672,-23.26606559753418,-8.560750007629395
4,unrel_pure_y,code,15,True,3873,0.9456,0,A,-16.150630950927734,-23.165821075439453,-8.665555000305176
4,unrel_patch_xy,code,15,True,3873,0.9456,185,A,-16.127342224121094,-23.074687957763672,-8.597735404968262
4,unrel_patch_yy,code,15,True,3873,0.9456,185,A,-16.223834991455078,-23.095701217651367,-8.562686920166016
5,pure_a,code,15,True,3891,0.95,0,D,-17.050907135009766,-22.613845825195312,-7.479518890380859
5,pure_b,code,15,True,3891,0.95,0,D,-17.036338806152344,-22.53376007080078,-7.421831130981445
5,patch_ab,code,15,True,3891,0.95,185,D,-17.053464889526367,-22.553926467895508,-7.423201084136963
5,patch_bb,code,15,True,3891,0.95,185,D,-17.1734676361084,-22.588899612426758,-7.385754108428955
5,patch_ba,code,15,True,3891,0.95,185,D,-17.08282470703125,-22.434724807739258,-7.461288928985596
5,patch_aa,code,15,True,3891,0.95,185,D,-17.067005157470703,-22.56770133972168,-7.349786281585693
5,unrel_pure_y,code,15,True,3898,0.9517,0,D,-16.944433212280273,-22.413719177246094,-7.388072490692139
5,unrel_patch_xy,code,15,True,3898,0.9517,185,D,-17.112777709960938,-22.56900405883789,-7.444667816162109
5,unrel_patch_yy,code,15,True,3898,0.9517,185,D,-16.89839744567871,-22.434682846069336,-7.4039530754089355
6,pure_a,code,15,True,3827,0.9343,0,D,-14.16951847076416,-22.063379287719727,-7.611357688903809
6,pure_b,code,15,True,3827,0.9343,0,D,-14.245367050170898,-22.133419036865234,-7.596411228179932
6,patch_ab,code,15,True,3827,0.9343,185,D,-14.296262741088867,-22.220722198486328,-7.558566570281982
6,patch_bb,code,15,True,3827,0.9343,185,D,-14.471463203430176,-22.078369140625,-7.527102470397949
6,patch_ba,code,15,True,3827,0.9343,185,D,-14.524853706359863,-22.201047897338867,-7.5027289390563965
6,patch_aa,code,15,True,3827,0.9343,185,D,-14.33107852935791,-22.053497314453125,-7.554401874542236
6,unrel_pure_y,code,15,True,3834,0.936,0,D,-14.268298149108887,-22.19439125061035,-7.681302070617676
6,unrel_patch_xy,code,15,True,3834,0.936,185,D,-14.346944808959961,-22.17750358581543,-7.50657844543457
6,unrel_patch_yy,code,15,True,3834,0.936,185,D,-14.24495792388916,-22.036510467529297,-7.523829936981201
7,pure_a,code,15,True,3923,0.9578,0,E,-16.375017166137695,-22.871265411376953,-7.834836483001709
7,pure_b,code,15,True,3923,0.9578,0,E,-16.307540893554688,-22.85896873474121,-7.6871538162231445
7,patch_ab,code,15,True,3923,0.9578,185,E,-16.33028793334961,-22.934450149536133,-7.578754425048828
7,patch_bb,code,15,True,3923,0.9578,185,E,-16.508481979370117,-22.864713668823242,-7.708342552185059
7,patch_ba,code,15,True,3923,0.9578,185,E,-16.43491554260254,-22.83669090270996,-7.810158729553223
7,patch_aa,code,15,True,3923,0.9578,185,E,-16.44776725769043,-22.941164016723633,-7.560733318328857
