artifact,path
raw_csv,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/mmraz_time_utility_qwen3_32b_probe_steered_raw_20260410-111315.csv
summary_csv,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/mmraz_time_utility_qwen3_32b_probe_steered_summary_20260410-111315.csv
config_json,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/mmraz_time_utility_qwen3_32b_probe_steered_config_20260410-111315.json
plot_index_csv,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/mmraz_time_utility_qwen3_32b_probe_steered_plots_20260410-111315.csv
partial_dir,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/partial
baseline_choose_x_now,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_baseline_layer40_strength0_choose_x_now.png
baseline_unparsed_rate,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_baseline_layer40_strength0_unparsed_rate.png
steer_immediate_minus128_choose_x_now,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_immediate_minus128_layer40_strength128_choose_x_now.png
steer_immediate_minus128_unparsed_rate,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_immediate_minus128_layer40_strength128_unparsed_rate.png
steer_immediate_minus16_choose_x_now,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_immediate_minus16_layer40_strength16_choose_x_now.png
steer_immediate_minus16_unparsed_rate,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_immediate_minus16_layer40_strength16_unparsed_rate.png
steer_immediate_minus256_choose_x_now,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_immediate_minus256_layer40_strength256_choose_x_now.png
steer_immediate_minus256_unparsed_rate,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_immediate_minus256_layer40_strength256_unparsed_rate.png
steer_immediate_minus32_choose_x_now,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_immediate_minus32_layer40_strength32_choose_x_now.png
steer_immediate_minus32_unparsed_rate,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_immediate_minus32_layer40_strength32_unparsed_rate.png
steer_immediate_minus512_choose_x_now,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_immediate_minus512_layer40_strength512_choose_x_now.png
steer_immediate_minus512_unparsed_rate,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_immediate_minus512_layer40_strength512_unparsed_rate.png
steer_immediate_minus64_choose_x_now,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_immediate_minus64_layer40_strength64_choose_x_now.png
steer_immediate_minus64_unparsed_rate,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_immediate_minus64_layer40_strength64_unparsed_rate.png
steer_immediate_minus8_choose_x_now,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_immediate_minus8_layer40_strength8_choose_x_now.png
steer_immediate_minus8_unparsed_rate,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_immediate_minus8_layer40_strength8_unparsed_rate.png
steer_long_term_plus128_choose_x_now,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_long_term_plus128_layer40_strength128_choose_x_now.png
steer_long_term_plus128_unparsed_rate,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_long_term_plus128_layer40_strength128_unparsed_rate.png
steer_long_term_plus16_choose_x_now,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_long_term_plus16_layer40_strength16_choose_x_now.png
steer_long_term_plus16_unparsed_rate,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_long_term_plus16_layer40_strength16_unparsed_rate.png
steer_long_term_plus256_choose_x_now,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_long_term_plus256_layer40_strength256_choose_x_now.png
steer_long_term_plus256_unparsed_rate,/Users/michalmraz/code/spar-ai/temporal-awareness/results/qwen3_32b/time_utility_experiment_probe_steered/20260410-111315/qwen3_32b_steer_long_term_plus256_layer40_strength256_unparsed_rate.png
