dataset,train_regime,feature_name,vector_key,probe_variant,condition,layer,strength,signed_strength,raw_vector_norm,steering_vector_norm,baseline_prop_choose_long_term,baseline_prop_choose_immediate,baseline_prop_choose_long_term_no_fallback,baseline_prop_choose_immediate_no_fallback,baseline_mean_long_minus_immediate_avg_logprob,baseline_prop_logprob_prefers_long_term,delta_long_term_vs_baseline,delta_immediate_vs_baseline,delta_long_term_vs_baseline_no_fallback,delta_immediate_vs_baseline_no_fallback,delta_long_minus_immediate_avg_logprob_vs_baseline,delta_prop_logprob_prefers_long_term_vs_baseline,steering_success,steering_success_no_fallback,result_source,reused_from_path,n_prompts,n_no_fallback_prompts,prop_choose_long_term,prop_choose_immediate,prop_choose_long_term_no_fallback,prop_choose_immediate_no_fallback,fallback_rate,direct_parse_rate,mean_long_minus_immediate_avg_logprob,mean_long_minus_immediate_sum_logprob,prop_logprob_prefers_long_term
explicit_test,explicit_train_only,mean_answer_tokens,mm_probe_vectors,baseline,baseline,-1,0.0,0.0,,,0.58,0.42,0.6363636363636364,0.36363636363636365,1.400651198476553,0.72,0.0,0.0,0.0,0.0,0.0,0.0,,,computed_now,,100,88,0.58,0.42,0.6363636363636364,0.36363636363636365,0.12,0.88,1.400651198476553,3.9262298774719238,0.72
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,baseline,baseline,-1,0.0,0.0,,,0.6433333333333333,0.3566666666666667,0.6385135135135135,0.3614864864864865,0.6451470051209132,0.65,0.0,0.0,0.0,0.0,0.0,0.0,,,computed_now,,300,296,0.6433333333333333,0.3566666666666667,0.6385135135135135,0.3614864864864865,0.013333333333333334,0.9866666666666667,0.6451470051209132,3.909743695259094,0.65
explicit_test,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_long_term,14,2.0,2.0,11.375507354736328,0.9999999403953552,0.58,0.42,0.6363636363636364,0.36363636363636365,1.400651198476553,0.72,0.010000000000000009,-0.010000000000000009,0.018808777429467072,-0.018808777429467072,0.0298952171951532,0.0,0.59,0.6551724137931034,computed_now,,100,87,0.59,0.41,0.6551724137931034,0.3448275862068966,0.13,0.87,1.4305464156717063,4.0477546197175975,0.72
explicit_test,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_immediate,14,2.0,-2.0,11.375507354736328,0.9999999403953552,0.58,0.42,0.6363636363636364,0.36363636363636365,1.400651198476553,0.72,0.010000000000000009,-0.010000000000000009,0.011363636363636354,-0.011363636363636354,-0.02922265253961087,0.0,0.41,0.3522727272727273,computed_now,,100,88,0.59,0.41,0.6477272727272727,0.3522727272727273,0.12,0.88,1.3714285459369422,3.8113467651605606,0.72
explicit_test,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_long_term,14,4.0,4.0,11.375507354736328,0.9999999403953552,0.58,0.42,0.6363636363636364,0.36363636363636365,1.400651198476553,0.72,0.0,0.0,0.018808777429467072,-0.018808777429467072,0.058820380829274654,0.0,0.58,0.6551724137931034,computed_now,,100,87,0.58,0.42,0.6551724137931034,0.3448275862068966,0.13,0.87,1.4594715793058277,4.16595917135477,0.72
explicit_test,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_immediate,14,4.0,-4.0,11.375507354736328,0.9999999403953552,0.58,0.42,0.6363636363636364,0.36363636363636365,1.400651198476553,0.72,0.010000000000000009,-0.010000000000000009,-0.009990009990009985,0.009990009990009985,-0.0533459086716177,0.0,0.41,0.37362637362637363,computed_now,,100,91,0.59,0.41,0.6263736263736264,0.37362637362637363,0.09,0.91,1.3473052898049354,3.7173233783245085,0.72
explicit_test,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_long_term,14,8.0,8.0,11.375507354736328,0.9999999403953552,0.58,0.42,0.6363636363636364,0.36363636363636365,1.400651198476553,0.72,0.010000000000000009,-0.010000000000000009,0.04179728317659348,-0.041797283176593536,0.11280053611844765,0.0,0.59,0.6781609195402298,computed_now,,100,87,0.59,0.41,0.6781609195402298,0.3218390804597701,0.13,0.87,1.5134517345950007,4.39545776873827,0.72
explicit_test,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_immediate,14,8.0,-8.0,11.375507354736328,0.9999999403953552,0.58,0.42,0.6363636363636364,0.36363636363636365,1.400651198476553,0.72,0.030000000000000027,-0.02999999999999997,-0.004784688995215336,0.0047846889952152805,-0.09044534213840971,0.0,0.39,0.3684210526315789,computed_now,,100,95,0.61,0.39,0.631578947368421,0.3684210526315789,0.05,0.95,1.3102058563381433,3.5857213920354845,0.72
explicit_test,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_long_term,14,16.0,16.0,11.375507354736328,0.9999999403953552,0.58,0.42,0.6363636363636364,0.36363636363636365,1.400651198476553,0.72,0.050000000000000044,-0.04999999999999999,0.10173160173160178,-0.10173160173160173,0.202893678098917,-0.010000000000000009,0.63,0.7380952380952381,computed_now,,100,84,0.63,0.37,0.7380952380952381,0.2619047619047619,0.16,0.84,1.60354487657547,4.811215327978134,0.71
explicit_test,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_immediate,14,16.0,-16.0,11.375507354736328,0.9999999403953552,0.58,0.42,0.6363636363636364,0.36363636363636365,1.400651198476553,0.72,0.010000000000000009,-0.010000000000000009,-0.03432282003710574,0.03432282003710574,-0.08407391890883464,-0.020000000000000018,0.41,0.3979591836734694,computed_now,,100,98,0.59,0.41,0.6020408163265306,0.3979591836734694,0.02,0.98,1.3165772795677184,3.6662657713890074,0.7
