case,context_fill,correct,pred,gold
0,0.02294921875,False,,A
1,0.08544921875,False,B,E
2,0.12744140625,False,B,C
3,0.1634521484375,True,D,D
4,0.23388671875,False,B,A
5,0.308837890625,True,D,D
6,0.3604736328125,False,B,D
7,0.4024658203125,False,B,C
8,0.4427490234375,False,B,D
9,0.4754638671875,True,C,C
10,0.5184326171875,False,B,D
11,0.5577392578125,True,B,B
12,0.6121826171875,False,B,D
13,0.653076171875,True,A,A
14,0.692138671875,False,A,C
15,0.7518310546875,False,C,A
16,0.7950439453125,False,E,D
17,0.8359375,True,A,A
18,0.8673095703125,False,A,B
