method,condition,signed_strength,t_delay,delay_idx,indifference_multiplier,plot_multiplier,log_indifference_multiplier,logistic_alpha,logistic_beta_log_multiplier,status,parsed_weight_fraction,n_factor_rows,n_valid_factor_rows,time_delay_format,day_count_delays,time_delay_format_source
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,1 hour,0,4111.441659755996,,8.321529014782367,4.900617045221919,-0.5889082446887418,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,8 hours,1,1084.712855787234,,6.989070581904798,4.088205426370772,-0.5849426441557805,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,1 day,2,1831.5285766063607,,7.512906184939822,5.491752482914212,-0.7309757832358984,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,2 days,3,1269.946914174125,,7.1467303787161045,5.8858771561958445,-0.8235762151773285,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,7 days,4,4175.731836641421,,8.337044912136935,4.884930391792063,-0.5859306796681232,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,30 days,5,0.14935297039683404,1.0,-1.901442845687306,1.0385625187119907,0.5461970740101768,left_censored_threshold_below_tested_range,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,90 days,6,2.8835082525000577,2.8835082525000577,1.0590076960425512,-0.9512295177638772,0.8982272001597017,finite,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,365 days,7,3.2321328019621265,3.2321328019621265,1.1731422295306941,-0.37744081935872015,0.32173491828839224,finite,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,730 days,8,6.428189530823955,6.428189530823955,1.8606929326341077,-1.0854436019713505,0.5833545035476283,finite,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,1095 days,9,1.9878127525720812,1.9878127525720812,0.6870349149512927,-0.23210930126502893,0.3378420750006342,finite,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,1825 days,10,5.2420761722704725,5.2420761722704725,1.6567176359422375,-0.33052728496953077,0.19950731361747562,finite,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,3650 days,11,100656.817957129,100.0,11.519472168039798,-1.96404264837297,0.1704976252142966,right_censored_threshold_above_tested_range,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,1 hour,0,915.4411939136104,,6.819406128205072,6.347093172393786,-0.9307398698755014,negative_slope_incoherent_amount_effect,0.9781571873644994,64,63,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,8 hours,1,194221.01040573345,,12.176752018512186,3.80381720861107,-0.3123835652420422,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,1 day,2,0.019549111876086944,1.0,-3.934825421915809,5.108923127974766,1.2983862256047196,left_censored_threshold_below_tested_range,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,2 days,3,422.1608743596074,,6.0453864602521925,8.362167010169888,-1.383231173912585,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,7 days,4,0.4013682463455239,1.0,-0.9128759530098212,2.5530781979894615,2.796741648820707,left_censored_threshold_below_tested_range,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,30 days,5,1.2916537713401048,1.2916537713401048,0.25592339060873687,-1.3804108267704471,5.393843929181368,finite,1.0,64,64,day_counts,True,config:time_delay_format
