method,condition,signed_strength,t_delay,delay_idx,indifference_multiplier,plot_multiplier,log_indifference_multiplier,logistic_alpha,logistic_beta_log_multiplier,status,parsed_weight_fraction,n_factor_rows,n_valid_factor_rows
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,1 hour,0,736.3950325599221,,6.6017667037630074,3.7546796618440235,-0.5687386165439405,negative_slope_incoherent_amount_effect,0.9375000000000002,64,62
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,8 hours,1,5402.803945896316,,8.594673347029186,1.5436132357589534,-0.1796011521825335,negative_slope_incoherent_amount_effect,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,tomorrow,2,390.8188847244959,,5.968244242246993,2.0196195328434157,-0.33839424977739285,negative_slope_incoherent_amount_effect,0.9995948712078773,64,61
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,2 days,3,34627.64415482678,,10.452407606056306,2.379365300757832,-0.22763801321517413,negative_slope_incoherent_amount_effect,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,week,4,0.41187657855351856,1.0,-0.8870315411293264,0.30299935390818233,0.3415880268726611,left_censored_threshold_below_tested_range,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,month,5,0.48825127934632073,1.0,-0.7169250889598195,0.33108386882409224,0.4618109673138361,left_censored_threshold_below_tested_range,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,3 months,6,2.9072829053562335,2.9072829053562335,1.06721893550558,-0.7453114730973492,0.6983679246135831,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,year,7,1.3822368618163254,1.3822368618163254,0.3237031012649422,-0.07053403586465923,0.2178973126579008,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,2 years,8,3733.6660498250085,,8.225145885132923,1.1883037478640435,-0.14447205732993998,negative_slope_incoherent_amount_effect,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,3 years,9,30.163847381399293,,3.406644100700207,0.9700802172526048,-0.28476124554755017,negative_slope_incoherent_amount_effect,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,5 years,10,13.787921987273934,,2.6237929906225066,0.4603689363746399,-0.17545932092204244,negative_slope_incoherent_amount_effect,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,10 years,11,84245.65215068554,100.0,11.341492240362893,-2.3830493464972182,0.21011779543579426,right_censored_threshold_above_tested_range,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,1 hour,0,0.7585293521399276,1.0,-0.2763737833286677,1.227267800817053,4.440608606343708,left_censored_threshold_below_tested_range,0.9687500000000001,64,63
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,8 hours,1,1.334282189099807,1.334282189099807,0.28839346117966175,-0.9437397844043369,3.272403543908408,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,tomorrow,2,1.0896339140660282e+72,,165.87196847674417,2.743518884002527,-0.016539979052501437,negative_slope_incoherent_amount_effect,0.9995948712078773,64,61
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,2 days,3,9169260.745603357,,16.03136722436391,3.4381118049685826,-0.21446154634543343,negative_slope_incoherent_amount_effect,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,week,4,0.403593714290857,1.0,-0.9073465647298652,0.6060310318403894,0.6679157175415291,left_censored_threshold_below_tested_range,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,month,5,1.413284463905933,1.413284463905933,0.3459164025528964,-1.6064530775015005,4.644050023779508,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,3 months,6,2.1562720897590912,2.1562720897590912,0.7683808462710133,-0.9916697250907038,1.2905966226296783,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,year,7,2.5490014276188977,2.5490014276188977,0.935701685464005,-1.2354260259701937,1.3203204024983224,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,2 years,8,1.8702020022225465,1.8702020022225465,0.6260464476113785,-0.23928921139004267,0.38222277644578645,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,3 years,9,0.019061256214783943,1.0,-3.960097474492273,0.5572463058144157,0.1407153004196849,left_censored_threshold_below_tested_range,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,5 years,10,6.847485438997249,6.847485438997249,1.923881495682919,-0.3979244668724093,0.2068341879504165,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,10 years,11,53.25164832057045,53.25164832057045,3.9750287584873676,-1.9535566450506474,0.4914572355934455,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus32,-32.0,1 hour,0,8736.424081942834,,9.075256240984894,4.341260993623643,-0.47836236006406213,negative_slope_incoherent_amount_effect,0.9687500000000001,64,63
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus32,-32.0,8 hours,1,0.00011644660875781231,1.0,-9.058077683931634,1.9146711898880313,0.21137721012091976,left_censored_threshold_below_tested_range,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus32,-32.0,tomorrow,2,8581253621.143695,,22.872845849463708,3.162610900169126,-0.13826923510015604,negative_slope_incoherent_amount_effect,0.9995948712078773,64,61
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus32,-32.0,2 days,3,2744.195291997156,,7.917243156866172,5.152305347544778,-0.6507701286244415,negative_slope_incoherent_amount_effect,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus32,-32.0,week,4,1.1279395178377183,1.1279395178377183,0.12039253270012741,-0.5416204290395275,4.498787565077566,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus32,-32.0,month,5,1.1847374534103956,1.1847374534103956,0.16952119173596406,-0.3340395392944835,1.9704883848077428,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus32,-32.0,3 months,6,2.470044989789927,2.470044989789927,0.904236364963853,-1.266734739492934,1.4008889584346367,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus32,-32.0,year,7,3.085855244352736,3.085855244352736,1.1268288456316975,-0.4087687630106862,0.3627602937174824,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus32,-32.0,2 years,8,1.9969995779062717,1.9969995779062717,0.6916458430697459,-0.9094541527202882,1.314913061117868,finite,1.0,64,64
