case,context_fill,context_tokens,seq_len,layer,head,correct,pathology,attention_entropy,frac_system,frac_early_cases,frac_recent_cases,frac_current_query,peak_position,peak_relative
0,0.0004,13,191,0,0,False,Guillain-Barré syndrome,4.026123046875,0.02587054669857025,0.0,0.0,0.9741294384002686,190,1.0
0,0.0004,13,191,0,1,False,Guillain-Barré syndrome,2.0888500213623047,0.0008987308829091489,0.0,0.0,0.9991012811660767,183,0.9631578947368421
0,0.0004,13,191,0,2,False,Guillain-Barré syndrome,4.431826114654541,0.031459204852581024,0.0,0.0,0.9685407876968384,190,1.0
0,0.0004,13,191,0,3,False,Guillain-Barré syndrome,3.70674467086792,0.04277721792459488,0.0,0.0,0.9572227597236633,7,0.03684210526315789
0,0.0004,13,191,0,4,False,Guillain-Barré syndrome,4.564770221710205,0.019145719707012177,0.0,0.0,0.980854332447052,184,0.968421052631579
0,0.0004,13,191,0,5,False,Guillain-Barré syndrome,1.667273759841919,0.000325488654198125,0.0,0.0,0.9996744394302368,187,0.9842105263157894
0,0.0004,13,191,0,6,False,Guillain-Barré syndrome,1.50382661819458,0.0020822484511882067,0.0,0.0,0.9979177713394165,190,1.0
0,0.0004,13,191,0,7,False,Guillain-Barré syndrome,2.5900626182556152,0.0008680385071784258,0.0,0.0,0.9991317987442017,189,0.9947368421052631
0,0.0004,13,191,0,8,False,Guillain-Barré syndrome,3.500102996826172,0.004074620548635721,0.0,0.0,0.9959253072738647,185,0.9736842105263158
0,0.0004,13,191,0,9,False,Guillain-Barré syndrome,3.1525516510009766,0.02238956093788147,0.0,0.0,0.9776104092597961,174,0.9157894736842105
0,0.0004,13,191,0,10,False,Guillain-Barré syndrome,3.5480480194091797,0.000680299592204392,0.0,0.0,0.9993196725845337,34,0.17894736842105263
0,0.0004,13,191,0,11,False,Guillain-Barré syndrome,2.206851005554199,0.0005943439318798482,0.0,0.0,0.9994056820869446,184,0.968421052631579
0,0.0004,13,191,0,12,False,Guillain-Barré syndrome,4.176947116851807,0.004545851144939661,0.0,0.0,0.9954541921615601,185,0.9736842105263158
0,0.0004,13,191,0,13,False,Guillain-Barré syndrome,4.259636402130127,0.026901228353381157,0.0,0.0,0.9730987548828125,183,0.9631578947368421
0,0.0004,13,191,0,14,False,Guillain-Barré syndrome,3.8728277683258057,0.06328722834587097,0.0,0.0,0.9367128014564514,184,0.968421052631579
0,0.0004,13,191,0,15,False,Guillain-Barré syndrome,9.37107324716635e-05,2.5328202805496164e-14,0.0,0.0,1.0000001192092896,190,1.0
0,0.0004,13,191,0,16,False,Guillain-Barré syndrome,3.197953224182129,0.0016108436975628138,0.0,0.0,0.9983891844749451,185,0.9736842105263158
0,0.0004,13,191,0,17,False,Guillain-Barré syndrome,3.5251684188842773,0.059874027967453,0.0,0.0,0.9401260018348694,174,0.9157894736842105
0,0.0004,13,191,0,18,False,Guillain-Barré syndrome,1.8220688104629517,0.007153020240366459,0.0,0.0,0.9928469657897949,170,0.8947368421052632
0,0.0004,13,191,0,19,False,Guillain-Barré syndrome,4.545255661010742,0.008426684886217117,0.0,0.0,0.9915733337402344,184,0.968421052631579
0,0.0004,13,191,0,20,False,Guillain-Barré syndrome,3.4324326515197754,0.004959333222359419,0.0,0.0,0.9950406551361084,66,0.3473684210526316
0,0.0004,13,191,0,21,False,Guillain-Barré syndrome,4.318500518798828,0.011790905147790909,0.0,0.0,0.9882091283798218,190,1.0
0,0.0004,13,191,0,22,False,Guillain-Barré syndrome,4.966857433319092,0.039795566350221634,0.0,0.0,0.9602043628692627,164,0.8631578947368421
0,0.0004,13,191,0,23,False,Guillain-Barré syndrome,3.430314302444458,0.006339705549180508,0.0,0.0,0.9936602115631104,189,0.9947368421052631
0,0.0004,13,191,0,24,False,Guillain-Barré syndrome,3.443218231201172,0.004224062897264957,0.0,0.0,0.9957758784294128,187,0.9842105263157894
0,0.0004,13,191,0,25,False,Guillain-Barré syndrome,4.183422088623047,0.006866016890853643,0.0,0.0,0.9931340217590332,183,0.9631578947368421
0,0.0004,13,191,0,26,False,Guillain-Barré syndrome,3.603422164916992,0.007757159881293774,0.0,0.0,0.9922429323196411,185,0.9736842105263158
0,0.0004,13,191,0,27,False,Guillain-Barré syndrome,4.011081695556641,0.005285786930471659,0.0,0.0,0.9947141408920288,183,0.9631578947368421
