model,max_context_tokens,experiment,global_turn,story_id,story_num,turn_type,tracks_modification,modification_type,is_reask,answer_correct,reask_reverted,context_tokens,context_fill,mean_entropy,max_entropy,min_entropy,median_entropy,std_entropy,mean_logprob,max_logprob,min_logprob,median_logprob,std_logprob,perplexity,similarity_to_prev,response_length,hedging_detected,num_hedge_words,hedge_words,refusal_detected,num_generated_tokens,response_preview,user_input,recall_overlap
Qwen/Qwen2.5-7B-Instruct,32768,narrativeqa_adversarial,0,019a9611dd8e1b822bd0a58f075cc4a30bdd0797,0,story_presentation,False,,False,,,250,0.0076,0.003732793098606635,0.009729748591780663,0.00014403820387087762,0.0025286927993874997,0.003882823474240615,-0.00037566325624993624,-6.9141146923357155e-06,-0.0009414292871952057,-0.0002771548115561018,0.00038319200267569997,1.0003757338265276,0.0,6,False,0,,False,4,Noted.,"Here is a story summary:

 The story follows its title heroine, from childhood to confirmation. After her mother's death, Lisbeth (given the nickname Longskirt, or SidsĂŚrk in the original Norwegian, ",
Qwen/Qwen2.5-7B-Instruct,32768,narrativeqa_adversarial,1,019a9611dd8e1b822bd0a58f075cc4a30bdd0797,0,factual_question_pre,False,,False,False,,272,0.0083,0.008490791185145952,0.023196877911686897,2.999043715590233e-07,0.005382993462262675,0.00951655804663128,-0.0010416437798994593,0.0,-0.0027637402527034283,-0.0007014174334472045,0.0011450796616546874,1.0010421864791983,0.0,8,False,0,,False,4,Brother.,What is Jacob's relationship to Lisbeth?,
Qwen/Qwen2.5-7B-Instruct,32768,narrativeqa_adversarial,2,019a9611dd8e1b822bd0a58f075cc4a30bdd0797,0,factual_question_pre,False,,False,False,,297,0.0091,0.14134033886307407,1.26337468624115,2.7075690013589337e-05,0.002859567292034626,0.32583985490062833,-0.09423655974892142,-1.7881377516459906e-06,-1.0960038900375366,-0.0003155975937261246,0.26942593963882977,1.0988196516752515,0.0,49,False,0,,False,16,"Lisbeth's mother died, so she moved to Hoel farm.",What happened that made Lisbeth move to Hoel farm?,
Qwen/Qwen2.5-7B-Instruct,32768,narrativeqa_adversarial,3,019a9611dd8e1b822bd0a58f075cc4a30bdd0797,0,factual_question_pre,False,,False,False,,332,0.0101,0.1894579867410373,1.1999200582504272,4.314446577780018e-09,0.0028048353269696236,0.3361536326450763,-0.09911156254965255,0.0,-0.7198083400726318,-0.00024959311122074723,0.19813618216561726,1.104189478881218,0.0417,97,False,0,,False,23,"Lisbeth meets someone at the seter, but the specific person is not named in the summary provided.",Who does Lisbeth meet in the seter?,
Qwen/Qwen2.5-7B-Instruct,32768,narrativeqa_adversarial,4,019a9611dd8e1b822bd0a58f075cc4a30bdd0797,0,factual_question_pre,False,,False,True,,371,0.0113,0.362771183991493,3.1436305046081543,5.010712129660533e-07,0.0026850984431803226,0.8095701551299035,-0.14005158276394106,0.0,-0.8733593225479126,-0.0002797450579237193,0.27179886106676665,1.1503331346894012,0.0952,44,False,0,,False,17,Lisbeth's nickname is Longskirt or SidsĂŠrk.,What is Lisbeth's nickname?,
Qwen/Qwen2.5-7B-Instruct,32768,narrativeqa_adversarial,5,019a9611dd8e1b822bd0a58f075cc4a30bdd0797,0,factual_question,False,,False,False,,405,0.0124,0.09925860998139334,0.7071317434310913,1.8108327282106984e-08,0.0004047772381454706,0.21696915845024614,-0.06011591533469077,0.0,-0.5712688565254211,-3.564294092939235e-05,0.15139816126168668,1.0619596368179265,0.08,119,False,0,,False,27,"Lisbeth got her nickname because of her much too-long skirt, which was a Christmas present given to her by her brother.",How did Lisbeth get her nickname?,
Qwen/Qwen2.5-7B-Instruct,32768,narrativeqa_adversarial,6,019a9611dd8e1b822bd0a58f075cc4a30bdd0797,0,factual_question,False,,False,True,,452,0.0138,0.09587816984457889,1.0244156122207642,2.8348376979181467e-09,0.0004900855710729957,0.2385931636406626,-0.043023380510597536,0.0,-0.5238490104675293,-4.0530097066948656e-05,0.11965566475855446,1.043962302936962,0.1515,115,False,0,,False,30,"The farm owner, Kjersti Hoel, takes care of Lisbeth because she made a promise to Lisbeth's mother before she died.",Why does the farm owner take care of Lisbeth?,
Qwen/Qwen2.5-7B-Instruct,32768,narrativeqa_adversarial,7,019a9611dd8e1b822bd0a58f075cc4a30bdd0797,0,modification,False,outcome_change,False,,,526,0.0161,5.191569947271546e-05,9.956791473086923e-05,2.512833248147217e-07,5.392179991758894e-05,3.69834833278065e-05,-3.0696316457579087e-06,0.0,-6.6756979322235566e-06,-2.801414325404039e-06,2.3936581532423634e-06,1.000003069636357,0.0,6,False,0,,False,4,Noted.,"CORRECTION: At the seter, Lisbeth does not meet two other herdsmen. She meets a single elderly shepherdess named Marta who becomes her mentor.",
Qwen/Qwen2.5-7B-Instruct,32768,narrativeqa_adversarial,8,019a9611dd8e1b822bd0a58f075cc4a30bdd0797,0,modification_quiz,True,outcome_change,False,False,,549,0.0168,0.03843375951001334,0.32995086908340454,1.0157892305073801e-09,0.00040730911132413894,0.08296304383673836,-0.00942271592544941,0.0,-0.09302961826324463,-2.747735743469093e-05,0.022330787050836094,1.0094672494789267,0.0,68,False,0,,False,18,Lisbeth meets a single elderly shepherdess named Marta at the seter.,Who does Lisbeth meet at the seter?,
Qwen/Qwen2.5-7B-Instruct,32768,narrativeqa_adversarial,9,019a9611dd8e1b822bd0a58f075cc4a30bdd0797,0,followup,True,outcome_change,False,False,,595,0.0182,0.5307730953242349,2.2587804794311523,4.8042341660448074e-08,0.21756602823734283,0.6626056637518462,-0.21521183003719746,0.0,-1.5071194171905518,-0.0408838652074337,0.3173296159712442,1.2401245647772998,0.1667,353,True,3,possibly|might|likely,False,65,"Having a single elderly female mentor like Marta likely provides Lisbeth with different guidance and experiences compared to having two male peers. Marta might offer wisdom, a female perspective, and ",How does having a single elderly female mentor change Lisbeth's summer compared to two male peers?,
Qwen/Qwen2.5-7B-Instruct,32768,narrativeqa_adversarial,10,019a9611dd8e1b822bd0a58f075cc4a30bdd0797,0,modification,False,detail_change,False,,,705,0.0215,4.156323811344009e-05,7.426179945468903e-05,2.8187275802338263e-07,4.585464012052398e-05,2.6665572842358993e-05,-2.3841819825065613e-06,0.0,-3.4570634852570947e-06,-3.0398322223845753e-06,1.392758176999923e-06,1.0000023841848247,0.0,6,False,0,,False,4,Noted.,"CORRECTION: Lisbeth's nickname is not Longskirt. Her nickname is Redcap, because of a distinctive red knitted cap given to her as a Christmas present.",
Qwen/Qwen2.5-7B-Instruct,32768,narrativeqa_adversarial,11,019a9611dd8e1b822bd0a58f075cc4a30bdd0797,0,modification_quiz,True,detail_change,False,True,,725,0.0221,0.001502538785375407,0.012226969934999943,1.8335508400468825e-07,8.719797551748343e-05,0.0036256618354786555,-0.00018508745789915792,0.0,-0.0015848231269046664,-5.424007440524292e-06,0.00047079088467102585,1.0001851045876395,0.0,29,False,0,,False,10,Lisbeth's nickname is Redcap.,What is Lisbeth's nickname?,
Qwen/Qwen2.5-7B-Instruct,32768,narrativeqa_adversarial,12,019a9611dd8e1b822bd0a58f075cc4a30bdd0797,0,followup,True,detail_change,False,False,,762,0.0233,0.8525600702726336,2.906005382537842,1.2500919410740607e-06,0.7604540288448334,0.8606273556665229,-0.39171275439486675,0.0,-1.552262306213379,-0.2300053909420967,0.4539893893292035,1.4795126668478298,0.0488,349,True,2,perhaps|possibly,False,62,"The nickname Redcap suggests a distinctive appearance and possibly a lively or spirited personality, whereas Longskirt implies a physical characteristic and perhaps a simpler, more straightforward des",How does the nickname Redcap versus Longskirt change what we understand about Lisbeth?,
Qwen/Qwen2.5-7B-Instruct,32768,narrativeqa_adversarial,13,019a9611dd8e1b822bd0a58f075cc4a30bdd0797,0,modification,False,relationship_change,False,,,858,0.0262,4.067182318934215e-05,8.884687122190371e-05,2.308789390781385e-07,3.680477129819337e-05,3.272418090489894e-05,-2.2351703421463753e-06,0.0,-4.291525328881107e-06,-2.324578019852197e-06,1.64615334867089e-06,1.0000022351728401,0.0,6,False,0,,False,4,Noted.,"CORRECTION: Jacob is not Lisbeth's brother. Jacob is Lisbeth's uncle, her mother's younger brother.",
Qwen/Qwen2.5-7B-Instruct,32768,narrativeqa_adversarial,14,019a9611dd8e1b822bd0a58f075cc4a30bdd0797,0,modification_quiz,True,relationship_change,False,False,,880,0.0269,0.024204283528748403,0.27116066217422485,3.302774018720811e-07,6.491280873888172e-05,0.0699089746772181,-0.006405889915395083,0.0,-0.0800270065665245,-4.05310697715322e-06,0.02052874611355048,1.006426451509855,0.0,55,False,0,,False,14,"Jacob is Lisbeth's uncle, her mother's younger brother.",What is Jacob's relationship to Lisbeth?,
Qwen/Qwen2.5-7B-Instruct,32768,narrativeqa_adversarial,15,019a9611dd8e1b822bd0a58f075cc4a30bdd0797,0,followup,True,relationship_change,False,False,,922,0.0281,0.6863293306316195,2.418221950531006,2.628650292990642e-07,0.6063119173049927,0.7031226737277461,-0.30891458752869966,0.0,-1.3431673049926758,-0.1816173419356346,0.37297551984337507,1.3619460383584707,0.14,420,True,2,might|could be,False,82,"With Jacob being Lisbeth's uncle rather than her brother, the family dynamic might involve a different level of closeness and support. Jacob, as an uncle, might provide a different kind of guidance an",How does Jacob being her uncle rather than brother change the family dynamic after their mother's death?,
