dataset,train_regime,feature_name,vector_key,probe_variant,condition,layer,strength,signed_strength,raw_vector_norm,steering_vector_norm,prompt_idx,question,immediate,long_term,prompt,result_source,reused_from_path,continuation,parsed_letter,parsed_semantic,parse_method,fallback_used,score_a,score_b,immediate_sum_logprob,immediate_avg_logprob,immediate_token_count,long_term_sum_logprob,long_term_avg_logprob,long_term_token_count,long_minus_immediate_sum_logprob,long_minus_immediate_avg_logprob,logprob_prefers_long_term
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_immediate,20,16.0,-16.0,15.162434577941895,0.9999999403953552,0,"When the system fails, the first priority becomes", (A) containing the spreading damage before it escalates, (B) redesigning the architecture to prevent recurrence,"When the system fails, the first priority becomes
Options:
  containing the spreading damage before it escalates
  redesigning the architecture to prevent recurrence
  Answer:
",computed_now,,"When the system fails, the first priority becomes:  
**containing the spreading damage before it escalates**

✅ Correct answer: **containing the spreading damage",A,choose_immediate,literal_exact_stripped,False,3507.0,0.0,-9.534276962280273,-1.0593640804290771,9,-31.757938385009766,-3.9697422981262207,8,-22.223661422729492,-2.9103782176971436,0.0
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_immediate,20,16.0,-16.0,15.162434577941895,0.9999999403953552,1,The hospital administrator directs resources toward, (B) stabilizing patients in critical condition, (A) training staff and upgrading medical equipment,"The hospital administrator directs resources toward
Options:
  training staff and upgrading medical equipment
  stabilizing patients in critical condition
  Answer:
",computed_now,,"The most appropriate answer is:

**stabilizing patients in critical condition**

Explanation: When a hospital administrator is directing resources, the priority in a critical situation is",B,choose_immediate,literal_exact_stripped,False,0.0,3505.0,-17.667070388793945,-2.52386736869812,7,-27.823331832885742,-4.6372222900390625,6,-10.156261444091797,-2.1133549213409424,0.0
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_immediate,20,16.0,-16.0,15.162434577941895,0.9999999403953552,2,"After the data breach, the security team focuses on", (A) isolating compromised systems and revoking access, (B) implementing zero-trust architecture across networks,"After the data breach, the security team focuses on
Options:
  isolating compromised systems and revoking access
  implementing zero-trust architecture across networks
  Answer:
",computed_now,,"After the data breach, the security team focuses on  
**isolating compromised systems and revoking access**.  

✅ Correct answer: *isolating compromised systems",A,choose_immediate,literal_exact_stripped,False,3506.0,0.0,-24.772815704345703,-3.096601963043213,8,-35.2022590637207,-4.400282382965088,8,-10.429443359375,-1.303680419921875,0.0
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_immediate,20,16.0,-16.0,15.162434577941895,0.9999999403953552,3,The fire chief's directive emphasizes, (B) evacuating residents and containing the blaze, (A) updating building codes and fire prevention programs,"The fire chief's directive emphasizes
Options:
  updating building codes and fire prevention programs
  evacuating residents and containing the blaze
  Answer:
",computed_now,,"The fire chief's directive emphasizes  
**updating building codes and fire prevention programs**.  

Answer: updating building codes and fire prevention programs",A,choose_long_term,literal_exact_stripped,False,3507.0,0.0,-34.60829544067383,-4.3260369300842285,8,-20.881717681884766,-2.983102560043335,7,13.726577758789062,1.3429343700408936,1.0
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_immediate,20,16.0,-16.0,15.162434577941895,0.9999999403953552,4,"During economic turbulence, the CFO recommends", (A) freezing expenditures and preserving cash reserves, (B) diversifying revenue streams and reducing dependencies,"During economic turbulence, the CFO recommends
Options:
  freezing expenditures and preserving cash reserves
  diversifying revenue streams and reducing dependencies
  Answer:
",computed_now,,"Answer: freezing expenditures and preserving cash reserves

During economic turbulence, the most immediate and practical action for a CFO to take is to freeze non-essential expenditures and",A,choose_immediate,literal_exact_stripped,False,3506.0,0.0,-22.414371490478516,-3.2020533084869385,7,-29.269851684570312,-3.658731460571289,8,-6.855480194091797,-0.4566781520843506,0.0
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_immediate,20,16.0,-16.0,15.162434577941895,0.9999999403953552,5,The emergency response coordinator prioritizes, (B) deploying rescue teams to affected areas, (A) establishing early warning systems and shelters,"The emergency response coordinator prioritizes
Options:
  establishing early warning systems and shelters
  deploying rescue teams to affected areas
  Answer:
",computed_now,,"The emergency response coordinator prioritizes  
**establishing early warning systems and shelters**.

**Answer:** establishing early warning systems and shelters

**Explanation:** While deploying",A,choose_long_term,literal_exact_stripped,False,3506.0,0.0,-25.719032287597656,-3.674147605895996,7,-15.820595741271973,-2.260085105895996,7,9.898436546325684,1.4140625,1.0
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_immediate,20,16.0,-16.0,15.162434577941895,0.9999999403953552,6,"When the supply chain breaks, management chooses", (A) finding alternative suppliers for critical components, (B) building redundant supplier networks and local capacity,"When the supply chain breaks, management chooses
Options:
  finding alternative suppliers for critical components
  building redundant supplier networks and local capacity
  Answer:
",computed_now,,Answer: building redundant supplier networks and local capacity,B,choose_long_term,literal_exact_stripped,False,0.0,3507.0,-27.69359016418457,-4.615598678588867,6,-23.795154571533203,-3.3993079662323,7,3.898435592651367,1.2162907123565674,1.0
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_immediate,20,16.0,-16.0,15.162434577941895,0.9999999403953552,7,The IT director's incident response involves, (B) rolling back changes and restoring service availability, (A) implementing automated testing and deployment safeguards,"The IT director's incident response involves
Options:
  implementing automated testing and deployment safeguards
  rolling back changes and restoring service availability
  Answer:
",computed_now,,"The correct answer is:  
**rolling back changes and restoring service availability**

**Explanation:**  
In an incident response scenario, the primary goal is to quickly address",B,choose_immediate,literal_exact_stripped,False,0.0,3507.0,-27.195507049560547,-3.885072708129883,7,-37.69551086425781,-5.385073184967041,7,-10.500003814697266,-1.5000004768371582,0.0
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_immediate,20,16.0,-16.0,15.162434577941895,0.9999999403953552,8,"After the product recall, the quality team targets", (A) identifying and removing defective units from circulation, (B) redesigning quality control processes and supplier audits,"After the product recall, the quality team targets
Options:
  identifying and removing defective units from circulation
  redesigning quality control processes and supplier audits
  Answer:
",computed_now,,"After the product recall, the quality team targets:  
**identifying and removing defective units from circulation**

This is the immediate action following a recall — to ensure",A,choose_immediate,literal_exact_stripped,False,3507.0,0.0,-25.325027465820312,-3.165628433227539,8,-33.92129135131836,-3.7690324783325195,9,-8.596263885498047,-0.6034040451049805,0.0
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_immediate,20,16.0,-16.0,15.162434577941895,0.9999999403953552,9,The school principal's response to the incident involves, (B) ensuring student safety and communicating with parents, (A) revising safety protocols and staff training programs,"The school principal's response to the incident involves
Options:
  revising safety protocols and staff training programs
  ensuring student safety and communicating with parents
  Answer:
",computed_now,,Answer: ensuring student safety and communicating with parents,B,choose_immediate,literal_exact_stripped,False,0.0,3507.0,-9.902535438537598,-1.2378169298171997,8,-24.480770111083984,-2.720085620880127,9,-14.578234672546387,-1.4822686910629272,0.0
