trace_id,case_index,gold,condition,pred,correct,confidence,wf_readout
7,0,E,patch_wf_L0,E,1,0.9991897940635681,0.9345790147781372
7,1,D,patch_wf_L0,D,1,0.9964932799339294,0.967426061630249
7,2,A,patch_wf_L0,A,1,0.9999716281890869,0.9751148223876953
7,3,D,patch_wf_L0,B,0,0.9978262782096863,0.9764000177383423
7,4,C,patch_wf_L0,B,0,0.991680920124054,0.9808484315872192
7,5,D,patch_wf_L0,E,0,0.9616284370422363,0.9723682403564453
7,6,D,patch_wf_L0,A,0,0.9369637370109558,1.0225677490234375
7,7,A,patch_wf_L0,A,1,0.9980989098548889,0.9705321788787842
7,8,A,patch_wf_L0,A,1,0.9566896557807922,0.9894739389419556
7,9,B,patch_wf_L0,A,0,0.9571364521980286,0.9778826236724854
7,10,A,patch_wf_L0,A,1,0.9216824769973755,0.9357947111129761
7,11,D,patch_wf_L0,A,0,0.5572529435157776,0.9731824398040771
7,12,E,patch_wf_L0,E,1,0.9814233183860779,0.9771097898483276
7,13,A,patch_wf_L0,B,0,0.8668180108070374,0.997861385345459
7,14,D,patch_wf_L0,D,1,0.9920251369476318,1.0053892135620117
7,15,C,patch_wf_L0,C,1,0.5735551118850708,0.9674707651138306
7,16,C,patch_wf_L0,C,1,0.9983471632003784,1.006879210472107
7,17,D,patch_wf_L0,A,0,0.9909798502922058,0.9876565933227539
7,18,E,patch_wf_L0,E,1,0.9901553392410278,0.9759155511856079
7,19,E,patch_wf_L0,E,1,0.999896764755249,0.993457555770874
7,20,E,patch_wf_L0,A,0,0.5142471790313721,0.9657860994338989
7,21,C,patch_wf_L0,C,1,0.8209797739982605,0.9595503807067871
7,22,B,patch_wf_L0,C,0,0.999891996383667,0.9653233289718628
7,23,E,patch_wf_L0,E,1,0.677805483341217,0.957706093788147
9,0,E,patch_wf_L0,E,1,0.9973281621932983,1.0032051801681519
9,1,D,patch_wf_L0,C,0,0.9607146978378296,0.9649754762649536
9,2,B,patch_wf_L0,B,1,0.9905180335044861,0.9790323972702026
9,3,D,patch_wf_L0,D,1,0.9999784231185913,0.9599831104278564
9,4,B,patch_wf_L0,B,1,0.9988312125205994,0.9627841711044312
9,5,D,patch_wf_L0,D,1,0.9973812699317932,0.9863708019256592
9,6,B,patch_wf_L0,B,1,0.999914288520813,1.027945637702942
9,7,E,patch_wf_L0,E,1,0.9928378462791443,0.9598805904388428
9,8,E,patch_wf_L0,B,0,0.9900655746459961,0.9855989217758179
9,9,C,patch_wf_L0,C,1,0.9974157810211182,0.9596842527389526
9,10,B,patch_wf_L0,B,1,0.5664374828338623,0.9967747926712036
9,11,B,patch_wf_L0,B,1,0.9995124340057373,0.9943091869354248
9,12,A,patch_wf_L0,A,1,0.9991311430931091,1.0140448808670044
9,13,B,patch_wf_L0,B,1,0.9999537467956543,0.977418065071106
9,14,D,patch_wf_L0,D,1,0.9984328150749207,0.9860490560531616
9,15,C,patch_wf_L0,D,0,0.9895958304405212,0.963646411895752
9,16,B,patch_wf_L0,C,0,0.9291289448738098,0.9897040128707886
9,17,C,patch_wf_L0,C,1,0.999848484992981,0.9635807275772095
9,18,A,patch_wf_L0,A,1,0.9975782036781311,0.9865967035293579
9,19,B,patch_wf_L0,B,1,0.9965014457702637,0.953853964805603
9,20,C,patch_wf_L0,C,1,0.9986171722412109,0.9921919107437134
14,0,B,patch_wf_L0,A,0,0.4650087058544159,0.9467067718505859
14,1,B,patch_wf_L0,B,1,0.9747672080993652,0.9785003662109375
14,2,C,patch_wf_L0,C,1,0.9999295473098755,0.9609616994857788
14,3,E,patch_wf_L0,E,1,0.9972677230834961,0.9439518451690674
14,4,A,patch_wf_L0,A,1,0.9997252821922302,0.9934078454971313
14,5,D,patch_wf_L0,D,1,0.9992700219154358,0.9982494115829468
14,6,B,patch_wf_L0,D,0,0.8587392568588257,0.9810189008712769
14,7,D,patch_wf_L0,A,0,0.7054828405380249,0.9663795232772827
14,8,C,patch_wf_L0,A,0,0.7931210398674011,0.9978193044662476
14,9,B,patch_wf_L0,B,1,0.9999251365661621,0.9726301431655884
14,10,C,patch_wf_L0,A,0,0.6200408935546875,0.9967371225357056
14,11,D,patch_wf_L0,D,1,0.988092303276062,1.0146734714508057
14,12,B,patch_wf_L0,C,0,0.8314161896705627,1.0123109817504883
14,13,C,patch_wf_L0,C,1,0.9548038840293884,1.0265482664108276
14,14,B,patch_wf_L0,A,0,0.9262815117835999,1.0027992725372314
14,15,D,patch_wf_L0,D,1,0.9994884729385376,0.9837884902954102
14,16,C,patch_wf_L0,B,0,0.8849661350250244,0.9985710382461548
14,17,C,patch_wf_L0,C,1,0.9648683667182922,0.9916568994522095
14,18,E,patch_wf_L0,E,1,0.9700722098350525,0.9542597532272339
14,19,D,patch_wf_L0,D,1,0.9999337196350098,0.9756227731704712
14,20,C,patch_wf_L0,D,0,0.6646508574485779,0.9404635429382324
14,21,B,patch_wf_L0,B,1,0.9917425513267517,0.9520243406295776
15,0,D,patch_wf_L0,D,1,0.4196891486644745,0.9636760950088501
15,1,A,patch_wf_L0,A,1,0.9999935626983643,0.9966851472854614
