trace_id,case_index,gold,condition,pred,correct,confidence,wf_readout,bin
7,0,E,no_ablation,E,1,0.9992389678955078,0.9345790147781372,0
7,1,D,no_ablation,D,1,0.9963313937187195,0.967426061630249,1
7,2,A,no_ablation,A,1,0.9999713897705078,0.9751148223876953,1
7,3,D,no_ablation,B,0,0.99733966588974,0.9764000177383423,2
7,4,C,no_ablation,B,0,0.9912229776382446,0.9808484315872192,2
7,5,D,no_ablation,E,0,0.9679962396621704,0.9723682403564453,1
7,6,D,no_ablation,A,0,0.9295502305030823,1.0225677490234375,4
7,7,A,no_ablation,A,1,0.9982545971870422,0.9705321788787842,1
7,8,A,no_ablation,A,1,0.9538273215293884,0.9894739389419556,3
7,9,B,no_ablation,A,0,0.9425753951072693,0.9778826236724854,2
7,10,A,no_ablation,A,1,0.9129303097724915,0.9357947111129761,0
7,11,D,no_ablation,A,0,0.5569665431976318,0.9731824398040771,1
7,12,E,no_ablation,E,1,0.9813774228096008,0.9771097898483276,2
7,13,A,no_ablation,B,0,0.8436830639839172,0.997861385345459,3
7,14,D,no_ablation,D,1,0.992035448551178,1.0053892135620117,4
7,15,C,no_ablation,C,1,0.5431773662567139,0.9674707651138306,1
7,16,C,no_ablation,C,1,0.9984027743339539,1.006879210472107,4
7,17,D,no_ablation,A,0,0.9919930696487427,0.9876565933227539,3
7,18,E,no_ablation,E,1,0.9900010824203491,0.9759155511856079,2
7,19,E,no_ablation,E,1,0.9998879432678223,0.993457555770874,3
7,20,E,no_ablation,A,0,0.5316175818443298,0.9657860994338989,1
7,21,C,no_ablation,C,1,0.8209797739982605,0.9595503807067871,0
7,22,B,no_ablation,C,0,0.9998984336853027,0.9653233289718628,1
7,23,E,no_ablation,E,1,0.6500923037528992,0.957706093788147,0
7,0,E,ablate_top1,E,1,0.9991912245750427,0.9345790147781372,0
7,1,D,ablate_top1,D,1,0.9976367950439453,0.967426061630249,1
7,2,A,ablate_top1,A,1,0.9999700784683228,0.9751148223876953,1
7,3,D,ablate_top1,B,0,0.998432457447052,0.9764000177383423,2
7,4,C,ablate_top1,B,0,0.9870384931564331,0.9808484315872192,2
7,5,D,ablate_top1,E,0,0.9780911803245544,0.9723682403564453,1
7,6,D,ablate_top1,A,0,0.921097993850708,1.0225677490234375,4
7,7,A,ablate_top1,A,1,0.997755229473114,0.9705321788787842,1
7,8,A,ablate_top1,A,1,0.9818156361579895,0.9894739389419556,3
7,9,B,ablate_top1,A,0,0.9275175929069519,0.9778826236724854,2
7,10,A,ablate_top1,A,1,0.915334939956665,0.9357947111129761,0
7,11,D,ablate_top1,B,0,0.583248496055603,0.9731824398040771,1
7,12,E,ablate_top1,E,1,0.9815430045127869,0.9771097898483276,2
7,13,A,ablate_top1,B,0,0.7661479711532593,0.997861385345459,3
7,14,D,ablate_top1,D,1,0.9922531247138977,1.0053892135620117,4
7,15,C,ablate_top1,C,1,0.6317991614341736,0.9674707651138306,1
7,16,C,ablate_top1,C,1,0.9984080195426941,1.006879210472107,4
7,17,D,ablate_top1,A,0,0.9897682070732117,0.9876565933227539,3
7,18,E,ablate_top1,E,1,0.9896039962768555,0.9759155511856079,2
7,19,E,ablate_top1,E,1,0.999903678894043,0.993457555770874,3
7,20,E,ablate_top1,D,0,0.4995095729827881,0.9657860994338989,1
7,21,C,ablate_top1,C,1,0.8469410538673401,0.9595503807067871,0
7,22,B,ablate_top1,C,0,0.9998794794082642,0.9653233289718628,1
7,23,E,ablate_top1,E,1,0.5144903063774109,0.957706093788147,0
7,0,E,ablate_top3,E,1,0.9993377327919006,0.9345790147781372,0
7,1,D,ablate_top3,D,1,0.9964503049850464,0.967426061630249,1
7,2,A,ablate_top3,A,1,0.9999666213989258,0.9751148223876953,1
7,3,D,ablate_top3,B,0,0.9979689717292786,0.9764000177383423,2
7,4,C,ablate_top3,B,0,0.9481918811798096,0.9808484315872192,2
