trace_id,case_index,gold,condition,pred,correct,confidence
7,0,E,no_steer,E,1,0.9488787055015564
7,1,D,no_steer,A,0,0.9174622893333435
7,2,A,no_steer,A,1,0.7121990323066711
7,3,D,no_steer,A,0,0.4284355044364929
7,4,C,no_steer,A,0,0.545185923576355
7,5,D,no_steer,A,0,0.5547361969947815
7,6,D,no_steer,A,0,0.7113969326019287
7,7,A,no_steer,A,1,0.6511023640632629
7,8,A,no_steer,A,1,0.7906412482261658
7,9,B,no_steer,A,0,0.6115508675575256
7,10,A,no_steer,A,1,0.5585871934890747
7,11,D,no_steer,A,0,0.5493052005767822
7,12,E,no_steer,A,0,0.5419710874557495
7,13,A,no_steer,B,0,0.41638362407684326
7,14,D,no_steer,A,0,0.5162867903709412
7,15,C,no_steer,A,0,0.4347709119319916
7,16,C,no_steer,A,0,0.5321539044380188
7,17,D,no_steer,A,0,0.7940685749053955
7,18,E,no_steer,A,0,0.7084319591522217
7,19,E,no_steer,A,0,0.6429557800292969
7,20,E,no_steer,A,0,0.6660690903663635
7,21,C,no_steer,A,0,0.41821399331092834
7,22,B,no_steer,C,0,0.9445332884788513
7,23,E,no_steer,E,1,0.3513394296169281
7,0,E,early_steer,E,1,0.9470339417457581
7,1,D,early_steer,A,0,0.9112561941146851
7,2,A,early_steer,A,1,0.7074391841888428
7,3,D,early_steer,A,0,0.45575380325317383
7,4,C,early_steer,A,0,0.5945196747779846
7,5,D,early_steer,A,0,0.5635388493537903
7,6,D,early_steer,A,0,0.7234109044075012
7,7,A,early_steer,A,1,0.6525167226791382
7,8,A,early_steer,A,1,0.7651957869529724
7,9,B,early_steer,A,0,0.6426206827163696
7,10,A,early_steer,A,1,0.5823354721069336
7,11,D,early_steer,A,0,0.5583353042602539
7,12,E,early_steer,A,0,0.5412974953651428
7,13,A,early_steer,B,0,0.4211559593677521
7,14,D,early_steer,A,0,0.513767421245575
7,15,C,early_steer,A,0,0.4309776723384857
7,16,C,early_steer,A,0,0.5886080265045166
7,17,D,early_steer,A,0,0.7999693155288696
7,18,E,early_steer,A,0,0.7255785465240479
7,19,E,early_steer,A,0,0.6566020846366882
7,20,E,early_steer,A,0,0.682567834854126
7,21,C,early_steer,A,0,0.4158780872821808
7,22,B,early_steer,C,0,0.94557124376297
7,23,E,early_steer,A,0,0.3478599190711975
7,0,E,late_steer,E,1,0.9489830732345581
7,1,D,late_steer,A,0,0.9121249318122864
7,2,A,late_steer,A,1,0.7036651372909546
7,3,D,late_steer,A,0,0.42910516262054443
7,4,C,late_steer,A,0,0.5507620573043823
7,5,D,late_steer,A,0,0.5514613389968872
7,6,D,late_steer,A,0,0.724616289138794
7,7,A,late_steer,A,1,0.6374177932739258
7,8,A,late_steer,A,1,0.7625016570091248
7,9,B,late_steer,A,0,0.6477925181388855
7,10,A,late_steer,A,1,0.5822774767875671
7,11,D,late_steer,A,0,0.5453789830207825
7,12,E,late_steer,A,0,0.5406084656715393
7,13,A,late_steer,B,0,0.3964328467845917
7,14,D,late_steer,A,0,0.5076234340667725
7,15,C,late_steer,A,0,0.4359036386013031
7,16,C,late_steer,A,0,0.5317628383636475
7,17,D,late_steer,A,0,0.7483047246932983
7,18,E,late_steer,A,0,0.6553406715393066
7,19,E,late_steer,A,0,0.6593570709228516
7,20,E,late_steer,A,0,0.7337056994438171
7,21,C,late_steer,A,0,0.45187827944755554
7,22,B,late_steer,C,0,0.9386077523231506
7,23,E,late_steer,A,0,0.37548312544822693
9,0,E,no_steer,A,0,0.8887212872505188
9,1,D,no_steer,A,0,0.5391626358032227
