trace_id,attn_layer,feature,pearson_r
7,10,att_bos,-0.014333873437967947
7,10,att_first_50,-0.039512613513586
7,10,att_current_case,0.30158447810331424
7,10,att_recent_window_100,-0.2856700908373657
7,10,att_entropy,0.065750881914072
7,20,att_bos,-0.06788627967851475
7,20,att_first_50,-0.08969899305265978
7,20,att_current_case,0.43928085126880934
7,20,att_recent_window_100,-0.06524541487983701
7,20,att_entropy,0.06501374883580027
9,10,att_bos,-0.03128947750545092
9,10,att_first_50,-0.058406165936945934
9,10,att_current_case,0.292253017065
9,10,att_recent_window_100,-0.28732811794771845
9,10,att_entropy,0.05950867995494039
9,20,att_bos,-0.06996061018372561
9,20,att_first_50,-0.09861832790398617
9,20,att_current_case,0.40032054791868443
9,20,att_recent_window_100,-0.060396388623451966
9,20,att_entropy,0.024199431029156476
14,10,att_bos,-0.02413186856598772
14,10,att_first_50,-0.04797832876407862
14,10,att_current_case,0.3112216672762872
14,10,att_recent_window_100,-0.24756281180533377
14,10,att_entropy,0.039206376216288606
14,20,att_bos,-0.07961883622256763
14,20,att_first_50,-0.09721186782552961
14,20,att_current_case,0.4372633505360964
14,20,att_recent_window_100,-0.07414771176674269
14,20,att_entropy,0.056828253100263154
15,10,att_bos,0.0017447462506375326
15,10,att_first_50,-0.026633968928753988
15,10,att_current_case,0.267489579363305
15,10,att_recent_window_100,-0.2970794011890244
15,10,att_entropy,0.03950109571153754
15,20,att_bos,-0.04862364867334356
15,20,att_first_50,-0.07700348478733737
15,20,att_current_case,0.3890562344163474
15,20,att_recent_window_100,-0.0832683011020794
15,20,att_entropy,0.05842053765008584
