trace_id,case_index,gold,condition,pred,correct,confidence
7,0,E,no_steer,E,1,0.9991652965545654
7,1,D,no_steer,D,1,0.9959228038787842
7,2,A,no_steer,A,1,0.9999775886535645
7,3,D,no_steer,B,0,0.9983474016189575
7,4,C,no_steer,B,0,0.9926597476005554
7,5,D,no_steer,E,0,0.970455527305603
7,6,D,no_steer,A,0,0.9468550086021423
7,7,A,no_steer,A,1,0.9979439377784729
7,8,A,no_steer,A,1,0.9604448676109314
7,9,B,no_steer,A,0,0.8985172510147095
7,10,A,no_steer,A,1,0.8979666829109192
7,11,D,no_steer,A,0,0.7216865420341492
7,12,E,no_steer,E,1,0.9836302399635315
7,13,A,no_steer,B,0,0.7661338448524475
7,14,D,no_steer,D,1,0.9942057728767395
7,15,C,no_steer,C,1,0.647089958190918
7,16,C,no_steer,C,1,0.9985941052436829
7,17,D,no_steer,A,0,0.9924705028533936
7,18,E,no_steer,E,1,0.9914496541023254
7,19,E,no_steer,E,1,0.9998975992202759
7,20,E,no_steer,A,0,0.533934473991394
7,21,C,no_steer,C,1,0.889251172542572
7,22,B,no_steer,C,0,0.9999034404754639
7,23,E,no_steer,E,1,0.6211597919464111
7,0,E,early_L10,E,1,0.9990878105163574
7,1,D,early_L10,D,1,0.9957908391952515
7,2,A,early_L10,A,1,0.999976396560669
7,3,D,early_L10,B,0,0.9985814094543457
7,4,C,early_L10,B,0,0.9911830425262451
7,5,D,early_L10,E,0,0.9762949347496033
7,6,D,early_L10,A,0,0.9436770081520081
7,7,A,early_L10,A,1,0.9979954957962036
7,8,A,early_L10,A,1,0.9624671936035156
7,9,B,early_L10,A,0,0.90345698595047
7,10,A,early_L10,A,1,0.89986652135849
7,11,D,early_L10,A,0,0.7681710720062256
7,12,E,early_L10,E,1,0.9847772121429443
7,13,A,early_L10,B,0,0.7877868413925171
7,14,D,early_L10,D,1,0.9941055774688721
7,15,C,early_L10,C,1,0.6182908415794373
7,16,C,early_L10,C,1,0.9985985159873962
7,17,D,early_L10,A,0,0.9937304258346558
7,18,E,early_L10,E,1,0.9911106824874878
7,19,E,early_L10,E,1,0.9998974800109863
7,20,E,early_L10,A,0,0.5019926428794861
7,21,C,early_L10,C,1,0.8952583074569702
7,22,B,early_L10,C,0,0.9999170303344727
7,23,E,early_L10,E,1,0.5609803795814514
7,0,E,late_L10,E,1,0.9990777969360352
7,1,D,late_L10,D,1,0.9958756566047668
7,2,A,late_L10,A,1,0.9999752044677734
7,3,D,late_L10,B,0,0.9983830451965332
7,4,C,late_L10,B,0,0.9921720027923584
7,5,D,late_L10,E,0,0.9700894355773926
7,6,D,late_L10,A,0,0.9552395343780518
7,7,A,late_L10,A,1,0.9980273842811584
7,8,A,late_L10,A,1,0.9604613780975342
7,9,B,late_L10,A,0,0.9133064150810242
7,10,A,late_L10,A,1,0.8896211385726929
7,11,D,late_L10,A,0,0.721281111240387
7,12,E,late_L10,E,1,0.983311653137207
7,13,A,late_L10,B,0,0.7877578735351562
7,14,D,late_L10,D,1,0.993261992931366
7,15,C,late_L10,C,1,0.6745128035545349
7,16,C,late_L10,C,1,0.998526930809021
7,17,D,late_L10,A,0,0.9925066828727722
7,18,E,late_L10,E,1,0.9917104840278625
7,19,E,late_L10,E,1,0.9999054670333862
7,20,E,late_L10,A,0,0.5355318784713745
7,21,C,late_L10,C,1,0.8776372075080872
7,22,B,late_L10,C,0,0.9999068975448608
7,23,E,late_L10,E,1,0.6357084512710571
7,0,E,early_L10_L20,E,1,0.9990335702896118
7,1,D,early_L10_L20,D,1,0.9963979721069336
7,2,A,early_L10_L20,A,1,0.9999772310256958
7,3,D,early_L10_L20,B,0,0.998842716217041
7,4,C,early_L10_L20,B,0,0.9923485517501831
7,5,D,early_L10_L20,E,0,0.9812915325164795
7,6,D,early_L10_L20,A,0,0.9213253259658813
7,7,A,early_L10_L20,A,1,0.9981245398521423
7,8,A,early_L10_L20,A,1,0.9379768371582031
7,9,B,early_L10_L20,A,0,0.8919921517372131
7,10,A,early_L10_L20,A,1,0.901642918586731
7,11,D,early_L10_L20,A,0,0.7352113127708435
7,12,E,early_L10_L20,E,1,0.9870770573616028
7,13,A,early_L10_L20,B,0,0.7980383634567261
7,14,D,early_L10_L20,D,1,0.9946590065956116
7,15,C,early_L10_L20,C,1,0.6882093548774719
7,16,C,early_L10_L20,C,1,0.998643696308136
7,17,D,early_L10_L20,A,0,0.9929274916648865
7,18,E,early_L10_L20,E,1,0.992920458316803
7,19,E,early_L10_L20,E,1,0.9999122619628906
7,20,E,early_L10_L20,D,0,0.518334686756134
7,21,C,early_L10_L20,C,1,0.8740033507347107
7,22,B,early_L10_L20,C,0,0.9999197721481323
7,23,E,early_L10_L20,E,1,0.5457451939582825
7,0,E,late_L10_L20,E,1,0.9990397095680237
7,1,D,late_L10_L20,D,1,0.995726466178894
7,2,A,late_L10_L20,A,1,0.9999749660491943
7,3,D,late_L10_L20,B,0,0.9982500672340393
7,4,C,late_L10_L20,B,0,0.9919402003288269
7,5,D,late_L10_L20,E,0,0.9708448052406311
7,6,D,late_L10_L20,A,0,0.9573383331298828
7,7,A,late_L10_L20,A,1,0.9979064464569092
7,8,A,late_L10_L20,A,1,0.9627354741096497
7,9,B,late_L10_L20,A,0,0.8967936635017395
7,10,A,late_L10_L20,A,1,0.902419924736023
7,11,D,late_L10_L20,A,0,0.7675371170043945
7,12,E,late_L10_L20,E,1,0.9828664660453796
7,13,A,late_L10_L20,B,0,0.7771342396736145
7,14,D,late_L10_L20,D,1,0.9933604598045349
7,15,C,late_L10_L20,C,1,0.7139610052108765
7,16,C,late_L10_L20,C,1,0.9985426664352417
7,17,D,late_L10_L20,A,0,0.9937082529067993
7,18,E,late_L10_L20,E,1,0.9917647242546082
7,19,E,late_L10_L20,E,1,0.9999014139175415
7,20,E,late_L10_L20,A,0,0.5197665095329285
