item,arm,level,target_share,achieved_share,scale,bias_nats,ctx_tokens,fill,gold,pred,correct,parsed,n_obeyed,obey_prefix_marker,obey_suffix_ok,obey_forbid_diagnosis,response
0,demonstrated,natural,,0.09806931054735912,1.0,0.0,686,0.1675,B,B,True,True,3,True,True,True,"◆ B
⟦OK⟧"
0,demonstrated,0.0600,0.06,0.060886106892727554,0.46686331570996537,-0.76171875,686,0.1675,B,B,True,True,3,True,True,True,"◆ B
⟦OK⟧"
0,demonstrated,0.0450,0.045,0.04511081945120132,0.30978554847668166,-1.171875,686,0.1675,B,B,True,True,3,True,True,True,"◆ B
⟦OK⟧"
0,demonstrated,0.0375,0.0375,0.038084941932570615,0.2450605392455259,-1.40625,686,0.1675,B,B,True,True,3,True,True,True,"◆ B
⟦OK⟧"
0,demonstrated,0.0300,0.03,0.030051582808369837,0.18282630132100924,-1.69921875,686,0.1675,B,B,True,True,3,True,True,True,"◆ B
⟦OK⟧"
0,demonstrated,0.0210,0.021,0.02146546346218514,0.1213137638466268,-2.109375,686,0.1675,B,B,True,True,3,True,True,True,"◆ B
⟦OK⟧"
0,undemonstrated,natural,,0.08919736442506476,1.0,0.0,678,0.1655,B,B,True,True,1,False,False,True,B
0,undemonstrated,0.0600,0.06,0.05995933456593505,0.5901705299683179,-0.5273438096046448,678,0.1655,B,B,True,True,1,False,False,True,B
0,undemonstrated,0.0450,0.045,0.045817824787819816,0.4152368286818413,-0.87890625,678,0.1655,B,B,True,True,1,False,False,True,B
0,undemonstrated,0.0375,0.0375,0.03804032724323925,0.32847936791032617,-1.11328125,678,0.1655,B,B,True,True,1,False,False,True,B
0,undemonstrated,0.0300,0.03,0.029889801542956285,0.2450605392455259,-1.40625,678,0.1655,B,B,True,True,1,False,False,True,B
0,undemonstrated,0.0210,0.021,0.020230085643325513,0.15335496684492847,-1.875,678,0.1655,B,B,True,True,1,False,False,True,B
1,demonstrated,natural,,0.10279385447844902,1.0,0.0,617,0.1506,E,B,False,True,3,True,True,True,"◆ B
⟦OK⟧"
1,demonstrated,0.0600,0.06,0.05901630821658799,0.4152368286818413,-0.87890625,617,0.1506,E,B,False,True,3,True,True,True,"◆ B
⟦OK⟧"
1,demonstrated,0.0450,0.045,0.045564057566870986,0.2921555976422762,-1.23046875,617,0.1506,E,B,False,True,3,True,True,True,"◆ B
⟦OK⟧"
1,demonstrated,0.0375,0.0375,0.03809663164776467,0.23111410023442172,-1.46484375,617,0.1506,E,B,False,True,3,True,True,True,"◆ B
⟦OK⟧"
1,demonstrated,0.0300,0.03,0.030424896796139578,0.17242162389375282,-1.7578125,617,0.1506,E,E,True,True,3,True,True,True,"◆ E
⟦OK⟧"
1,demonstrated,0.0210,0.021,0.020443105070404144,0.10789869514276741,-2.2265625,617,0.1506,E,E,True,True,3,True,True,True,"◆ E
⟦OK⟧"
1,undemonstrated,natural,,0.08284901654130294,1.0,0.0,609,0.1487,E,B,False,True,1,False,False,True,B
1,undemonstrated,0.0600,0.06,0.05971941072262865,0.6257840096045911,-0.4687500596046448,609,0.1487,E,B,False,True,1,False,False,True,B
1,undemonstrated,0.0450,0.045,0.04411290048817307,0.4152368286818413,-0.87890625,609,0.1487,E,A,False,True,1,False,False,True,A
1,undemonstrated,0.0375,0.0375,0.038378459556703604,0.34830125444308524,-1.0546875,609,0.1487,E,A,False,True,1,False,False,True,A
1,undemonstrated,0.0300,0.03,0.029044380890248078,0.2450605392455259,-1.40625,609,0.1487,E,A,False,True,1,False,False,True,A
1,undemonstrated,0.0210,0.021,0.02187992408925865,0.17242162389375282,-1.7578125,609,0.1487,E,A,False,True,1,False,False,True,A
2,demonstrated,natural,,0.08967717890514137,1.0,0.0,844,0.2061,D,D,True,True,3,True,True,True,"◆ D
⟦OK⟧"
2,demonstrated,0.0600,0.06,0.06026778150738821,0.5249085353233612,-0.64453125,844,0.2061,D,D,True,True,3,True,True,True,"◆ D
⟦OK⟧"
2,demonstrated,0.0450,0.045,0.04581491052440434,0.34830125444308524,-1.0546875,844,0.2061,D,D,True,True,3,True,True,True,"◆ D
⟦OK⟧"
2,demonstrated,0.0375,0.0375,0.03703717810702667,0.25984856758801733,-1.34765625,844,0.2061,D,D,True,True,3,True,True,True,"◆ D
⟦OK⟧"
2,demonstrated,0.0300,0.03,0.029474139901162655,0.19385884264329528,-1.640625,844,0.2061,D,D,True,True,3,True,True,True,"◆ D
⟦OK⟧"
2,demonstrated,0.0210,0.021,0.021004962916812087,0.1286343687209221,-2.05078125,844,0.2061,D,D,True,True,3,True,True,True,"◆ D
⟦OK⟧"
2,undemonstrated,natural,,0.07609605904697148,1.0,0.0,836,0.2041,D,D,True,True,1,False,False,True,D
2,undemonstrated,0.0600,0.06,0.05904919975778178,0.7035878743456275,-0.3515624701976776,836,0.2041,D,D,True,True,1,False,False,True,D
2,undemonstrated,0.0450,0.045,0.0455183063012905,0.4950358969261986,-0.703125,836,0.2041,D,D,True,True,1,False,False,True,D
2,undemonstrated,0.0375,0.0375,0.037794846431308926,0.391605626676799,-0.9375,836,0.2041,D,D,True,True,1,False,False,True,D
2,undemonstrated,0.0300,0.03,0.02972736783613872,0.2921555976422762,-1.23046875,836,0.2041,D,D,True,True,1,False,False,True,D
2,undemonstrated,0.0210,0.021,0.02118693685428097,0.19385884264329528,-1.640625,836,0.2041,D,D,True,True,1,False,False,True,D
3,demonstrated,natural,,0.09284419750474626,1.0,0.0,873,0.2131,C,B,False,True,3,True,True,True,"◆ B
⟦OK⟧"
3,demonstrated,0.0600,0.06,0.06091823366061888,0.4950358969261986,-0.703125,873,0.2131,C,B,False,True,3,True,True,True,"◆ B
⟦OK⟧"
