target,layer,metric,baseline_raw_pos,delta
task_index,0,0.895408522485819,0.9907446090368864,-0.0953360865510674
task_index,2,0.9898508553228319,0.9907446090368864,-0.0008937537140545349
task_index,4,0.9893141873681209,0.9907446090368864,-0.0014304216687655025
task_index,6,0.9901560287148837,0.9907446090368864,-0.0005885803220027075
task_index,8,0.9882105125629225,0.9907446090368864,-0.002534096473963965
task_index,10,0.9879383746070027,0.9907446090368864,-0.0028062344298837028
task_index,15,0.9878255781294039,0.9907446090368864,-0.002919030907482578
task_index,20,0.9840696518434471,0.9907446090368864,-0.006674957193439357
task_index,25,0.9775530668565937,0.9907446090368864,-0.013191542180292726
task_index,30,0.9648836353706489,0.9907446090368864,-0.02586097366623752
task_index,35,0.9470303634872821,0.9907446090368864,-0.04371424554960435
task_index,41,0.9600745590974512,0.9907446090368864,-0.03067004993943523
within_task_fraction,0,0.8989450359802098,0.0023251297362579804,0.8966199062439518
within_task_fraction,2,0.940582300341532,0.0023251297362579804,0.938257170605274
within_task_fraction,4,0.9550196001062703,0.0023251297362579804,0.9526944703700123
within_task_fraction,6,0.957224021454835,0.0023251297362579804,0.954898891718577
within_task_fraction,8,0.9562493527795577,0.0023251297362579804,0.9539242230432997
within_task_fraction,10,0.9543697689709267,0.0023251297362579804,0.9520446392346688
within_task_fraction,15,0.9492396648061242,0.0023251297362579804,0.9469145350698662
within_task_fraction,20,0.9428010505551416,0.0023251297362579804,0.9404759208188836
within_task_fraction,25,0.9355782011703389,0.0023251297362579804,0.9332530714340809
within_task_fraction,30,0.9272146941589452,0.0023251297362579804,0.9248895644226872
within_task_fraction,35,0.9230102543337785,0.0023251297362579804,0.9206851245975205
within_task_fraction,41,0.9204360936608753,0.0023251297362579804,0.9181109639246173
tokens_until_boundary,0,0.8713001916838132,-0.0004414680098485668,0.8717416596936618
tokens_until_boundary,2,0.8971368205752835,-0.0004414680098485668,0.8975782885851321
tokens_until_boundary,4,0.9085979425024611,-0.0004414680098485668,0.9090394105123096
tokens_until_boundary,6,0.9113365623601257,-0.0004414680098485668,0.9117780303699743
tokens_until_boundary,8,0.9091910627077011,-0.0004414680098485668,0.9096325307175497
tokens_until_boundary,10,0.9067931832130046,-0.0004414680098485668,0.9072346512228532
tokens_until_boundary,15,0.9007769333056512,-0.0004414680098485668,0.9012184013154998
tokens_until_boundary,20,0.895520617046472,-0.0004414680098485668,0.8959620850563206
tokens_until_boundary,25,0.8885590004168221,-0.0004414680098485668,0.8890004684266707
tokens_until_boundary,30,0.8793524776287498,-0.0004414680098485668,0.8797939456385984
tokens_until_boundary,35,0.8773909268644823,-0.0004414680098485668,0.8778323948743308
tokens_until_boundary,41,0.8843617468324323,-0.0004414680098485668,0.8848032148422809
