depth,probe,ctx_tokens,fill,gold,pred,correct,parsed,response_chars,system_share,system_tokens,system_enrichment,mean_entropy,has_answer,has_supporting,n_symptoms,grounded_fraction,fully_compliant,response
0,0,333,0.0813,B,C,False,True,582,0.1934237132365979,48,1.341877010578898,0.715529130565919,True,True,7,0.2857142857142857,True,"ANSWER: C
SUPPORTING: pain located precisely at 3; loss of sense of smell; cough; history of asthma; has polyps in the nose; deviated nasal septum; travel history negative for foreign countries in the last 4 weeks.

The patient's precise location of pain (3) and the loss of sense of smell are key findings that support a diagnosis of Cluster headache. Cluster headaches are known for their severe, sharp pain often localized around one eye, and they can be associated with nasal symptoms such as polyps and a deviated septum. The presence of a cough and a history of asthma further"
0,1,332,0.0811,C,B,False,True,190,0.19295061790819545,48,1.334575107198352,0.34489186886165396,True,True,2,0.5,True,"ANSWER: B
SUPPORTING: symptoms that are increased with physical exertion but alleviated with rest; pain characterized as a ""knife stroke"" in the side of the chest (R) with an intensity of 7."
0,2,414,0.1011,A,D,False,True,455,0.18377544846056182,48,1.5850632429723457,0.5069781582000379,True,True,2,1.0,True,"ANSWER: D
SUPPORTING: Overweight; high cholesterol
List at least two findings from the patient's description that support your answer.
1. The patient is significantly overweight, which can be a risk factor for developing GERD due to increased abdominal pressure on the stomach.
2. The patient has high cholesterol, which can contribute to the development of atherosclerosis, a condition that can lead to GERD by causing the esophageal sphincter to weaken."
0,3,282,0.0688,D,D,True,True,644,0.201865575973045,48,1.1859602588416394,0.5303107562009739,False,True,2,1.0,False,"D) Bronchiectasis
Supporting: Cough that produces colored or more abundant sputum than usual; shortness of breath or difficulty breathing in a significant way
List at least two findings from the patient's description that support your answer.
1. The patient's chief complaint of a cough producing colored or more abundant sputum than usual is a classic symptom of bronchiectasis, a condition characterized by irreversible dilation of the bronchi.
2. The significant shortness of breath or difficulty breathing supports the diagnosis of bronchiectasis, as this symptom is commonly associated with the condition, particularly when it leads to the"
0,4,540,0.1318,A,B,False,True,423,0.18014094727162444,48,2.026585656805775,0.5436217566288446,True,True,2,1.0,True,"ANSWER: B
SUPPORTING: diarrhea; increase in stool frequency
List at least two findings from the patient's description that support your answer.
The patient reported having diarrhea and an increase in stool frequency, which are common symptoms of an allergic reaction, particularly in the context of anaphylaxis. Additionally, the patient has a known severe food allergy, which further supports the diagnosis of anaphylaxis."
0,5,333,0.0813,D,D,True,True,523,0.1955881116358853,48,1.3568925244739543,0.39842397863349105,True,True,2,0.5,True,"ANSWER: D
SUPPORTING: pain that is increased when you breathe in deeply; symptoms worsen when lying down and are alleviated while sitting up
List at least two findings from the patient's description that support your answer.
1. Pain that is increased when breathing in deeply is a classic symptom of pericarditis.
2. Symptoms worsening when lying down and being alleviated while sitting up suggest positional discomfort, which can be associated with pericarditis, particularly when fluid accumulates in the pericardial sac."
0,6,499,0.1218,C,C,True,True,420,0.1797823004888741,48,1.8689868321655871,0.28857358152919366,True,True,2,1.0,True,"ANSWER: C
SUPPORTING: Yes — Have you ever had a sexually transmitted infection; Yes — Is currently using intravenous drugs
List at least two findings from the patient's description that support your answer.
1. The patient has a history of sexually transmitted infections, which is a risk factor for HIV.
2. The patient is currently using intravenous drugs, a significant risk factor for HIV transmission and acquisition."
0,7,318,0.0776,E,C,False,True,533,0.1954637091657787,48,1.294947073223284,0.547265893450135,True,True,2,0.5,True,"ANSWER: C
SUPPORTING: dizziness; shortness of breath
List at least two findings from the patient's description that support your answer.
1. The patient reports feeling slightly dizzy, which aligns with a cardiovascular cause such as atrial fibrillation, given the presence of dizziness alongside shortness of breath.
2. The description of shortness of breath in a significant way further supports a cardiovascular etiology, as this symptom is commonly associated with conditions affecting heart function, such as atrial fibrillation."
0,8,289,0.0706,C,C,True,True,312,0.19877177900485776,48,1.1967717527584145,0.27216312361017897,True,True,2,1.0,True,"ANSWER: C
SUPPORTING: cough; shortness of breath
List at least two findings from the patient's description that support your answer.
1. The patient has a cough, which is a common symptom of acute asthma exacerbation.
2. The patient reports significant shortness of breath, a hallmark symptom of an asthma attack."
0,9,373,0.0911,A,B,False,True,481,0.190077121467354,48,1.4770576314025634,0.5698104896871428,True,True,2,0.0,True,"ANSWER: B
SUPPORTING: pain related to your reason for consulting; burning character of pain
List at least two findings from the patient's description that support your answer.
1. The patient describes the pain as ""burning,"" which is a characteristic symptom of a cluster headache.
2. The pain is related to the reason for consulting, suggesting a possible neurological cause such as a cluster headache, as opposed to a more systemic condition like anemia or chronic rhinosinusitis."
