layer,probe_method,probe_type,cv_accuracy_mean,cv_accuracy_std,test_accuracy,n_train,n_test,n_features
0,attn,LogisticRegression(attention-summary),0.6375,0.07288689868556626,0.45,80,20,84
1,attn,LogisticRegression(attention-summary),0.4875,0.10752906583803284,0.5,80,20,84
2,attn,LogisticRegression(attention-summary),0.5875,0.09354143466934853,0.4,80,20,84
3,attn,LogisticRegression(attention-summary),0.425,0.082915619758885,0.35,80,20,84
4,attn,LogisticRegression(attention-summary),0.575,0.15,0.65,80,20,84
5,attn,LogisticRegression(attention-summary),0.4625,0.16105123408406408,0.65,80,20,84
6,attn,LogisticRegression(attention-summary),0.375,0.06846531968814576,0.6,80,20,84
7,attn,LogisticRegression(attention-summary),0.475,0.03061862178478973,0.65,80,20,84
8,attn,LogisticRegression(attention-summary),0.575,0.07288689868556626,0.55,80,20,84
9,attn,LogisticRegression(attention-summary),0.4,0.1286953767623375,0.7,80,20,84
10,attn,LogisticRegression(attention-summary),0.4125,0.08477912478906585,0.6,80,20,84
11,attn,LogisticRegression(attention-summary),0.4625,0.1403121520040228,0.55,80,20,84
