condition,base_x_now,base_y_later,amount_multiplier,amount_multiplier_text,t_delay,prop_choose_x_parsed,prop_choose_y_parsed,unparsed_rate,n_factor_cells,n_scale_factors,n_total,n_parsed,n_choose_x,n_choose_y,n_it_depends,n_unparsed
steer_immediate_minus256,100,100,1.0,1,1 hour,1.0,0.0,0.125,7,8,8,7,7,0,0,1
steer_immediate_minus256,100,100,1.0,1,8 hours,1.0,0.0,0.125,7,8,8,7,7,0,0,1
steer_immediate_minus256,100,100,1.0,1,tomorrow,1.0,0.0,0.125,7,8,8,7,7,0,0,1
steer_immediate_minus256,100,100,1.0,1,2 days,1.0,0.0,0.25,6,8,8,6,6,0,0,2
steer_immediate_minus256,100,100,1.0,1,week,1.0,0.0,0.0,8,8,8,8,8,0,0,0
steer_immediate_minus256,100,100,1.0,1,month,1.0,0.0,0.0,8,8,8,8,8,0,0,0
steer_immediate_minus256,100,100,1.0,1,3 months,1.0,0.0,0.125,7,8,8,7,7,0,0,1
steer_immediate_minus256,100,100,1.0,1,year,1.0,0.0,0.125,7,8,8,7,7,0,0,1
steer_immediate_minus256,100,100,1.0,1,2 years,1.0,0.0,0.0,8,8,8,8,8,0,0,0
steer_immediate_minus256,100,100,1.0,1,3 years,1.0,0.0,0.125,7,8,8,7,7,0,0,1
steer_immediate_minus256,100,100,1.0,1,5 years,1.0,0.0,0.125,7,8,8,7,7,0,0,1
steer_immediate_minus256,100,100,1.0,1,10 years,1.0,0.0,0.125,7,8,8,7,7,0,0,1
steer_immediate_minus256,100,101,1.01,1.01,1 hour,1.0,0.0,0.0,8,8,8,8,8,0,0,0
steer_immediate_minus256,100,101,1.01,1.01,8 hours,0.875,0.125,0.0,8,8,8,8,7,1,0,0
steer_immediate_minus256,100,101,1.01,1.01,tomorrow,0.75,0.25,0.0,8,8,8,8,6,2,0,0
steer_immediate_minus256,100,101,1.01,1.01,2 days,0.875,0.125,0.0,8,8,8,8,7,1,0,0
steer_immediate_minus256,100,101,1.01,1.01,week,1.0,0.0,0.125,7,8,8,7,7,0,0,1
steer_immediate_minus256,100,101,1.01,1.01,month,1.0,0.0,0.125,7,8,8,7,7,0,0,1
steer_immediate_minus256,100,101,1.01,1.01,3 months,1.0,0.0,0.0,8,8,8,8,8,0,0,0
steer_immediate_minus256,100,101,1.01,1.01,year,1.0,0.0,0.0,8,8,8,8,8,0,0,0
steer_immediate_minus256,100,101,1.01,1.01,2 years,1.0,0.0,0.0,8,8,8,8,8,0,0,0
steer_immediate_minus256,100,101,1.01,1.01,3 years,1.0,0.0,0.0,8,8,8,8,8,0,0,0
steer_immediate_minus256,100,101,1.01,1.01,5 years,1.0,0.0,0.0,8,8,8,8,8,0,0,0
steer_immediate_minus256,100,101,1.01,1.01,10 years,1.0,0.0,0.0,8,8,8,8,8,0,0,0
steer_immediate_minus256,100,110,1.1,1.1,1 hour,0.8571428571428571,0.14285714285714285,0.125,7,8,8,7,6,1,0,1
steer_immediate_minus256,100,110,1.1,1.1,8 hours,1.0,0.0,0.125,7,8,8,7,7,0,0,1
steer_immediate_minus256,100,110,1.1,1.1,tomorrow,0.8571428571428571,0.14285714285714285,0.125,7,8,8,7,6,1,0,1
steer_immediate_minus256,100,110,1.1,1.1,2 days,0.6666666666666666,0.3333333333333333,0.25,6,8,8,6,4,2,0,2
steer_immediate_minus256,100,110,1.1,1.1,week,0.8571428571428571,0.14285714285714285,0.125,7,8,8,7,6,1,0,1
steer_immediate_minus256,100,110,1.1,1.1,month,0.8571428571428571,0.14285714285714285,0.125,7,8,8,7,6,1,0,1
steer_immediate_minus256,100,110,1.1,1.1,3 months,0.8571428571428571,0.14285714285714285,0.125,7,8,8,7,6,1,0,1
steer_immediate_minus256,100,110,1.1,1.1,year,0.875,0.125,0.0,8,8,8,8,7,1,0,0
steer_immediate_minus256,100,110,1.1,1.1,2 years,1.0,0.0,0.125,7,8,8,7,7,0,0,1
steer_immediate_minus256,100,110,1.1,1.1,3 years,0.8571428571428571,0.14285714285714285,0.125,7,8,8,7,6,1,0,1
steer_immediate_minus256,100,110,1.1,1.1,5 years,0.875,0.125,0.0,8,8,8,8,7,1,0,0
steer_immediate_minus256,100,110,1.1,1.1,10 years,1.0,0.0,0.125,7,8,8,7,7,0,0,1
steer_immediate_minus256,100,150,1.5,1.5,1 hour,0.7142857142857143,0.2857142857142857,0.125,7,8,8,7,5,2,0,1
steer_immediate_minus256,100,150,1.5,1.5,8 hours,1.0,0.0,0.0,8,8,8,8,8,0,0,0
steer_immediate_minus256,100,150,1.5,1.5,tomorrow,1.0,0.0,0.5,4,8,8,4,4,0,0,4
steer_immediate_minus256,100,150,1.5,1.5,2 days,0.3333333333333333,0.6666666666666666,0.25,6,8,8,6,2,4,0,2
steer_immediate_minus256,100,150,1.5,1.5,week,0.75,0.25,0.0,8,8,8,8,6,2,0,0
steer_immediate_minus256,100,150,1.5,1.5,month,0.7857142857142857,0.21428571428571427,0.125,7,8,8,7,5,1,1,1
steer_immediate_minus256,100,150,1.5,1.5,3 months,0.5714285714285714,0.42857142857142855,0.125,7,8,8,7,4,3,0,1
steer_immediate_minus256,100,150,1.5,1.5,year,1.0,0.0,0.0,8,8,8,8,8,0,0,0
steer_immediate_minus256,100,150,1.5,1.5,2 years,0.875,0.125,0.0,8,8,8,8,7,1,0,0
