train_regime,feature_name,vector_key,layer,direction,rank,token_id,decoded_stripped,score
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,positive,1,4825,long,0.12890625
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,positive,2,69,f,0.08984375
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,positive,3,21787,generations,0.08837890625
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,positive,4,768,ug,0.0869140625
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,positive,5,28412,backwards,0.0859375
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,positive,6,4134,ago,0.0830078125
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,positive,7,1134,ages,0.08154296875
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,positive,8,85624,ordained,0.08154296875
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,positive,9,3365,ids,0.08056640625
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,positive,10,98387,accumulate,0.08056640625
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,negative,1,57964,chy,-0.11669921875
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,negative,2,23632,icular,-0.107421875
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,negative,3,85567,chal,-0.10546875
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,negative,4,985,indow,-0.09912109375
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,negative,5,23678,izen,-0.0966796875
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,negative,6,61956,deadline,-0.09619140625
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,negative,7,95693,immediately,-0.0947265625
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,negative,8,37968,zier,-0.09326171875
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,negative,9,15708,ghan,-0.09326171875
explicit_train_only,mean_answer_tokens,mm_steering_vectors,10,negative,10,44489,tlement,-0.0927734375
explicit_train_only,mean_answer_tokens,wmm_steering_vectors,10,positive,1,65327,spoilers,0.08447265625
explicit_train_only,mean_answer_tokens,wmm_steering_vectors,10,positive,2,5223,id,0.08154296875
explicit_train_only,mean_answer_tokens,wmm_steering_vectors,10,positive,3,7655,doub,0.0810546875
explicit_train_only,mean_answer_tokens,wmm_steering_vectors,10,positive,4,10291,otten,0.08056640625
explicit_train_only,mean_answer_tokens,wmm_steering_vectors,10,positive,5,26185,stret,0.08056640625
explicit_train_only,mean_answer_tokens,wmm_steering_vectors,10,positive,6,39440,imp,0.07958984375
