dataset,dataset_kind,dataset_size,t_delay,exact_pair_count,exact_pair_pct,unit_pair_count,unit_pair_pct
explicit_expanded_500,explicit,500,1 hour,0,0.0,17,0.034
explicit_expanded_500,explicit,500,8 hours,0,0.0,17,0.034
explicit_expanded_500,explicit,500,tomorrow,10,0.02,10,0.02
explicit_expanded_500,explicit,500,2 days,0,0.0,17,0.034
explicit_expanded_500,explicit,500,week,30,0.06,36,0.072
explicit_expanded_500,explicit,500,month,14,0.028,21,0.042
explicit_expanded_500,explicit,500,3 months,0,0.0,21,0.042
explicit_expanded_500,explicit,500,year,29,0.058,149,0.298
explicit_expanded_500,explicit,500,2 years,0,0.0,149,0.298
explicit_expanded_500,explicit,500,3 years,0,0.0,149,0.298
explicit_expanded_500,explicit,500,5 years,0,0.0,149,0.298
explicit_expanded_500,explicit,500,10 years,1,0.002,149,0.298
implicit_expanded_300,implicit,300,1 hour,0,0.0,0,0.0
implicit_expanded_300,implicit,300,8 hours,0,0.0,0,0.0
implicit_expanded_300,implicit,300,tomorrow,0,0.0,0,0.0
implicit_expanded_300,implicit,300,2 days,0,0.0,0,0.0
implicit_expanded_300,implicit,300,week,0,0.0,0,0.0
implicit_expanded_300,implicit,300,month,0,0.0,0,0.0
implicit_expanded_300,implicit,300,3 months,0,0.0,0,0.0
implicit_expanded_300,implicit,300,year,0,0.0,0,0.0
implicit_expanded_300,implicit,300,2 years,0,0.0,0,0.0
implicit_expanded_300,implicit,300,3 years,0,0.0,0,0.0
implicit_expanded_300,implicit,300,5 years,0,0.0,0,0.0
implicit_expanded_300,implicit,300,10 years,0,0.0,0,0.0
explicit_original_50,explicit,50,1 hour,0,0.0,0,0.0
explicit_original_50,explicit,50,8 hours,0,0.0,0,0.0
explicit_original_50,explicit,50,tomorrow,2,0.04,2,0.04
explicit_original_50,explicit,50,2 days,0,0.0,1,0.02
explicit_original_50,explicit,50,week,3,0.06,5,0.1
explicit_original_50,explicit,50,month,1,0.02,1,0.02
explicit_original_50,explicit,50,3 months,0,0.0,1,0.02
explicit_original_50,explicit,50,year,0,0.0,4,0.08
explicit_original_50,explicit,50,2 years,0,0.0,4,0.08
explicit_original_50,explicit,50,3 years,0,0.0,4,0.08
explicit_original_50,explicit,50,5 years,1,0.02,4,0.08
explicit_original_50,explicit,50,10 years,1,0.02,4,0.08
implicit_original_50,implicit,50,1 hour,0,0.0,0,0.0
implicit_original_50,implicit,50,8 hours,0,0.0,0,0.0
implicit_original_50,implicit,50,tomorrow,0,0.0,0,0.0
implicit_original_50,implicit,50,2 days,0,0.0,0,0.0
implicit_original_50,implicit,50,week,0,0.0,0,0.0
implicit_original_50,implicit,50,month,0,0.0,0,0.0
implicit_original_50,implicit,50,3 months,0,0.0,0,0.0
implicit_original_50,implicit,50,year,0,0.0,0,0.0
implicit_original_50,implicit,50,2 years,0,0.0,0,0.0
implicit_original_50,implicit,50,3 years,0,0.0,0,0.0
implicit_original_50,implicit,50,5 years,0,0.0,0,0.0
implicit_original_50,implicit,50,10 years,0,0.0,0,0.0
