method,condition,signed_strength,t_delay,delay_idx,indifference_multiplier,plot_multiplier,log_indifference_multiplier,logistic_alpha,logistic_beta_log_multiplier,status,parsed_weight_fraction,n_factor_rows,n_valid_factor_rows
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,1 hour,0,56.34430502435577,,4.031481171036928,2.9879372466721072,-0.7411512344738515,negative_slope_incoherent_amount_effect,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,8 hours,1,7.775493227794185,,2.050976893711631,0.38001802059133916,-0.18528634903517838,negative_slope_incoherent_amount_effect,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,tomorrow,2,0.00013920764914347327,1.0,-8.87954386083035,1.354170162396896,0.15250447361045683,left_censored_threshold_below_tested_range,0.9995948712078773,64,61
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,2 days,3,40168487.96570609,,17.508593364743437,1.634121866159368,-0.09333256145236392,negative_slope_incoherent_amount_effect,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,week,4,4.506808763819497,4.506808763819497,1.505589311882955,-0.497897179492779,0.3306991990200085,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,month,5,0.5878968390576667,1.0,-0.5312037902550488,0.16302102022335485,0.30688979110085596,left_censored_threshold_below_tested_range,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,3 months,6,6.032210666096288,6.032210666096288,1.797113554846511,-0.9116979156118605,0.5073123582831846,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,year,7,28.474984478345032,28.474984478345032,3.349025964235469,-1.06099080386908,0.3168057862792019,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,2 years,8,0.4126739333188665,1.0,-0.8850975055489494,0.15940905107686415,0.1801033785288961,left_censored_threshold_below_tested_range,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,3 years,9,2.2573981413681023e-92,1.0,-211.02361567026387,0.2050299748067771,0.0009715972980348694,left_censored_threshold_below_tested_range,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,5 years,10,2.2299497574533453,2.2299497574533453,0.801979054928237,-0.1656632034593225,0.20656799256951475,finite,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,10 years,11,84245.65215068583,100.0,11.341492240362896,-2.383049346497218,0.21011779543579415,right_censored_threshold_above_tested_range,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,1 hour,0,1496.5875544467617,,7.31094283172685,3.8582528903601965,-0.5277367063543122,negative_slope_incoherent_amount_effect,1.0,64,64
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,8 hours,1,2.7506999073347787e-27,1.0,-61.157942119785275,1.6527688148941677,0.02702459823872129,left_censored_threshold_below_tested_range,1.0,64,64
