patch_family,patch_position,patch_layer,patch_subtype,clean_choice,corrupt_choice,n_patches,n_unique_cases,n_patched_x_now,n_patched_y_later,n_patched_it_depends,n_patched_unparsed,mean_patched_matches_clean_binary,median_patched_matches_clean_binary,mean_patched_changed_from_corrupt_binary,median_patched_changed_from_corrupt_binary,mean_parsed_binary_recovery,median_parsed_binary_recovery,mean_sum_logprob_margin_recovery,median_sum_logprob_margin_recovery,mean_avg_logprob_margin_recovery,median_avg_logprob_margin_recovery,mean_pre_patch_clean_corrupt_l2,median_pre_patch_clean_corrupt_l2,mean_pre_patch_clean_corrupt_cosine,median_pre_patch_clean_corrupt_cosine,parsed_rate
corrupt_t,question_mark,40,closest_delay_pair_longer_into_shorter,x_now,y_later,47,47,1,46,0,0,0.02127659574468085,0.0,0.02127659574468085,0.0,0.02127659574468085,-0.0,0.0177161621314022,-9.918192444491309e-05,0.0043555579215248256,0.0008037609544194858,18.481006480277852,18.3192195892334,0.9964808276359071,0.9965622425079346,1.0
corrupt_t,question_mark,40,closest_delay_pair_longer_into_shorter,y_later,x_now,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-8.765240969124465,-8.765240969124465,-0.2658030214614537,-0.2658030214614537,21.842504501342773,21.842504501342773,0.9951985478401184,0.9951985478401184,1.0
corrupt_t,question_mark,40,closest_delay_pair_shorter_into_longer,x_now,y_later,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.6588821831540278,0.6588821831540278,-0.03278609868378396,-0.03278609868378396,21.842504501342773,21.842504501342773,0.9951985478401184,0.9951985478401184,1.0
corrupt_t,question_mark,40,closest_delay_pair_shorter_into_longer,y_later,x_now,47,47,45,2,0,0,0.0425531914893617,0.0,0.0425531914893617,0.0,0.0425531914893617,0.0,0.002598378063239941,-1.1830063503780888e-05,0.002389464273476409,0.007109206106443165,18.481006480277852,18.3192195892334,0.9964808276359071,0.9965622425079346,1.0
corrupt_t,sentence_period,40,closest_delay_pair_longer_into_shorter,x_now,y_later,47,47,0,47,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.009871482660326496,5.339368464882211e-05,-0.010452913007133973,0.006376527650898299,5.787186551601328,5.381231307983398,0.9997837467396513,0.9998173713684082,1.0
corrupt_t,sentence_period,40,closest_delay_pair_longer_into_shorter,y_later,x_now,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-3.066036910697105,-3.066036910697105,-0.05948648122933282,-0.05948648122933282,7.468080043792725,7.468080043792725,0.9996519684791565,0.9996519684791565,1.0
corrupt_t,sentence_period,40,closest_delay_pair_shorter_into_longer,x_now,y_later,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,-6.109769964138896,-6.109769964138896,-0.022352330934318876,-0.022352330934318876,7.468080043792725,7.468080043792725,0.9996519684791565,0.9996519684791565,1.0
corrupt_t,sentence_period,40,closest_delay_pair_shorter_into_longer,y_later,x_now,47,47,47,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00045310287922627093,0.003601887010968813,-0.007601801251750013,0.006391358509150108,5.787186551601328,5.381231307983398,0.9997837467396513,0.9998173713684082,1.0
corrupt_y,question_mark,40,high_y_into_low_y,x_now,y_later,2,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.002696441407032662,-0.002696441407032662,-0.004327072633524623,-0.004327072633524623,34.164825439453125,34.164825439453125,0.9881808161735535,0.9881808161735535,1.0
corrupt_y,question_mark,40,high_y_into_low_y,y_later,x_now,51,51,51,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039060658607301527,6.514753261375061e-06,0.0007843005813203838,-0.0005158043126774267,31.32447280135809,31.102401733398438,0.989889501356611,0.9901569485664368,1.0
corrupt_y,question_mark,40,low_y_into_high_y,x_now,y_later,51,51,0,51,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.008314610467179247,0.00733683999944324,0.014201981549251966,0.010742054220010146,31.32447280135809,31.102401733398438,0.989889501356611,0.9901569485664368,1.0
corrupt_y,question_mark,40,low_y_into_high_y,y_later,x_now,2,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.022494617032647667,0.022494617032647667,0.01850031904527761,0.01850031904527761,34.164825439453125,34.164825439453125,0.9881808161735535,0.9881808161735535,1.0
corrupt_y,sentence_period,40,high_y_into_low_y,x_now,y_later,2,2,0,2,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,-4.252808755992427e-05,-4.252808755992427e-05,-0.0015204423112766784,-0.0015204423112766784,10.399545192718506,10.399545192718506,0.9993325769901276,0.9993325769901276,1.0
corrupt_y,sentence_period,40,high_y_into_low_y,y_later,x_now,51,51,51,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014125592139324764,-0.00033420614262830053,-0.0012307299067196022,-0.0005034475704647588,9.30591515933766,9.2108154296875,0.9994491841278824,0.9994627833366394,1.0
corrupt_y,sentence_period,40,low_y_into_high_y,x_now,y_later,51,51,0,51,0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0003902326350430105,-2.080074684241756e-06,0.0005320438202263736,1.6971087244422807e-05,9.30591515933766,9.2108154296875,0.9994491841278824,0.9994627833366394,1.0
corrupt_y,sentence_period,40,low_y_into_high_y,y_later,x_now,2,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005092007373783086,-0.005092007373783086,-0.01005537444812572,-0.01005537444812572,10.399545192718506,10.399545192718506,0.9993325769901276,0.9993325769901276,1.0
