mode,session,position,context_fill,subject,gold,pred,correct
random,0,0,0.0107,high_school_european_history,B,B,True
random,0,1,0.0518,high_school_chemistry,D,B,False
random,0,2,0.0767,high_school_biology,D,D,True
random,0,3,0.1187,high_school_european_history,B,B,True
random,0,4,0.217,high_school_psychology,D,D,True
random,0,5,0.2378,high_school_biology,D,D,True
random,0,6,0.2534,moral_scenarios,A,A,True
random,0,7,0.29,elementary_mathematics,D,B,False
random,0,8,0.3047,moral_scenarios,A,A,True
random,0,9,0.3342,machine_learning,B,B,True
random,0,10,0.3572,professional_accounting,A,C,False
random,0,11,0.3779,human_aging,B,C,False
random,0,12,0.3918,professional_law,B,B,True
random,0,13,0.5051,moral_scenarios,D,A,False
random,0,14,0.5354,econometrics,B,B,True
random,0,15,0.5652,human_sexuality,A,A,True
random,0,16,0.5869,professional_accounting,D,D,True
random,0,17,0.614,clinical_knowledge,D,B,False
random,0,18,0.634,college_chemistry,A,D,False
random,0,19,0.6501,professional_psychology,A,A,True
random,0,20,0.6689,world_religions,D,D,True
random,0,21,0.6833,miscellaneous,B,D,False
random,0,22,0.7078,econometrics,D,D,True
random,0,23,0.7341,high_school_world_history,B,B,True
random,0,24,0.7844,high_school_psychology,B,B,True
random,0,25,0.8164,high_school_chemistry,D,B,False
random,0,26,0.8655,high_school_psychology,A,A,True
random,1,0,0.0107,high_school_statistics,B,B,True
random,1,1,0.0452,high_school_biology,C,C,True
random,1,2,0.0715,us_foreign_policy,A,A,True
random,1,3,0.0886,moral_scenarios,C,A,False
random,1,4,0.1216,high_school_psychology,B,B,True
random,1,5,0.1387,clinical_knowledge,D,D,True
random,1,6,0.158,prehistory,D,A,False
random,1,7,0.1794,miscellaneous,A,B,False
random,1,8,0.1946,logical_fallacies,B,A,False
random,1,9,0.2158,college_chemistry,D,D,True
random,1,10,0.2363,professional_law,A,A,True
random,1,11,0.3105,high_school_chemistry,C,C,True
random,1,12,0.3328,management,B,B,True
random,1,13,0.3533,high_school_geography,B,A,False
random,1,14,0.3701,professional_law,A,C,False
random,1,15,0.4326,high_school_macroeconomics,D,A,False
random,1,16,0.4534,elementary_mathematics,C,A,False
random,1,17,0.4695,professional_law,D,A,False
random,1,18,0.5386,human_aging,C,C,True
random,1,19,0.5544,high_school_us_history,B,B,True
random,1,20,0.6638,medical_genetics,C,C,True
random,1,21,0.6877,high_school_european_history,D,D,True
random,1,22,0.7742,high_school_biology,A,A,True
random,1,23,0.792,high_school_psychology,D,D,True
random,1,24,0.8127,high_school_government_and_politics,C,C,True
random,1,25,0.8318,high_school_us_history,C,C,True
random,2,0,0.0107,professional_medicine,B,A,False
random,2,1,0.0652,professional_accounting,D,C,False
random,2,2,0.0923,high_school_psychology,A,B,False
random,2,3,0.1201,philosophy,C,D,False
random,2,4,0.1404,professional_psychology,A,D,False
random,2,5,0.1729,security_studies,A,A,True
random,2,6,0.2278,high_school_us_history,D,C,False
random,2,7,0.3276,professional_law,C,C,True
random,2,8,0.3845,us_foreign_policy,B,B,True
random,2,9,0.4009,miscellaneous,A,A,True
random,2,10,0.4187,professional_law,A,A,True
random,2,11,0.4355,professional_law,D,C,False
random,2,12,0.4866,professional_accounting,C,D,False
random,2,13,0.5071,professional_law,C,A,False
random,2,14,0.5867,econometrics,C,C,True
random,2,15,0.6321,high_school_chemistry,D,A,False
random,2,16,0.657,us_foreign_policy,A,A,True
random,2,17,0.677,moral_disputes,B,B,True
random,2,18,0.7019,professional_law,C,C,True
random,2,19,0.7595,high_school_macroeconomics,B,A,False
random,2,20,0.7766,professional_law,A,A,True
random,2,21,0.8218,professional_law,C,A,False
random,3,0,0.0107,moral_scenarios,B,A,False
random,3,1,0.0396,professional_law,B,B,True
random,3,2,0.103,econometrics,C,C,True
random,3,3,0.1335,clinical_knowledge,B,B,True
random,3,4,0.155,professional_law,B,B,True
random,3,5,0.2068,human_aging,B,B,True
random,3,6,0.2227,moral_scenarios,A,D,False
random,3,7,0.2534,high_school_us_history,B,B,True
random,3,8,0.3027,miscellaneous,C,C,True
random,3,9,0.3157,logical_fallacies,A,A,True
random,3,10,0.3367,electrical_engineering,D,A,False
random,3,11,0.3594,electrical_engineering,D,D,True
random,3,12,0.3796,management,C,C,True
random,3,13,0.3958,elementary_mathematics,C,A,False
random,3,14,0.4106,human_sexuality,B,B,True
random,3,15,0.426,professional_law,C,C,True
random,3,16,0.5076,high_school_mathematics,D,B,False
random,3,17,0.531,high_school_us_history,B,B,True
random,3,18,0.6201,high_school_psychology,D,D,True
random,3,19,0.6467,formal_logic,A,C,False
random,3,20,0.6736,high_school_government_and_politics,D,D,True
random,3,21,0.6963,high_school_government_and_politics,C,C,True
random,3,22,0.7166,professional_psychology,D,D,True
random,3,23,0.7415,professional_law,D,D,True
random,3,24,0.7598,college_computer_science,D,D,True
random,3,25,0.7837,miscellaneous,A,B,False
random,3,26,0.7988,moral_disputes,A,A,True
random,3,27,0.8232,econometrics,C,C,True
random,3,28,0.8584,moral_disputes,B,A,False
random,3,29,0.8784,us_foreign_policy,D,D,True
random,4,0,0.0107,conceptual_physics,B,B,True
random,4,1,0.0276,high_school_macroeconomics,C,D,False
random,4,2,0.0542,moral_scenarios,B,A,False
random,4,3,0.0845,high_school_psychology,B,B,True
random,4,4,0.1108,professional_law,D,C,False
random,4,5,0.1641,business_ethics,A,C,False
random,4,6,0.197,college_biology,A,B,False
random,4,7,0.2239,professional_medicine,D,C,False
random,4,8,0.2815,moral_scenarios,D,B,False
random,4,9,0.3123,prehistory,B,B,True
random,4,10,0.3315,high_school_mathematics,A,A,True
random,4,11,0.355,professional_accounting,A,A,True
random,4,12,0.3835,high_school_computer_science,D,A,False
random,4,13,0.3997,nutrition,B,B,True
random,4,14,0.4133,prehistory,C,C,True
random,4,15,0.4297,professional_law,C,A,False
random,4,16,0.4773,prehistory,A,A,True
random,4,17,0.5029,professional_law,D,A,False
random,4,18,0.5669,high_school_biology,A,A,True
random,4,19,0.5864,philosophy,C,A,False
random,4,20,0.6021,philosophy,B,B,True
random,4,21,0.6211,professional_law,B,D,False
random,4,22,0.688,high_school_biology,B,B,True
random,4,23,0.7151,clinical_knowledge,B,B,True
random,4,24,0.7363,moral_disputes,B,B,True
random,4,25,0.7581,professional_psychology,D,D,True
random,4,26,0.7825,security_studies,A,A,True
random,4,27,0.8513,high_school_government_and_politics,A,A,True
random,4,28,0.874,marketing,B,B,True
random,5,0,0.0107,moral_scenarios,C,D,False
random,5,1,0.0415,elementary_mathematics,C,B,False
random,5,2,0.0654,high_school_macroeconomics,C,B,False
random,5,3,0.0925,nutrition,C,C,True
random,5,4,0.1284,professional_law,C,C,True
random,5,5,0.1921,world_religions,B,B,True
random,5,6,0.207,professional_psychology,C,C,True
random,5,7,0.2224,professional_law,A,A,True
random,5,8,0.2776,high_school_chemistry,C,C,True
random,5,9,0.3132,high_school_statistics,C,D,False
random,5,10,0.3362,conceptual_physics,B,B,True
random,5,11,0.3496,high_school_psychology,B,B,True
random,5,12,0.3699,professional_psychology,A,A,True
random,5,13,0.3865,nutrition,D,D,True
random,5,14,0.4253,prehistory,D,D,True
random,5,15,0.4429,professional_psychology,D,D,True
random,5,16,0.4634,clinical_knowledge,B,B,True
random,5,17,0.4795,global_facts,A,C,False
random,5,18,0.4985,moral_disputes,D,A,False
random,5,19,0.5232,high_school_psychology,D,D,True
random,5,20,0.5398,nutrition,C,A,False
random,5,21,0.5647,high_school_psychology,C,C,True
random,5,22,0.5947,conceptual_physics,C,C,True
random,5,23,0.6123,management,D,D,True
random,5,24,0.6279,world_religions,D,D,True
random,5,25,0.6448,moral_scenarios,A,A,True
random,5,26,0.6758,miscellaneous,D,D,True
random,5,27,0.6934,conceptual_physics,A,A,True
random,5,28,0.7097,astronomy,D,D,True
random,5,29,0.7336,high_school_world_history,B,B,True
random,5,30,0.7778,moral_disputes,B,B,True
random,5,31,0.8003,philosophy,B,A,False
random,5,32,0.8228,human_aging,C,C,True
random,5,33,0.8386,marketing,C,C,True
random,5,34,0.8655,professional_law,A,D,False
random,6,0,0.0107,astronomy,B,B,True
random,6,1,0.0298,professional_law,B,C,False
random,6,2,0.0977,elementary_mathematics,C,A,False
random,6,3,0.1147,professional_psychology,C,C,True
random,6,4,0.135,high_school_mathematics,B,B,True
random,6,5,0.157,high_school_world_history,D,D,True
random,6,6,0.2883,professional_psychology,B,B,True
random,6,7,0.3052,professional_law,A,D,False
random,6,8,0.3826,high_school_biology,D,D,True
random,6,9,0.4231,logical_fallacies,B,B,True
random,6,10,0.4517,elementary_mathematics,A,A,True
random,6,11,0.488,high_school_microeconomics,B,B,True
random,6,12,0.5046,high_school_mathematics,C,C,True
random,6,13,0.5244,miscellaneous,D,D,True
random,6,14,0.5396,high_school_government_and_politics,C,C,True
random,6,15,0.5598,philosophy,A,C,False
random,6,16,0.5811,electrical_engineering,C,A,False
random,6,17,0.5967,professional_law,C,C,True
random,6,18,0.6484,moral_scenarios,A,A,True
random,6,19,0.6802,professional_law,B,C,False
random,6,20,0.7419,formal_logic,B,A,False
random,6,21,0.7759,high_school_biology,C,C,True
random,6,22,0.8015,moral_scenarios,C,A,False
random,6,23,0.8318,moral_disputes,C,A,False
random,6,24,0.8525,high_school_macroeconomics,B,A,False
random,6,25,0.873,college_biology,A,D,False
