method,condition,signed_strength,t_delay,delay_idx,area_choose_later,indifference_multiplier,plot_multiplier,log_indifference_multiplier,status,parsed_weight_fraction,n_factor_rows,n_valid_factor_rows,time_delay_format,day_count_delays,time_delay_format_source
area_equivalent_multiscale,steer_immediate_minus128,-128.0,1 hour,0,0.9053456852604054,1.5463529581480318,1.5463529581480318,0.43589922821391447,finite,0.9375000000000002,64,62,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,8 hours,1,0.752500899700652,3.126066414945489,3.126066414945489,1.1397754777574338,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,1 day,2,0.8705694835132598,1.8149348208267713,1.8149348208267713,0.596049555681776,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,2 days,3,0.8597099605214326,1.9080075064143622,1.9080075064143622,0.646059507197791,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,7 days,4,0.8571229176990435,1.930875022438802,1.930875022438802,0.6579732796733317,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,30 days,5,0.8628385323047709,1.8807147705690328,1.8807147705690328,0.6316519016964377,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,90 days,6,0.5506183986965123,7.920693399646309,7.920693399646309,2.069478752454409,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,365 days,7,0.30006437472899883,25.11141876611477,25.11141876611477,3.2233226736089478,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,730 days,8,0.14381437472899883,51.56692688606231,51.56692688606231,3.942880515169587,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,1095 days,9,0.14381437472899883,51.56692688606231,51.56692688606231,3.942880515169587,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,1825 days,10,0.22512874945799763,35.46030780581207,35.46030780581207,3.5684139809753384,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,3650 days,11,0.0,100.00000000000004,100.0,4.605170185988092,right_censored_all_now_in_tested_range,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus64,-64.0,1 hour,0,0.9853323552747247,1.0698805430023546,1.0698805430023546,0.0675470001875026,finite,0.9687500000000001,64,63,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus64,-64.0,8 hours,1,0.9072985640733242,1.5325084289257915,1.5325084289257915,0.42690588892781284,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus64,-64.0,1 day,2,0.9369500477468435,1.3369030205114072,1.3369030205114072,0.2903557603442089,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus64,-64.0,2 days,3,0.9476856655764084,1.2724146737761106,1.2724146737761106,0.24091641318733456,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus64,-64.0,7 days,4,0.938243569158038,1.328962913942272,1.328962913942272,0.2843988741064392,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus64,-64.0,30 days,5,0.9103158642113808,1.5113612099412566,1.5113612099412566,0.41301070828985686,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus64,-64.0,90 days,6,0.7107727342155218,3.7883886916266762,3.7883886916266762,1.3319407813655326,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus64,-64.0,365 days,7,0.5813143747289988,6.876560219336323,6.876560219336323,1.928118558799797,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus64,-64.0,730 days,8,0.41262874945799766,14.953487812212206,14.953487812212206,2.704944571102571,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus64,-64.0,1095 days,9,0.5094071873644994,9.576032806985737,9.576032806985737,2.259263394209049,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus64,-64.0,1825 days,10,0.4250643747289988,14.121188506346783,14.121188506346783,2.6476764003604365,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus64,-64.0,3650 days,11,0.13440718736449941,53.8499897874662,53.8499897874662,3.986202213954584,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus32,-32.0,1 hour,0,0.9544095386669256,1.2336186391824993,1.2336186391824993,0.20995183329651743,finite,0.9687500000000001,64,63,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus32,-32.0,8 hours,1,0.9138248514685935,1.4871346648201613,1.4871346648201613,0.3968512247899288,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus32,-32.0,1 day,2,0.98689051731358,1.0622309846294695,1.0622309846294695,0.06037139882122835,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus32,-32.0,2 days,3,0.9610083262283623,1.196694644728726,1.196694644728726,0.17956329355491993,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus32,-32.0,7 days,4,0.944904899484015,1.2888138693793239,1.2888138693793239,0.25372231429023107,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus32,-32.0,30 days,5,0.8709521982580759,1.8117388761463409,1.8117388761463409,0.5942870891492112,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus32,-32.0,90 days,6,0.7514299215800211,3.1415223719814596,3.1415223719814596,1.1447075142684087,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus32,-32.0,365 days,7,0.6438143747289988,5.15669268860623,5.15669268860623,1.6402954221755413,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus32,-32.0,730 days,8,0.5500643747289987,7.9409278579217775,7.9409278579217775,2.0720301271119252,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus32,-32.0,1095 days,9,0.6532215620934981,4.938065836163676,4.938065836163676,1.596973723390545,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus32,-32.0,1825 days,10,0.5406571873644994,8.292502770175192,8.292502770175192,2.1153518258969215,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus32,-32.0,3650 days,11,0.24697156209349824,32.066892495187155,32.066892495187155,3.467824111448207,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus16,-16.0,1 hour,0,0.9870842405835843,1.0612837605449021,1.0612837605449021,0.059479270193872176,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus16,-16.0,8 hours,1,0.9381196639957756,1.3297214423633341,1.3297214423633341,0.28496947846557935,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus16,-16.0,1 day,2,0.9881840387247746,1.0559222044938916,1.0559222044938916,0.05441451258345791,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus16,-16.0,2 days,3,0.9597148048171679,1.2038444928623153,1.2038444928623153,0.1855201797926896,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus16,-16.0,7 days,4,0.9476856655764084,1.2724146737761106,1.2724146737761106,0.24091641318733456,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus16,-16.0,30 days,5,0.8708171553273683,1.8128659391451458,1.8128659391451458,0.5949089848275344,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus16,-16.0,90 days,6,0.7514299215800211,3.1415223719814596,3.1415223719814596,1.1447075142684087,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus16,-16.0,365 days,7,0.6438143747289988,5.15669268860623,5.15669268860623,1.6402954221755413,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus16,-16.0,730 days,8,0.6125643747289988,5.954855817382319,5.954855817382319,1.784206990487669,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus16,-16.0,1095 days,9,0.6219715620934984,5.702389466812293,5.702389466812293,1.7408852917026718,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus16,-16.0,1825 days,10,0.5312500000000001,8.659643233600649,8.659643233600649,2.1586735246819173,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus16,-16.0,3650 days,11,0.28762874945799766,26.59147948472495,26.59147948472495,3.2805908443510825,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus8,-8.0,1 hour,0,0.9924520494983667,1.0353707722403007,1.0353707722403007,0.03475959661543547,finite,1.0,64,64,day_counts,True,config:time_delay_format
