method,condition,signed_strength,t_delay,delay_idx,indifference_multiplier,plot_multiplier,log_indifference_multiplier,logistic_alpha,logistic_beta_log_multiplier,status,parsed_weight_fraction,n_factor_rows,n_valid_factor_rows,time_delay_format,day_count_delays,time_delay_format_source
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,1 hour,0,736.3950325599221,,6.6017667037630074,3.7546796618440235,-0.5687386165439405,negative_slope_incoherent_amount_effect,0.9375000000000002,64,62,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,8 hours,1,5402.803945896316,,8.594673347029186,1.5436132357589534,-0.1796011521825335,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,1 day,2,560.7859012645057,,6.3293391950058275,3.3672053791653997,-0.5319995145500018,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,2 days,3,34627.64415482678,,10.452407606056306,2.379365300757832,-0.22763801321517413,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,7 days,4,2.3813482977776237e+51,,118.29950658164383,1.8273563848212089,-0.015446863961009574,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,30 days,5,0.4516987147301337,1.0,-0.7947398817315738,0.5629191545026049,0.7083061608486546,left_censored_threshold_below_tested_range,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,90 days,6,5.715745320660428,5.715745320660428,1.7432247035572246,-0.7144840050027255,0.4098634005958895,finite,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,365 days,7,100.49792399266332,100.0,4.610137070496356,-1.8215952598478329,0.39512822113371754,right_censored_threshold_above_tested_range,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,730 days,8,485.82865457617453,100.0,6.185855999135224,-3.177207022431239,0.5136244721628517,right_censored_threshold_above_tested_range,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,1095 days,9,485.8286545761749,100.0,6.185855999135225,-3.1772070224312383,0.5136244721628515,right_censored_threshold_above_tested_range,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,1825 days,10,379.6091226716481,100.0,5.939142098774841,-2.147058837618833,0.3615099288602204,right_censored_threshold_above_tested_range,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus128,-128.0,3650 days,11,inf,100.0,,,,right_censored_all_now_in_tested_range,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,1 hour,0,0.7585293521399276,1.0,-0.2763737833286677,1.227267800817053,4.440608606343708,left_censored_threshold_below_tested_range,0.9687500000000001,64,63,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,8 hours,1,1.334282189099807,1.334282189099807,0.28839346117966175,-0.9437397844043369,3.272403543908408,finite,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,1 day,2,1.0191971359495533e+119,,274.02664126202666,2.7216694095350134,-0.009932134324605794,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,2 days,3,9169260.745603357,,16.03136722436391,3.4381118049685826,-0.21446154634543343,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,7 days,4,2.3024910612348336e+37,,86.02964004771962,2.7967131117420667,-0.03250871571926563,negative_slope_incoherent_amount_effect,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,30 days,5,1.4093827853494436,1.4093827853494436,0.3431518676666468,-1.7412854110263751,5.074387101159357,finite,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,90 days,6,2.812888862139748,2.812888862139748,1.0342120200673488,-1.16318147349267,1.1247031081856143,finite,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,365 days,7,5.567002847857529,5.567002847857529,1.7168568207617803,-1.457547085889682,0.8489625158392411,finite,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,730 days,8,21.66465911525075,21.66465911525075,3.0756823207154786,-1.5413861051411113,0.5011525718243057,finite,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,1095 days,9,8.931029478314226,8.931029478314226,2.189531671369712,-1.2381548091774106,0.5654884217330615,finite,1.0,64,64,day_counts,True,config:time_delay_format
weighted_logistic_multiscale_per_delay_column,steer_immediate_minus64,-64.0,1825 days,10,29.801328241591097,29.801328241591097,3.3945529643835357,-0.9734403422036277,0.2867654010460869,finite,1.0,64,64,day_counts,True,config:time_delay_format
