session,filler_turns,pathology,gold,condition,evidence_share,target_share,scale,pred,correct
0,21,Acute pulmonary edema,D,local,0.04275283769120416,,1.0,B,False
0,21,Acute pulmonary edema,D,back_20,0.010888621560277792,,1.0,B,False
0,21,Acute pulmonary edema,D,local_clamped,0.01089152446858251,0.010888621560277792,0.14045183996771032,B,False
0,21,Acute pulmonary edema,C,local,0.04563352670248732,,1.0,A,False
0,21,Acute pulmonary edema,C,back_20,0.0112114906720267,,1.0,A,False
0,21,Acute pulmonary edema,C,local_clamped,0.011161579846146815,0.0112114906720267,0.13441329461752805,A,False
0,21,Chronic rhinosinusitis,B,local,0.037984310708408985,,1.0,B,True
0,21,Chronic rhinosinusitis,B,back_20,0.011159994133336884,,1.0,B,True
0,21,Chronic rhinosinusitis,B,local_clamped,0.011059901700862957,0.011159994133336884,0.17368911360421682,B,True
0,21,URTI,E,local,0.03888370439074762,,1.0,E,True
0,21,URTI,E,back_20,0.009480025147894,,1.0,E,True
0,21,URTI,E,local_clamped,0.009453524081578152,0.009480025147894,0.1446275083208538,E,True
0,21,Influenza,D,local,0.04906515949173801,,1.0,A,False
0,21,Influenza,D,back_20,0.010834512136031703,,1.0,A,False
0,21,Influenza,D,local_clamped,0.010822198545105308,0.010834512136031703,0.1213137638466268,A,False
0,21,Acute dystonic reactions,C,local,0.0382915931904884,,1.0,C,True
0,21,Acute dystonic reactions,C,back_20,0.009731268154748928,,1.0,A,False
0,21,Acute dystonic reactions,C,local_clamped,0.00968882917881395,0.009731268154748928,0.1446275083208538,C,True
0,21,Unstable angina,B,local,0.03731880606072243,,1.0,A,False
0,21,Unstable angina,B,back_20,0.011203344967538807,,1.0,A,False
0,21,Unstable angina,B,local_clamped,0.011238879897724355,0.011203344967538807,0.20555713592330557,A,False
0,21,Pulmonary embolism,C,local,0.04475780219380731,,1.0,C,True
0,21,Pulmonary embolism,C,back_20,0.011318038052041459,,1.0,C,True
0,21,Pulmonary embolism,C,local_clamped,0.011268246408005467,0.011318038052041459,0.1363967310184996,C,True
0,28,Scombroid food poisoning,A,local,0.042091004835855796,,1.0,A,True
0,28,Scombroid food poisoning,A,back_20,0.008761655650294081,,1.0,A,True
0,28,Scombroid food poisoning,A,local_clamped,0.008666367200308889,0.008761655650294081,0.09596708604499847,A,True
0,28,Chronic rhinosinusitis,B,local,0.03964072148103936,,1.0,B,True
0,28,Chronic rhinosinusitis,B,back_20,0.009720546382654875,,1.0,B,True
0,28,Chronic rhinosinusitis,B,local_clamped,0.009675229408151496,0.009720546382654875,0.1213137638466268,B,True
0,28,Myocarditis,C,local,0.034930370610507196,,1.0,E,False
0,28,Myocarditis,C,back_20,0.00787779493870817,,1.0,E,False
0,28,Myocarditis,C,local_clamped,0.007878165539443609,0.00787779493870817,0.14045183996771032,E,False
0,28,Possible NSTEMI / STEMI,A,local,0.03853967376200781,,1.0,A,True
0,28,Possible NSTEMI / STEMI,A,back_20,0.009278647560728626,,1.0,A,True
0,28,Possible NSTEMI / STEMI,A,local_clamped,0.009009459954122556,0.009278647560728626,0.13245870069633822,A,True
0,28,Bronchiectasis,D,local,0.03583382825920873,,1.0,B,False
0,28,Bronchiectasis,D,back_20,0.0077878705630115815,,1.0,B,False
0,28,Bronchiectasis,D,local_clamped,0.007749285865902518,0.0077878705630115815,0.13245870069633822,B,False
0,28,Anaphylaxis,A,local,0.04381821824706228,,1.0,A,True
0,28,Anaphylaxis,A,back_20,0.009013019013160118,,1.0,A,True
0,28,Anaphylaxis,A,local_clamped,0.009106084717904517,0.009013019013160118,0.09882021153081356,A,True
0,28,Pericarditis,D,local,0.04325025872317761,,1.0,D,True
0,28,Pericarditis,D,back_20,0.011819161704047598,,1.0,D,True
0,28,Pericarditis,D,local_clamped,0.01174313455696641,0.011819161704047598,0.14892732033918138,A,False
0,28,HIV (initial infection),C,local,0.048536142117423076,,1.0,C,True
0,28,HIV (initial infection),C,back_20,0.011879896252241506,,1.0,C,True
0,28,HIV (initial infection),C,local_clamped,0.011796765991304308,0.011879896252241506,0.11440977590183832,C,True
0,35,PSVT,E,local,0.04023395413183413,,1.0,C,False
0,35,PSVT,E,back_20,0.008383737332195924,,1.0,B,False
0,35,PSVT,E,local_clamped,0.008454702240470258,0.008383737332195924,0.11781120717275206,B,False
0,35,Bronchospasm / acute asthma exacerbation,C,local,0.03313193184522111,,1.0,C,True
0,35,Bronchospasm / acute asthma exacerbation,C,back_20,0.0077156649129709225,,1.0,C,True
0,35,Bronchospasm / acute asthma exacerbation,C,local_clamped,0.007661121927072836,0.0077156649129709225,0.11440977590183832,C,True
0,35,Chronic rhinosinusitis,A,local,0.035728236172713555,,1.0,A,True
0,35,Chronic rhinosinusitis,A,back_20,0.010476768166428058,,1.0,A,True
0,35,Chronic rhinosinusitis,A,local_clamped,0.010431940637218974,0.010476768166428058,0.19385884264329528,A,True
0,35,URTI,D,local,0.03400086139472021,,1.0,D,True
0,35,URTI,D,back_20,0.007390232020881507,,1.0,A,False
0,35,URTI,D,local_clamped,0.0075069524636184465,0.007390232020881507,0.13441329461752805,A,False
0,35,Pericarditis,C,local,0.03686889889035777,,1.0,C,True
0,35,Pericarditis,C,back_20,0.008588639489414091,,1.0,A,False
0,35,Pericarditis,C,local_clamped,0.00852741701421795,0.008588639489414091,0.1286343687209221,A,False
0,35,Anemia,B,local,0.04816400374438713,,1.0,E,False
0,35,Anemia,B,back_20,0.009811211464032557,,1.0,E,False
0,35,Anemia,B,local_clamped,0.009798602345026611,0.009811211464032557,0.07055468560567407,E,False
0,35,Atrial fibrillation,C,local,0.03368071090851361,,1.0,C,True
0,35,Atrial fibrillation,C,back_20,0.006543202797345798,,1.0,C,True
0,35,Atrial fibrillation,C,local_clamped,0.006638849579845265,0.006543202797345798,0.0759162135601666,C,True
0,35,Pulmonary embolism,E,local,0.03472771887666411,,1.0,E,True
0,35,Pulmonary embolism,E,back_20,0.008636219285860166,,1.0,E,True
0,35,Pulmonary embolism,E,local_clamped,0.00854756392669828,0.008636219285860166,0.12492045240700124,C,False
0,42,Anemia,A,local,0.04530622405257721,,1.0,A,True
0,42,Anemia,A,back_20,0.011413290708773073,,1.0,A,True
0,42,Anemia,A,local_clamped,0.011357061843459401,0.011413290708773073,0.13053252983707558,A,True
0,42,Myasthenia gravis,E,local,0.03400986307771766,,1.0,E,True
0,42,Myasthenia gravis,E,back_20,0.006133494278735829,,1.0,E,True
0,42,Myasthenia gravis,E,local_clamped,0.006122044788425055,0.006133494278735829,0.09050558205614526,E,True
0,42,URTI,A,local,0.03925977342330727,,1.0,A,True
0,42,URTI,A,back_20,0.009471198185081775,,1.0,A,True
0,42,URTI,A,local_clamped,0.009519917205817918,0.009471198185081775,0.11440977590183832,A,True
0,42,Inguinal hernia,C,local,0.04505356770372775,,1.0,C,True
0,42,Inguinal hernia,C,back_20,0.008297856949166932,,1.0,D,False
0,42,Inguinal hernia,C,local_clamped,0.008259361368874183,0.008297856949166932,0.08049733103113403,B,False
0,42,Pneumonia,D,local,0.04648640429595641,,1.0,D,True
