evidence_share,question_share,evidence_tokens,session,arm,distance,filler_turns,context_fill,ctx_tokens,pathology,gold,pred,correct,mean_entropy,parsed,response
0.04282721894560382,0.10624560146243311,374,0,local,0,21,0.5002,2049,Acute pulmonary edema,D,,False,,False,
0.03775113757001236,0.11961194988543866,374,0,back_2,2,21,0.5002,2049,Acute pulmonary edema,D,,False,,False,
0.031722460815217346,0.11379453177869436,374,0,back_5,5,21,0.5002,2049,Acute pulmonary edema,D,,False,,False,
0.02067791769241012,0.10960648826949182,374,0,back_10,10,21,0.5002,2049,Acute pulmonary edema,D,,False,,False,
0.016560525957174832,0.11828543857700424,374,0,back_20,20,21,0.5002,2049,Acute pulmonary edema,D,,False,,False,
0.05112198379356414,0.10079040135315154,374,0,local,0,21,0.4993,2045,Acute pulmonary edema,C,,False,,False,
0.05244701822812203,0.10602828199625947,374,0,back_2,2,21,0.4993,2045,Acute pulmonary edema,C,,False,,False,
0.045750450542982435,0.10444690577787696,374,0,back_5,5,21,0.4993,2045,Acute pulmonary edema,C,,False,,False,
0.028720014523514692,0.1032739850852522,374,0,back_10,10,21,0.4993,2045,Acute pulmonary edema,C,,False,,False,
0.024266100631393783,0.1140080438417499,374,0,back_20,20,21,0.4993,2045,Acute pulmonary edema,C,,False,,False,
0.046113087111734785,0.10349342813060503,256,0,local,0,21,0.4717,1932,Chronic rhinosinusitis,B,,False,,False,
0.04480053982115351,0.10999807006010087,256,0,back_2,2,21,0.4717,1932,Chronic rhinosinusitis,B,,False,,False,
0.03586609601188684,0.11293826644396177,256,0,back_5,5,21,0.4717,1932,Chronic rhinosinusitis,B,,False,,False,
0.0249727216928477,0.11763761624752078,256,0,back_10,10,21,0.4717,1932,Chronic rhinosinusitis,B,,False,,False,
0.0168567062519287,0.12059820731519721,256,0,back_20,20,21,0.4717,1932,Chronic rhinosinusitis,B,,False,,False,
0.039684415503870696,0.12286455935100093,199,0,local,0,21,0.4553,1865,URTI,E,,False,,False,
0.04009710425452795,0.11646262765862048,199,0,back_2,2,21,0.4553,1865,URTI,E,,False,,False,
0.03692438247708196,0.11990360882191453,199,0,back_5,5,21,0.4553,1865,URTI,E,,False,,False,
0.029124910891823674,0.11958495050203055,199,0,back_10,10,21,0.4553,1865,URTI,E,,False,,False,
0.014293941984917069,0.13769526349642547,199,0,back_20,20,21,0.4553,1865,URTI,E,,False,,False,
0.052131754520814866,0.12837207373377169,381,0,local,0,21,0.4998,2047,Influenza,D,,False,,False,
0.04959698018501513,0.11663941778897424,381,0,back_2,2,21,0.4998,2047,Influenza,D,,False,,False,
0.042635736281226855,0.11581663323522662,381,0,back_5,5,21,0.4998,2047,Influenza,D,,False,,False,
0.025991679174694582,0.11858565466536675,381,0,back_10,10,21,0.4998,2047,Influenza,D,,False,,False,
0.021782917001473834,0.12259880822239211,381,0,back_20,20,21,0.4998,2047,Influenza,D,,False,,False,
0.043979388545267284,0.09807960516263847,225,0,local,0,21,0.4644,1902,Acute dystonic reactions,C,,False,,False,
0.0343249328143429,0.12221810784103582,225,0,back_2,2,21,0.4644,1902,Acute dystonic reactions,C,,False,,False,
0.033183293795445934,0.1302442055020947,225,0,back_5,5,21,0.4644,1902,Acute dystonic reactions,C,,False,,False,
0.02244811136279168,0.1292849329620367,225,0,back_10,10,21,0.4644,1902,Acute dystonic reactions,C,,False,,False,
0.013695447951249662,0.13818819120933767,225,0,back_20,20,21,0.4644,1902,Acute dystonic reactions,C,,False,,False,
0.0447141217882745,0.1349136323260609,340,0,local,0,21,0.491,2011,Unstable angina,B,,False,,False,
0.03629595880920533,0.14738453859172296,340,0,back_2,2,21,0.491,2011,Unstable angina,B,,False,,False,
0.030867216701153666,0.14388558368227677,340,0,back_5,5,21,0.491,2011,Unstable angina,B,,False,,False,
0.02199776645647944,0.14681649574777111,340,0,back_10,10,21,0.491,2011,Unstable angina,B,,False,,False,
0.015928052524031955,0.1519296778133139,340,0,back_20,20,21,0.491,2011,Unstable angina,B,,False,,False,
0.03937905566999689,0.09402704895910574,283,0,local,0,21,0.478,1958,Pulmonary embolism,C,,False,,False,
0.03384025502600707,0.0948975715546112,283,0,back_2,2,21,0.478,1958,Pulmonary embolism,C,,False,,False,
