method,condition,signed_strength,t_delay,delay_idx,area_choose_later,indifference_multiplier,plot_multiplier,log_indifference_multiplier,status,parsed_weight_fraction,n_parsed_cells,n_unparsed_cells
area_equivalent,steer_immediate_minus128,-128.0,1 hour,0,0.7500000000000001,3.162277660168378,3.162277660168378,1.1512925464970225,finite,1.0,8,0
area_equivalent,steer_immediate_minus128,-128.0,8 hours,1,0.7500000000000001,3.162277660168378,3.162277660168378,1.1512925464970225,finite,1.0,8,0
area_equivalent,steer_immediate_minus128,-128.0,tomorrow,2,0.9456290139465234,1.284523257866513,1.284523257866513,0.25038764395624463,finite,1.0,8,0
area_equivalent,steer_immediate_minus128,-128.0,week,3,0.7500000000000001,3.162277660168378,3.162277660168378,1.1512925464970225,finite,1.0,8,0
area_equivalent,steer_immediate_minus128,-128.0,month,4,0.5752574989159953,7.071067811865476,7.071067811865476,1.9560115027140732,finite,1.0,8,0
area_equivalent,steer_immediate_minus128,-128.0,year,5,0.42474250108400474,14.142135623730955,14.142135623730955,2.6491586832740186,finite,1.0,8,0
area_equivalent,steer_immediate_minus128,-128.0,2 years,6,0.7500000000000001,3.162277660168378,3.162277660168378,1.1512925464970225,finite,1.0,8,0
area_equivalent,steer_immediate_minus128,-128.0,3 years,7,0.42474250108400474,14.142135623730955,14.142135623730955,2.6491586832740186,finite,1.0,8,0
area_equivalent,steer_immediate_minus128,-128.0,5 years,8,0.42474250108400474,14.142135623730955,14.142135623730955,2.6491586832740186,finite,1.0,8,0
area_equivalent,steer_immediate_minus128,-128.0,10 years,9,0.0,100.00000000000004,100.0,4.605170185988092,right_censored_all_now_in_tested_range,1.0,8,0
area_equivalent,steer_immediate_minus64,-64.0,1 hour,0,0.7500000000000001,3.162277660168378,3.162277660168378,1.1512925464970225,finite,1.0,8,0
area_equivalent,steer_immediate_minus64,-64.0,8 hours,1,0.7500000000000001,3.162277660168378,3.162277660168378,1.1512925464970225,finite,1.0,8,0
area_equivalent,steer_immediate_minus64,-64.0,tomorrow,2,0.9456290139465234,1.284523257866513,1.284523257866513,0.25038764395624463,finite,1.0,8,0
area_equivalent,steer_immediate_minus64,-64.0,week,3,0.5752574989159953,7.071067811865476,7.071067811865476,1.9560115027140732,finite,1.0,8,0
area_equivalent,steer_immediate_minus64,-64.0,month,4,0.6950834132712171,4.072238199292498,4.072238199292498,1.404192774416643,finite,1.0,8,0
area_equivalent,steer_immediate_minus64,-64.0,year,5,0.5752574989159953,7.071067811865476,7.071067811865476,1.9560115027140732,finite,1.0,8,0
area_equivalent,steer_immediate_minus64,-64.0,2 years,6,0.7500000000000001,3.162277660168378,3.162277660168378,1.1512925464970225,finite,1.0,8,0
area_equivalent,steer_immediate_minus64,-64.0,3 years,7,0.7500000000000001,3.162277660168378,3.162277660168378,1.1512925464970225,finite,1.0,8,0
area_equivalent,steer_immediate_minus64,-64.0,5 years,8,0.7500000000000001,3.162277660168378,3.162277660168378,1.1512925464970225,finite,1.0,8,0
area_equivalent,steer_immediate_minus64,-64.0,10 years,9,0.0,100.00000000000004,100.0,4.605170185988092,right_censored_all_now_in_tested_range,1.0,8,0
area_equivalent,steer_immediate_minus32,-32.0,1 hour,0,0.7500000000000001,3.162277660168378,3.162277660168378,1.1512925464970225,finite,1.0,8,0
area_equivalent,steer_immediate_minus32,-32.0,8 hours,1,0.7500000000000001,3.162277660168378,3.162277660168378,1.1512925464970225,finite,1.0,8,0
area_equivalent,steer_immediate_minus32,-32.0,tomorrow,2,0.9456290139465234,1.284523257866513,1.284523257866513,0.25038764395624463,finite,1.0,8,0
