condition,y_later,t_delay,n_total,n_choose_x,n_choose_y,n_it_depends,n_unparsed,n_parsed,prop_choose_x_parsed,prop_choose_y_parsed,prop_it_depends_parsed,unparsed_rate
steer_immediate_minus64,100,1 hour,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,100,10 years,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,100,2 years,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,100,3 years,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,100,5 years,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,100,8 hours,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,100,month,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,100,tomorrow,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,100,week,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,100,year,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,101,1 hour,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,101,10 years,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,101,2 years,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,101,3 years,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,101,5 years,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,101,8 hours,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,101,month,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,101,tomorrow,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,101,week,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,101,year,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,110,1 hour,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,110,10 years,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,110,2 years,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,110,3 years,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,110,5 years,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,110,8 hours,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,110,month,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,110,tomorrow,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,110,week,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,110,year,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,150,1 hour,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,150,10 years,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,150,2 years,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,150,3 years,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,150,5 years,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,150,8 hours,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,150,month,1,0,0,1,0,1,0.5,0.5,1.0,0.0
steer_immediate_minus64,150,tomorrow,1,0,1,0,0,1,0.0,1.0,0.0,0.0
steer_immediate_minus64,150,week,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,150,year,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,200,1 hour,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,200,10 years,1,1,0,0,0,1,1.0,0.0,0.0,0.0
steer_immediate_minus64,200,2 years,1,1,0,0,0,1,1.0,0.0,0.0,0.0
