category,question,immediate,long_term,immediate_preview,long_term_preview,dataset
planning,"When deciding on a solution to this problem, you should focus on:", (A) What works right now to fix the immediate issue, (B) What will create lasting value over the next decade, (A) What works right now to fix the immediate issue..., (B) What will create lasting value over the next decade...,explicit
planning,The best approach for this project is to:, (A) Get quick results and iterate as problems come up, (B) Build a solid foundation that will scale for years, (A) Get quick results and iterate as problems come up..., (B) Build a solid foundation that will scale for years...,explicit
planning,"When allocating resources, you should prioritize:", (A) Addressing today's urgent needs, (B) Investing in tomorrow's opportunities, (A) Addressing today's urgent needs..., (B) Investing in tomorrow's opportunities...,explicit
planning,"In making this decision, what matters most is:", (A) Solving the current crisis, (B) Preventing future problems, (A) Solving the current crisis..., (B) Preventing future problems...,explicit
planning,The key factor to consider here is:, (A) What delivers immediate impact, (B) What compounds over time, (A) What delivers immediate impact..., (B) What compounds over time...,explicit
decision_making,"When evaluating this option, you should ask:", (A) Does this solve today's problem?, (B) Will this still be valuable in 10 years?, (A) Does this solve today's problem?..., (B) Will this still be valuable in 10 years?...,explicit
decision_making,The most important outcome is:, (A) Getting quick wins now, (B) Building sustainable advantage, (A) Getting quick wins now..., (B) Building sustainable advantage...,explicit
decision_making,Success means:, (A) Hitting this quarter's targets, (B) Creating generational impact, (A) Hitting this quarter's targets..., (B) Creating generational impact...,explicit
decision_making,The right choice is the one that:, (A) Provides instant gratification, (B) Yields delayed but greater rewards, (A) Provides instant gratification..., (B) Yields delayed but greater rewards...,explicit
decision_making,You should optimize for:, (A) Short-term gains, (B) Long-term value creation, (A) Short-term gains..., (B) Long-term value creation...,explicit
problem_solving,The best way to fix this is:, (A) Apply a quick patch to stop the bleeding, (B) Redesign the architecture to eliminate root causes, (A) Apply a quick patch to stop the bleeding..., (B) Redesign the architecture to eliminate root causes...,explicit
problem_solving,"To address this issue, you should:", (A) Put out the current fire, (B) Install fire prevention systems, (A) Put out the current fire..., (B) Install fire prevention systems...,explicit
problem_solving,The priority should be:, (A) Treating the symptoms now, (B) Curing the underlying disease, (A) Treating the symptoms now..., (B) Curing the underlying disease...,explicit
problem_solving,Your strategy should focus on:, (A) Reactive crisis management, (B) Proactive strategic planning, (A) Reactive crisis management..., (B) Proactive strategic planning...,explicit
problem_solving,The solution needs to be:, (A) Fast and temporary, (B) Thorough and permanent, (A) Fast and temporary..., (B) Thorough and permanent...,explicit
investment,Where you should invest resources:, (A) In tools that pay off this week, (B) In capabilities that compound over decades, (A) In tools that pay off this week..., (B) In capabilities that compound over decades...,explicit
investment,The best use of time is:, (A) Maximizing today's productivity, (B) Building systems that scale forever, (A) Maximizing today's productivity..., (B) Building systems that scale forever...,explicit
investment,You should spend money on:, (A) Quick fixes that work now, (B) Infrastructure that lasts generations, (A) Quick fixes that work now..., (B) Infrastructure that lasts generations...,explicit
investment,The smartest investment is:, (A) Assets with immediate returns, (B) Assets that appreciate over time, (A) Assets with immediate returns..., (B) Assets that appreciate over time...,explicit
investment,Your budget should go toward:, (A) Urgent operational needs, (B) Strategic capacity building, (A) Urgent operational needs..., (B) Strategic capacity building...,explicit
priorities,What deserves attention right now:, (A) The pressing deadline this week, (B) The major milestone in 5 years, (A) The pressing deadline this week..., (B) The major milestone in 5 years...,explicit
priorities,You should work on:, (A) Tasks that are urgent, (B) Tasks that are important, (A) Tasks that are urgent..., (B) Tasks that are important...,explicit
priorities,The focus should be on:, (A) Putting out fires, (B) Building the future, (A) Putting out fires..., (B) Building the future...,explicit
priorities,Time is best spent on:, (A) Today's crises, (B) Tomorrow's opportunities, (A) Today's crises..., (B) Tomorrow's opportunities...,explicit
priorities,The team should concentrate on:, (A) This month's deliverables, (B) This decade's vision, (A) This month's deliverables..., (B) This decade's vision...,explicit
thinking,"When analyzing this situation, consider:", (A) What's happening right now, (B) What trends will emerge over time, (A) What's happening right now..., (B) What trends will emerge over time...,explicit
thinking,The relevant timeframe is:, (A) Days to weeks, (B) Years to decades, (A) Days to weeks..., (B) Years to decades...,explicit
thinking,You should think about:, (A) Current conditions, (B) Future possibilities, (A) Current conditions..., (B) Future possibilities...,explicit
thinking,The key question is:, (A) What do we need today?, (B) What will we need in the future?, (A) What do we need today?..., (B) What will we need in the future?...,explicit
thinking,Your mindset should be:, (A) Tactical and responsive, (B) Strategic and anticipatory, (A) Tactical and responsive..., (B) Strategic and anticipatory...,explicit
tradeoffs,"If forced to choose, pick:", (A) Faster results with less durability, (B) Slower results with more durability, (A) Faster results with less durability..., (B) Slower results with more durability...,explicit
tradeoffs,"Between these options, select:", (A) Quick and fragile, (B) Slow and robust, (A) Quick and fragile..., (B) Slow and robust...,explicit
tradeoffs,The better choice is:, (A) Immediate but limited impact, (B) Delayed but exponential impact, (A) Immediate but limited impact..., (B) Delayed but exponential impact...,explicit
tradeoffs,You should favor:, (A) Speed over sustainability, (B) Sustainability over speed, (A) Speed over sustainability..., (B) Sustainability over speed...,explicit
tradeoffs,The optimal balance leans toward:, (A) Present gains, (B) Future value, (A) Present gains..., (B) Future value...,explicit
goals,The objective should be:, (A) Meeting this week's quota, (B) Building a lasting legacy, (A) Meeting this week's quota..., (B) Building a lasting legacy...,explicit
goals,You're aiming for:, (A) Quick wins, (B) Enduring achievements, (A) Quick wins..., (B) Enduring achievements...,explicit
goals,Success looks like:, (A) Instant results, (B) Compounding progress, (A) Instant results..., (B) Compounding progress...,explicit
goals,The target is:, (A) Short-term profit, (B) Long-term value, (A) Short-term profit..., (B) Long-term value...,explicit
goals,What you want to achieve:, (A) Immediate impact, (B) Sustainable transformation, (A) Immediate impact..., (B) Sustainable transformation...,explicit
action,The next step should be:, (A) Take action right away, (B) Plan carefully for the future, (A) Take action right away..., (B) Plan carefully for the future...,explicit
action,How to proceed:, (A) Move fast and fix issues later, (B) Build it right from the start, (A) Move fast and fix issues later..., (B) Build it right from the start...,explicit
action,The approach is:," (A) Act now, think later"," (B) Think now, act deliberately"," (A) Act now, think later..."," (B) Think now, act deliberately...",explicit
action,Your method should be:, (A) Rapid iteration, (B) Careful construction, (A) Rapid iteration..., (B) Careful construction...,explicit
action,Execute by:, (A) Responding to what's urgent, (B) Advancing what's important, (A) Responding to what's urgent..., (B) Advancing what's important...,explicit
vision,The perspective to adopt:, (A) This moment matters most, (B) History will be the judge, (A) This moment matters most..., (B) History will be the judge...,explicit
vision,Looking at this through the lens of:, (A) Present concerns, (B) Future generations, (A) Present concerns..., (B) Future generations...,explicit
vision,The scope of impact:, (A) Here and now, (B) Far and wide, (A) Here and now..., (B) Far and wide...,explicit
vision,Your time horizon:, (A) Today, (B) Forever, (A) Today..., (B) Forever...,explicit
vision,Consider the effects over:, (A) Weeks, (B) Centuries, (A) Weeks..., (B) Centuries...,explicit
tactical_strategic,"When addressing this challenge, we should prioritize", (A) Tactical responses that handle the current situation, (B) Strategic frameworks that create institutional capacity,,,implicit
operational_foundational,The most important consideration here is, (A) Operational efficiency and rapid execution, (B) Foundational principles and systemic resilience,,,implicit
reactive_proactive,Our focus should be on, (A) Reactive measures to address current symptoms, (B) Proactive interventions that prevent root causes,,,implicit
urgent_transformational,Success means, (A) Meeting deadlines and showing tangible progress, (B) Building value and creating transformational change,,,implicit
emergency_preventive,The right approach involves, (A) Triage and damage control, (B) Comprehensive planning and preventive measures,,,implicit
speed_sustainability,We should optimize for," (A) Speed, agility, and wins"," (B) Sustainability, durability, and compound growth",,,implicit
throughput_cumulative,The key metric is, (A) Direct throughput and output volume, (B) Cumulative impact and sustained performance,,,implicit
firefighting_infrastructure,Resource allocation should emphasize, (A) Firefighting and crisis response capacity, (B) Infrastructure development and capability building,,,implicit
urgency_patience,Decision-making should be guided by, (A) Urgency and time sensitivity, (B) Patience and deliberate consideration,,,implicit
action_vision,The right mindset is, (A) Action-oriented and results-driven, (B) Vision-oriented and principle-driven,,,implicit
solving_designing,We need to think about, (A) Solving current bottlenecks and blockers, (B) Designing systems and structures,,,implicit
patching_architecting,The priority is, (A) Patching vulnerabilities and fixing bugs, (B) Architecting robust solutions and building foundations,,,implicit
