dataset,probe_variant,condition,layer,strength,signed_strength,raw_vector_norm,steering_vector_norm,baseline_prop_choose_long_term,baseline_prop_choose_immediate,baseline_prop_choose_long_term_no_fallback,baseline_prop_choose_immediate_no_fallback,delta_long_term_vs_baseline,delta_immediate_vs_baseline,delta_long_term_vs_baseline_no_fallback,delta_immediate_vs_baseline_no_fallback,steering_success,steering_success_no_fallback,n_prompts,n_no_fallback_prompts,prop_choose_long_term,prop_choose_immediate,prop_choose_long_term_no_fallback,prop_choose_immediate_no_fallback,fallback_rate,direct_parse_rate
explicit_train,baseline,baseline,-1,0.0,0.0,,,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.0,0.0,0.0,0.0,,,400,383,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.0425,0.9575
explicit_test,baseline,baseline,-1,0.0,0.0,,,0.66,0.34,0.6701030927835051,0.32989690721649484,0.0,0.0,0.0,0.0,,,100,97,0.66,0.34,0.6701030927835051,0.32989690721649484,0.03,0.97
implicit_full,baseline,baseline,-1,0.0,0.0,,,0.43666666666666665,0.5633333333333334,0.4955357142857143,0.5044642857142857,0.0,0.0,0.0,0.0,,,300,224,0.43666666666666665,0.5633333333333334,0.4955357142857143,0.5044642857142857,0.25333333333333335,0.7466666666666667
explicit_train,wmm,steer_long_term,8,0.0,0.0,0.9383496642112732,1.0,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.0,0.0,0.0,0.0,0.6525,0.660574412532637,400,383,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.0425,0.9575
explicit_train,wmm,steer_immediate,8,0.0,-0.0,0.9383496642112732,1.0,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.0,0.0,0.0,0.0,0.3475,0.3394255874673629,400,383,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.0425,0.9575
explicit_train,wmm,steer_long_term,8,2.0,2.0,0.9383496642112732,1.0,0.6525,0.3475,0.660574412532637,0.3394255874673629,-0.0024999999999999467,0.0025000000000000022,-0.0017202458659704156,0.0017202458659704156,0.65,0.6588541666666666,400,384,0.65,0.35,0.6588541666666666,0.3411458333333333,0.04,0.96
explicit_train,wmm,steer_immediate,8,2.0,-2.0,0.9383496642112732,1.0,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.0050000000000000044,-0.004999999999999949,0.006092254134029584,-0.006092254134029584,0.3425,0.3333333333333333,400,381,0.6575,0.3425,0.6666666666666666,0.3333333333333333,0.0475,0.9525
explicit_train,wmm,steer_long_term,8,8.0,8.0,0.9383496642112732,1.0,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.007500000000000062,-0.007499999999999951,0.005221932114882533,-0.005221932114882477,0.66,0.6657963446475196,400,383,0.66,0.34,0.6657963446475196,0.3342036553524804,0.0425,0.9575
explicit_train,wmm,steer_immediate,8,8.0,-8.0,0.9383496642112732,1.0,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.012500000000000067,-0.012499999999999956,0.00958265553019022,-0.00958265553019011,0.335,0.3298429319371728,400,382,0.665,0.335,0.6701570680628273,0.3298429319371728,0.045,0.955
explicit_train,wmm,steer_long_term,24,0.0,0.0,0.4046155512332916,1.0,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.0,0.0,0.0,0.0,0.6525,0.660574412532637,400,383,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.0425,0.9575
explicit_train,wmm,steer_immediate,24,0.0,-0.0,0.4046155512332916,1.0,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.0,0.0,0.0,0.0,0.3475,0.3394255874673629,400,383,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.0425,0.9575
explicit_train,wmm,steer_long_term,24,2.0,2.0,0.4046155512332916,1.0,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.0025000000000000577,-0.0025000000000000022,0.0034675822180191274,-0.003467582218019072,0.655,0.6640419947506562,400,381,0.655,0.345,0.6640419947506562,0.3359580052493438,0.0475,0.9525
explicit_train,wmm,steer_immediate,24,2.0,-2.0,0.4046155512332916,1.0,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.0,0.0,-0.0034315553897799056,0.003431555389779961,0.3475,0.34285714285714286,400,385,0.6525,0.3475,0.6571428571428571,0.34285714285714286,0.0375,0.9625
explicit_train,wmm,steer_long_term,24,8.0,8.0,0.4046155512332916,1.0,0.6525,0.3475,0.660574412532637,0.3394255874673629,-0.007499999999999951,0.007500000000000007,-0.007031105446022923,0.007031105446022923,0.645,0.6535433070866141,400,381,0.645,0.355,0.6535433070866141,0.3464566929133858,0.0475,0.9525
explicit_train,wmm,steer_immediate,24,8.0,-8.0,0.4046155512332916,1.0,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.015000000000000013,-0.014999999999999958,0.01126021279036038,-0.011260212790360324,0.3325,0.3281653746770026,400,387,0.6675,0.3325,0.6718346253229974,0.3281653746770026,0.0325,0.9675
explicit_train,wmm,steer_long_term,40,0.0,0.0,0.16246330738067627,1.0,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.0,0.0,0.0,0.0,0.6525,0.660574412532637,400,383,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.0425,0.9575
explicit_train,wmm,steer_immediate,40,0.0,-0.0,0.16246330738067627,1.0,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.0,0.0,0.0,0.0,0.3475,0.3394255874673629,400,383,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.0425,0.9575
explicit_train,wmm,steer_long_term,40,2.0,2.0,0.16246330738067627,1.0,0.6525,0.3475,0.660574412532637,0.3394255874673629,-0.0024999999999999467,0.0025000000000000022,-0.0008885486582914659,0.0008885486582915769,0.65,0.6596858638743456,400,382,0.65,0.35,0.6596858638743456,0.3403141361256545,0.045,0.955
explicit_train,wmm,steer_immediate,40,2.0,-2.0,0.16246330738067627,1.0,0.6525,0.3475,0.660574412532637,0.3394255874673629,-0.0024999999999999467,0.0025000000000000022,-0.0008885486582914659,0.0008885486582915769,0.35,0.3403141361256545,400,382,0.65,0.35,0.6596858638743456,0.3403141361256545,0.045,0.955
explicit_train,wmm,steer_long_term,40,8.0,8.0,0.16246330738067627,1.0,0.6525,0.3475,0.660574412532637,0.3394255874673629,0.0025000000000000577,-0.0025000000000000022,0.0034675822180191274,-0.003467582218019072,0.655,0.6640419947506562,400,381,0.655,0.345,0.6640419947506562,0.3359580052493438,0.0475,0.9525
