dataset,probe_variant,condition,layer,strength,signed_strength,raw_vector_norm,steering_vector_norm,baseline_prop_choose_long_term,baseline_prop_choose_immediate,baseline_prop_choose_long_term_no_fallback,baseline_prop_choose_immediate_no_fallback,delta_long_term_vs_baseline,delta_immediate_vs_baseline,delta_long_term_vs_baseline_no_fallback,delta_immediate_vs_baseline_no_fallback,steering_success,steering_success_no_fallback,n_prompts,n_no_fallback_prompts,prop_choose_long_term,prop_choose_immediate,prop_choose_long_term_no_fallback,prop_choose_immediate_no_fallback,fallback_rate,direct_parse_rate
explicit_train,baseline,baseline,-1,0.0,0.0,,,0.75,0.25,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_test,baseline,baseline,-1,0.0,0.0,,,0.625,0.375,0.625,0.375,0.0,0.0,0.0,0.0,,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
implicit_full,baseline,baseline,-1,0.0,0.0,,,0.65,0.35,0.7222222222222222,0.2777777777777778,0.0,0.0,0.0,0.0,,,20,18,0.65,0.35,0.7222222222222222,0.2777777777777778,0.1,0.9
explicit_train,mm,steer_long_term,0,0.0,0.0,5.891683578491211,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,0,0.0,-0.0,5.891683578491211,1.0,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,0,1.0,1.0,5.891683578491211,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,0,1.0,-1.0,5.891683578491211,1.0,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,0,2.0,2.0,5.891683578491211,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,0,2.0,-2.0,5.891683578491211,1.0,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,0,4.0,4.0,5.891683578491211,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,0,4.0,-4.0,5.891683578491211,1.0,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,0,8.0,8.0,5.891683578491211,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,0,8.0,-8.0,5.891683578491211,1.0,0.75,0.25,,,0.125,-0.125,,,0.125,,8,8,0.875,0.125,0.875,0.125,0.0,1.0
explicit_train,mm,steer_long_term,12,0.0,0.0,21.62215232849121,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,12,0.0,-0.0,21.62215232849121,1.0,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,12,1.0,1.0,21.62215232849121,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,12,1.0,-1.0,21.62215232849121,1.0,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,12,2.0,2.0,21.62215232849121,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,12,2.0,-2.0,21.62215232849121,1.0,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,12,4.0,4.0,21.62215232849121,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,12,4.0,-4.0,21.62215232849121,1.0,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,12,8.0,8.0,21.62215232849121,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,12,8.0,-8.0,21.62215232849121,1.0,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,24,0.0,0.0,31.519142150878906,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,24,0.0,-0.0,31.519142150878906,1.0,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,24,1.0,1.0,31.519142150878906,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,24,1.0,-1.0,31.519142150878906,1.0,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,24,2.0,2.0,31.519142150878906,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,24,2.0,-2.0,31.519142150878906,1.0,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,24,4.0,4.0,31.519142150878906,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,24,4.0,-4.0,31.519142150878906,1.0,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,24,8.0,8.0,31.519142150878906,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,24,8.0,-8.0,31.519142150878906,1.0,0.75,0.25,,,0.0,0.0,,,0.25,,8,6,0.75,0.25,1.0,0.0,0.25,0.75
explicit_train,mm,steer_long_term,36,0.0,0.0,63.567562103271484,0.9999999403953552,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,36,0.0,-0.0,63.567562103271484,0.9999999403953552,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,36,1.0,1.0,63.567562103271484,0.9999999403953552,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,36,1.0,-1.0,63.567562103271484,0.9999999403953552,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,36,2.0,2.0,63.567562103271484,0.9999999403953552,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,36,2.0,-2.0,63.567562103271484,0.9999999403953552,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,36,4.0,4.0,63.567562103271484,0.9999999403953552,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,36,4.0,-4.0,63.567562103271484,0.9999999403953552,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,36,8.0,8.0,63.567562103271484,0.9999999403953552,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,36,8.0,-8.0,63.567562103271484,0.9999999403953552,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,47,0.0,0.0,37.94729232788086,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,47,0.0,-0.0,37.94729232788086,1.0,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,47,1.0,1.0,37.94729232788086,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,47,1.0,-1.0,37.94729232788086,1.0,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,47,2.0,2.0,37.94729232788086,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,47,2.0,-2.0,37.94729232788086,1.0,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,47,4.0,4.0,37.94729232788086,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,47,4.0,-4.0,37.94729232788086,1.0,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_long_term,47,8.0,8.0,37.94729232788086,1.0,0.75,0.25,,,0.0,0.0,,,0.75,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_train,mm,steer_immediate,47,8.0,-8.0,37.94729232788086,1.0,0.75,0.25,,,0.0,0.0,,,0.25,,8,7,0.75,0.25,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_test,mm,steer_long_term,0,0.0,0.0,5.891683578491211,1.0,0.625,0.375,,,0.0,0.0,,,0.625,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_immediate,0,0.0,-0.0,5.891683578491211,1.0,0.625,0.375,,,0.0,0.0,,,0.375,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_long_term,0,1.0,1.0,5.891683578491211,1.0,0.625,0.375,,,0.0,0.0,,,0.625,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_immediate,0,1.0,-1.0,5.891683578491211,1.0,0.625,0.375,,,0.0,0.0,,,0.375,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_long_term,0,2.0,2.0,5.891683578491211,1.0,0.625,0.375,,,0.125,-0.125,,,0.75,,8,7,0.75,0.25,0.7142857142857143,0.2857142857142857,0.125,0.875
explicit_test,mm,steer_immediate,0,2.0,-2.0,5.891683578491211,1.0,0.625,0.375,,,0.0,0.0,,,0.375,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_long_term,0,4.0,4.0,5.891683578491211,1.0,0.625,0.375,,,0.125,-0.125,,,0.75,,8,7,0.75,0.25,0.7142857142857143,0.2857142857142857,0.125,0.875
explicit_test,mm,steer_immediate,0,4.0,-4.0,5.891683578491211,1.0,0.625,0.375,,,0.25,-0.25,,,0.125,,8,7,0.875,0.125,0.8571428571428571,0.14285714285714285,0.125,0.875
explicit_test,mm,steer_long_term,0,8.0,8.0,5.891683578491211,1.0,0.625,0.375,,,0.125,-0.125,,,0.75,,8,6,0.75,0.25,0.6666666666666666,0.3333333333333333,0.25,0.75
explicit_test,mm,steer_immediate,0,8.0,-8.0,5.891683578491211,1.0,0.625,0.375,,,0.125,-0.125,,,0.25,,8,7,0.75,0.25,0.7142857142857143,0.2857142857142857,0.125,0.875
explicit_test,mm,steer_long_term,12,0.0,0.0,21.62215232849121,1.0,0.625,0.375,,,0.0,0.0,,,0.625,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_immediate,12,0.0,-0.0,21.62215232849121,1.0,0.625,0.375,,,0.0,0.0,,,0.375,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_long_term,12,1.0,1.0,21.62215232849121,1.0,0.625,0.375,,,0.0,0.0,,,0.625,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_immediate,12,1.0,-1.0,21.62215232849121,1.0,0.625,0.375,,,0.0,0.0,,,0.375,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_long_term,12,2.0,2.0,21.62215232849121,1.0,0.625,0.375,,,0.125,-0.125,,,0.75,,8,7,0.75,0.25,0.7142857142857143,0.2857142857142857,0.125,0.875
explicit_test,mm,steer_immediate,12,2.0,-2.0,21.62215232849121,1.0,0.625,0.375,,,0.0,0.0,,,0.375,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_long_term,12,4.0,4.0,21.62215232849121,1.0,0.625,0.375,,,0.125,-0.125,,,0.75,,8,7,0.75,0.25,0.7142857142857143,0.2857142857142857,0.125,0.875
explicit_test,mm,steer_immediate,12,4.0,-4.0,21.62215232849121,1.0,0.625,0.375,,,0.125,-0.125,,,0.25,,8,7,0.75,0.25,0.7142857142857143,0.2857142857142857,0.125,0.875
explicit_test,mm,steer_long_term,12,8.0,8.0,21.62215232849121,1.0,0.625,0.375,,,0.125,-0.125,,,0.75,,8,6,0.75,0.25,0.8333333333333334,0.16666666666666666,0.25,0.75
explicit_test,mm,steer_immediate,12,8.0,-8.0,21.62215232849121,1.0,0.625,0.375,,,0.125,-0.125,,,0.25,,8,7,0.75,0.25,0.7142857142857143,0.2857142857142857,0.125,0.875
explicit_test,mm,steer_long_term,24,0.0,0.0,31.519142150878906,1.0,0.625,0.375,,,0.0,0.0,,,0.625,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_immediate,24,0.0,-0.0,31.519142150878906,1.0,0.625,0.375,,,0.0,0.0,,,0.375,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_long_term,24,1.0,1.0,31.519142150878906,1.0,0.625,0.375,,,0.0,0.0,,,0.625,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_immediate,24,1.0,-1.0,31.519142150878906,1.0,0.625,0.375,,,0.0,0.0,,,0.375,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_long_term,24,2.0,2.0,31.519142150878906,1.0,0.625,0.375,,,0.0,0.0,,,0.625,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_immediate,24,2.0,-2.0,31.519142150878906,1.0,0.625,0.375,,,0.0,0.0,,,0.375,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_long_term,24,4.0,4.0,31.519142150878906,1.0,0.625,0.375,,,0.0,0.0,,,0.625,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_immediate,24,4.0,-4.0,31.519142150878906,1.0,0.625,0.375,,,0.0,0.0,,,0.375,,8,6,0.625,0.375,0.6666666666666666,0.3333333333333333,0.25,0.75
explicit_test,mm,steer_long_term,24,8.0,8.0,31.519142150878906,1.0,0.625,0.375,,,0.375,-0.375,,,1.0,,8,6,1.0,0.0,1.0,0.0,0.25,0.75
explicit_test,mm,steer_immediate,24,8.0,-8.0,31.519142150878906,1.0,0.625,0.375,,,0.0,0.0,,,0.375,,8,5,0.625,0.375,0.6,0.4,0.375,0.625
explicit_test,mm,steer_long_term,36,0.0,0.0,63.567562103271484,0.9999999403953552,0.625,0.375,,,0.0,0.0,,,0.625,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_immediate,36,0.0,-0.0,63.567562103271484,0.9999999403953552,0.625,0.375,,,0.0,0.0,,,0.375,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_long_term,36,1.0,1.0,63.567562103271484,0.9999999403953552,0.625,0.375,,,0.0,0.0,,,0.625,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_immediate,36,1.0,-1.0,63.567562103271484,0.9999999403953552,0.625,0.375,,,0.0,0.0,,,0.375,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_long_term,36,2.0,2.0,63.567562103271484,0.9999999403953552,0.625,0.375,,,0.0,0.0,,,0.625,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
explicit_test,mm,steer_immediate,36,2.0,-2.0,63.567562103271484,0.9999999403953552,0.625,0.375,,,0.0,0.0,,,0.375,,8,8,0.625,0.375,0.625,0.375,0.0,1.0
