dataset,probe_variant,condition,layer,strength,signed_strength,prompt_idx,question,immediate,long_term,prompt,continuation,parsed_letter,parsed_semantic,parse_method,fallback_used,score_a,score_b,raw_vector_norm,steering_vector_norm
explicit_train,baseline,baseline,-1,0.0,0.0,0,The priority should be:, (A) Treating the symptoms now, (B) Curing the underlying disease,"The priority should be:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Treating the symptoms now
 (B) Curing the underlying disease

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,,
explicit_train,baseline,baseline,-1,0.0,0.0,1,The key factor to consider here is:, (A) What delivers immediate impact, (B) What compounds over time,"The key factor to consider here is:

Which of the following is more important, A or B? Answer in one letter only.

 (A) What delivers immediate impact
 (B) What compounds over time

Answer:"," B

To determine which factor",B,choose_long_term,generation_parse,False,,,,
explicit_train,baseline,baseline,-1,0.0,0.0,2,Success looks like:, (B) Instant results, (A) Compounding progress,"Success looks like:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Instant results
 (A) Compounding progress

Answer:"," A

The answer is A",A,choose_long_term,generation_parse,False,,,,
explicit_train,baseline,baseline,-1,0.0,0.0,3,The right choice is the one that:, (A) Provides instant gratification, (B) Yields delayed but greater rewards,"The right choice is the one that:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Provides instant gratification
 (B) Yields delayed but greater rewards

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,,
explicit_train,baseline,baseline,-1,0.0,0.0,4,"In making this decision, what matters most is:", (B) Solving the current crisis, (A) Preventing future problems,"In making this decision, what matters most is:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Solving the current crisis
 (A) Preventing future problems

Answer:"," B

To determine which option",B,choose_immediate,generation_parse,False,,,,
explicit_train,baseline,baseline,-1,0.0,0.0,5,The most important outcome is:, (A) Getting quick wins now, (B) Building sustainable advantage,"The most important outcome is:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Getting quick wins now
 (B) Building sustainable advantage

Answer:"," B

To determine which option",B,choose_long_term,generation_parse,False,,,,
explicit_train,baseline,baseline,-1,0.0,0.0,6,How to proceed:, (B) Move fast and fix issues later, (A) Build it right from the start,"How to proceed:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Move fast and fix issues later
 (A) Build it right from the start

Answer:"," A

To determine which option",A,choose_long_term,generation_parse,False,,,,
explicit_train,baseline,baseline,-1,0.0,0.0,7,Looking at this through the lens of:, (A) Present concerns, (B) Future generations,"Looking at this through the lens of:

Which of the following is more important, A or B? Answer in one letter only.

 (A) Present concerns
 (B) Future generations

Answer:"," B

This answer suggests that",B,choose_long_term,generation_parse,False,,,,
explicit_test,baseline,baseline,-1,0.0,0.0,0,Your strategy should focus on:, (B) Reactive crisis management, (A) Proactive strategic planning,"Your strategy should focus on:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Reactive crisis management
 (A) Proactive strategic planning

Answer:"," A

The correct answer is",A,choose_long_term,generation_parse,False,,,,
explicit_test,baseline,baseline,-1,0.0,0.0,1,What you want to achieve:, (B) Immediate impact, (A) Sustainable transformation,"What you want to achieve:

Which of the following is more important, A or B? Answer in one letter only.

 (B) Immediate impact
 (A) Sustainable transformation

Answer:"," A

Justification:
While",A,choose_long_term,generation_parse,False,,,,
