layer,probe_method,probe_type,cv_accuracy_mean,cv_accuracy_std,test_accuracy,n_train,n_test,n_features
0,dmm,DifferenceOfMeans(hidden-state),0.5875,0.1015504800579495,0.55,80,20,768
1,dmm,DifferenceOfMeans(hidden-state),0.5625,0.11180339887498948,0.7,80,20,768
2,dmm,DifferenceOfMeans(hidden-state),0.6375,0.1446979612848778,0.6,80,20,768
3,dmm,DifferenceOfMeans(hidden-state),0.65,0.075,0.8,80,20,768
4,dmm,DifferenceOfMeans(hidden-state),0.625,0.03952847075210474,0.75,80,20,768
5,dmm,DifferenceOfMeans(hidden-state),0.6,0.03061862178478973,0.8,80,20,768
6,dmm,DifferenceOfMeans(hidden-state),0.675,0.07288689868556625,0.75,80,20,768
7,dmm,DifferenceOfMeans(hidden-state),0.6625,0.0637377439199098,0.75,80,20,768
8,dmm,DifferenceOfMeans(hidden-state),0.6875,0.07905694150420949,0.85,80,20,768
9,dmm,DifferenceOfMeans(hidden-state),0.7,0.07288689868556626,0.8,80,20,768
10,dmm,DifferenceOfMeans(hidden-state),0.725,0.08477912478906585,0.75,80,20,768
11,dmm,DifferenceOfMeans(hidden-state),0.725,0.049999999999999996,0.8,80,20,768
