condition,plot_type,plot_path
baseline,choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_baseline_layer44_strength0_choose_x_now.png
baseline,unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_baseline_layer44_strength0_unparsed_rate.png
steer_immediate_minus128,choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_immediate_minus128_layer44_strength128_choose_x_now.png
steer_immediate_minus128,unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_immediate_minus128_layer44_strength128_unparsed_rate.png
steer_immediate_minus16,choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_immediate_minus16_layer44_strength16_choose_x_now.png
steer_immediate_minus16,unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_immediate_minus16_layer44_strength16_unparsed_rate.png
steer_immediate_minus256,choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_immediate_minus256_layer44_strength256_choose_x_now.png
steer_immediate_minus256,unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_immediate_minus256_layer44_strength256_unparsed_rate.png
steer_immediate_minus32,choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_immediate_minus32_layer44_strength32_choose_x_now.png
steer_immediate_minus32,unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_immediate_minus32_layer44_strength32_unparsed_rate.png
steer_immediate_minus64,choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_immediate_minus64_layer44_strength64_choose_x_now.png
steer_immediate_minus64,unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_immediate_minus64_layer44_strength64_unparsed_rate.png
steer_immediate_minus8,choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_immediate_minus8_layer44_strength8_choose_x_now.png
steer_immediate_minus8,unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_immediate_minus8_layer44_strength8_unparsed_rate.png
steer_long_term_plus128,choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_long_term_plus128_layer44_strength128_choose_x_now.png
steer_long_term_plus128,unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_long_term_plus128_layer44_strength128_unparsed_rate.png
steer_long_term_plus16,choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_long_term_plus16_layer44_strength16_choose_x_now.png
steer_long_term_plus16,unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_long_term_plus16_layer44_strength16_unparsed_rate.png
steer_long_term_plus256,choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_long_term_plus256_layer44_strength256_choose_x_now.png
steer_long_term_plus256,unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_long_term_plus256_layer44_strength256_unparsed_rate.png
steer_long_term_plus32,choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_long_term_plus32_layer44_strength32_choose_x_now.png
steer_long_term_plus32,unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_long_term_plus32_layer44_strength32_unparsed_rate.png
steer_long_term_plus64,choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_long_term_plus64_layer44_strength64_choose_x_now.png
steer_long_term_plus64,unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_long_term_plus64_layer44_strength64_unparsed_rate.png
steer_long_term_plus8,choose_x_now,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_long_term_plus8_layer44_strength8_choose_x_now.png
steer_long_term_plus8,unparsed_rate,/workspace/results/qwen3_32b/time_utility_experiment_probe_steered/20260412-081221/qwen3_32b_steer_long_term_plus8_layer44_strength8_unparsed_rate.png
