dataset,probe_variant,condition,layer,strength,signed_strength,raw_vector_norm,steering_vector_norm,baseline_prop_choose_long_term,baseline_prop_choose_immediate,baseline_prop_choose_long_term_no_fallback,baseline_prop_choose_immediate_no_fallback,baseline_mean_long_minus_immediate_avg_logprob,baseline_prop_logprob_prefers_long_term,delta_long_term_vs_baseline,delta_immediate_vs_baseline,delta_long_term_vs_baseline_no_fallback,delta_immediate_vs_baseline_no_fallback,delta_long_minus_immediate_avg_logprob_vs_baseline,delta_prop_logprob_prefers_long_term_vs_baseline,steering_success,steering_success_no_fallback,result_source,reused_from_path,n_prompts,n_no_fallback_prompts,prop_choose_long_term,prop_choose_immediate,prop_choose_long_term_no_fallback,prop_choose_immediate_no_fallback,fallback_rate,direct_parse_rate,mean_long_minus_immediate_avg_logprob,mean_long_minus_immediate_sum_logprob,prop_logprob_prefers_long_term
explicit_test,baseline,baseline,-1,0.0,0.0,,,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.0,0.0,0.0,0.0,0.0,0.0,,,reused_existing,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv,100,85,0.64,0.36,0.7058823529411765,0.29411764705882354,0.15,0.85,0.6896443939208985,0.381819953918457,0.57
implicit_full,baseline,baseline,-1,0.0,0.0,,,0.5866666666666667,0.41333333333333333,0.605072463768116,0.39492753623188404,0.1978732903798421,0.6,0.0,0.0,0.0,0.0,0.0,0.0,,,reused_existing,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv,300,276,0.5866666666666667,0.41333333333333333,0.605072463768116,0.39492753623188404,0.08,0.92,0.1978732903798421,0.8581464258829753,0.6
explicit_test,mm,steer_long_term,10,2.0,2.0,8.77165412902832,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.0,0.0,0.04095309009679815,-0.040953090096798206,-0.003926508426666309,0.0,0.64,0.7468354430379747,reused_existing,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv,100,79,0.64,0.36,0.7468354430379747,0.25316455696202533,0.21,0.79,0.6857178854942322,0.3785091972351074,0.57
explicit_test,mm,steer_immediate,10,2.0,-2.0,8.77165412902832,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.0,0.0,0.01700921332388372,-0.017009213323883776,-0.0017628479003907183,0.0,0.36,0.27710843373493976,reused_existing,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv,100,83,0.64,0.36,0.7228915662650602,0.27710843373493976,0.17,0.83,0.6878815460205078,0.36858238220214845,0.57
explicit_test,mm,steer_long_term,10,4.0,4.0,8.77165412902832,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.010000000000000009,-0.010000000000000009,0.05661764705882344,-0.05661764705882355,-0.011082739830017174,0.0,0.65,0.7625,reused_existing,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv,100,80,0.65,0.35,0.7625,0.2375,0.2,0.8,0.6785616540908813,0.3667846488952637,0.57
explicit_test,mm,steer_immediate,10,4.0,-4.0,8.77165412902832,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,-0.010000000000000009,0.010000000000000009,0.02251270878721856,-0.022512708787218616,-0.011000268459320117,0.0,0.37,0.2716049382716049,reused_existing,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv,100,81,0.63,0.37,0.7283950617283951,0.2716049382716049,0.19,0.81,0.6786441254615784,0.33340595245361326,0.57
explicit_test,mm,steer_long_term,10,8.0,8.0,8.77165412902832,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.030000000000000027,-0.02999999999999997,0.08161764705882346,-0.08161764705882354,-0.025083634853363068,-0.009999999999999898,0.67,0.7875,reused_existing,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv,100,80,0.67,0.33,0.7875,0.2125,0.2,0.8,0.6645607590675354,0.3496617889404297,0.56
explicit_test,mm,steer_immediate,10,8.0,-8.0,8.77165412902832,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.020000000000000018,-0.019999999999999962,0.026675786593707174,-0.026675786593707285,-0.049001150131225635,0.0,0.34,0.26744186046511625,reused_existing,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv,100,86,0.66,0.34,0.7325581395348837,0.26744186046511625,0.14,0.86,0.6406432437896729,0.20402864456176759,0.57
explicit_test,mm,steer_long_term,10,16.0,16.0,8.77165412902832,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,0.06999999999999995,-0.07,0.1252864782276547,-0.1252864782276547,-0.031247179508209322,-0.009999999999999898,0.71,0.8311688311688312,reused_existing,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv,100,77,0.71,0.29,0.8311688311688312,0.16883116883116883,0.23,0.77,0.6583972144126892,0.3768164253234863,0.56
explicit_test,mm,steer_immediate,10,16.0,-16.0,8.77165412902832,0.9999999403953552,0.64,0.36,0.7058823529411765,0.29411764705882354,0.6896443939208985,0.57,-0.050000000000000044,0.04999999999999999,-0.06543291473892932,0.06543291473892926,-0.13704324483871466,0.0,0.41,0.3595505617977528,reused_existing,/workspace/results/qwen3_4b_probe_artifact_steering_question_options_answer_colab/20260405-194733/mmraz_qwen3_probe_artifact_steering_question_options_answer_logs_20260405-194733.csv,100,89,0.59,0.41,0.6404494382022472,0.3595505617977528,0.11,0.89,0.5526011490821838,-0.06830766677856445,0.57
