method,condition,signed_strength,t_delay,delay_idx,area_choose_later,indifference_multiplier,plot_multiplier,log_indifference_multiplier,status,parsed_weight_fraction,n_factor_rows,n_valid_factor_rows,time_delay_format,day_count_delays,time_delay_format_source
area_equivalent_multiscale,steer_immediate_minus128,-128.0,1 hour,0,0.7361972052026314,3.3698113567810317,3.3698113567810317,1.2148567655811764,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,8 hours,1,0.48874798173303047,10.531834758589433,10.531834758589433,2.3544025520492875,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,1 day,2,0.8964516745984774,1.6110041189347484,1.6110041189347484,0.4768576609480855,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,2 days,3,0.8042777768776513,2.46288677238433,2.46288677238433,0.9013341466583492,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,7 days,4,0.7649141109243465,2.9523767605817444,2.9523767605817444,1.0826105275177031,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,30 days,5,0.6782305700424461,4.400873243228628,4.400873243228628,1.4818029856029105,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,90 days,6,0.39684281263550064,16.081048980284535,16.081048980284535,2.777641496715426,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,365 days,7,0.36894312418699643,18.28579099979575,18.28579099979575,2.9061243101568337,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,730 days,8,0.25637874945799766,30.7073614551997,30.7073614551997,3.4245024126632106,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,1095 days,9,0.14381437472899883,51.56692688606231,51.56692688606231,3.942880515169587,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,1825 days,10,0.14381437472899883,51.56692688606231,51.56692688606231,3.942880515169587,finite,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus128,-128.0,3650 days,11,0.0,100.00000000000004,100.0,4.605170185988092,right_censored_all_now_in_tested_range,1.0,64,64,day_counts,True,config:time_delay_format
area_equivalent_multiscale,steer_immediate_minus64,-64.0,1 hour,0,0.915142144165214,1.4781404834982226,1.4781404834982226,0.39078486773723226,finite,1.0,64,64,day_counts,True,config:time_delay_format
