case,context_fill,context_tokens,seq_len,layer,head,correct,pathology,attention_entropy,frac_system,frac_early_cases,frac_recent_cases,frac_current_query,peak_relative
0,0.0083,34,210,0,0,False,Guillain-Barré syndrome,5.346647262573242,0.1372530162334442,0.0,0.0,0.8627470135688782,0.3349282296650718
0,0.0083,34,210,0,1,False,Guillain-Barré syndrome,1.9580751657485962,0.016606654971837997,0.0,0.0,0.9833932518959045,0.9952153110047847
0,0.0083,34,210,0,2,False,Guillain-Barré syndrome,4.558799743652344,0.14740729331970215,0.0,0.0,0.8525927066802979,0.8421052631578947
0,0.0083,34,210,0,3,False,Guillain-Barré syndrome,4.014327526092529,0.17859138548374176,0.0,0.0,0.8214086294174194,0.2631578947368421
0,0.0083,34,210,0,4,False,Guillain-Barré syndrome,3.604832172393799,0.00218376936390996,0.0,0.0,0.997816264629364,0.9808612440191388
0,0.0083,34,210,0,5,False,Guillain-Barré syndrome,4.532370090484619,0.06649277359247208,0.0,0.0,0.9335072040557861,0.9043062200956937
0,0.0083,34,210,0,6,False,Guillain-Barré syndrome,5.346641540527344,0.1375298649072647,0.0,0.0,0.8624701499938965,0.23444976076555024
0,0.0083,34,210,0,7,False,Guillain-Barré syndrome,4.833432197570801,0.14602622389793396,0.0,0.0,0.8539738655090332,0.2583732057416268
0,0.0083,34,210,0,8,False,Guillain-Barré syndrome,2.9865288734436035,0.270033597946167,0.0,0.0,0.7299663424491882,0.08133971291866028
0,0.0083,34,210,0,9,False,Guillain-Barré syndrome,3.999767780303955,0.019256308674812317,0.0,0.0,0.9807436466217041,0.9665071770334929
0,0.0083,34,210,0,10,False,Guillain-Barré syndrome,4.870729446411133,0.13532835245132446,0.0,0.0,0.8646715879440308,0.07177033492822966
0,0.0083,34,210,0,11,False,Guillain-Barré syndrome,2.9582204818725586,0.2983299493789673,0.0,0.0,0.7016699314117432,0.08133971291866028
0,0.0083,34,210,0,12,False,Guillain-Barré syndrome,5.3470916748046875,0.13813459873199463,0.0,0.0,0.8618654012680054,0.7894736842105263
0,0.0083,34,210,0,13,False,Guillain-Barré syndrome,2.7361435890197754,0.014854086562991142,0.0,0.0,0.9851457476615906,0.9665071770334929
0,0.0083,34,210,0,14,False,Guillain-Barré syndrome,3.889634847640991,0.19294597208499908,0.0,0.0,0.8070539832115173,0.4019138755980861
